title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"1000 Digital Products Ideas To Create And Sell Today For Passive Income, 2023 Etsy Digital Downloads Small Business Ideas Bestsellers IDEAS ","Books, Movies & Music > Books > Guides & How Tos",1.48,25,149,39,7,146,30,"digital products,digital downloads,small business,passive income ideas,passive income,etsy bestsellers,small business plan,digital bestsellers,product bestsellers,product ideas,products to sell,business ideas,small business guide",United States,2023-08-06,yes,no,no,DigitalOutlineCo,https://www.etsy.com/listing/1524205548/1000-digital-products-ideas-to-create
"Library Card Bookmark,Reading List Bookmark, 3 Pack Bookmark, Vintage Library Bookmark, Book Tracker, Reading Log ","Books, Movies & Music > Books > Book Accessories > Bookmarks",2.89,16,978,270,16,4283,262,"bookmark,reading list,reading log,book review,book rating,library card,library bookmark,books,reading,book club gift,book club,vintage library,booklover gift",United States,2023-02-27,yes,no,no,showmeyoucare,https://www.etsy.com/listing/1412856930/library-card-bookmarkreading-list
Harry Potter A5 Notebook loose-leaf binder note Slytherin Gryffindor Ravenclaw Hufflepuff Leather Journal Spell Book Grimoire ,"Books, Movies & Music > Books > Blank Books > Journals & Notebooks",36.0,13,487,91,1,2920,155,"Notebook,binder,journal,note,handcraft,loose-leaf",United States,2023-01-17,yes,no,no,SakuraClass,https://www.etsy.com/listing/1381574702/harry-potter-a5-notebook-loose-leaf
Lover Live From Paris Heart Vinyl CUSTOM SLEEVE ,"Books, Movies & Music > Music > Music Cases & Sleeves",35.0,13,234,25,2,699,43,"lover live,heart vinyl,vinyl sleeves,lover vinyl sleeve,custom vinyl record,lover live in paris,Paris lover,custom record sleeve,record sleeve lover,you're my lover",United States,2023-05-16,yes,no,no,ItsTheMinorDetails,https://www.etsy.com/listing/1483000695/lover-live-from-paris-heart-vinyl-custom
"Mystery Tarot Bookmark & Tassel, Intuitively Chosen Bookmark w Mystery Stickers, Intuitively picked tarot card bookmark Gold foiled Bookmark ","Books, Movies & Music > Books > Book Accessories > Bookmarks",9.44,12,270,55,3,973,49,"tarot bookmark,book lover gift,witchy bookmark,intuitive bookmark,cute bookmark,aesthetic bookmark,bookmark with tassel,tarot card bookmark,gold foil bookmark,witch bookmark,spooky bookmark,cute witchy gifts,intuitively bookmark",United States,2023-03-09,yes,no,no,BunniesAndBuns,https://www.etsy.com/listing/1433952381/mystery-tarot-bookmark-tassel
Spicy Willies Bookmark Collection | Individual or Set | Handmade Bookmarks | Cardstock or Laminated | Bookworm Gift | Reader Gift ,"Books, Movies & Music > Books > Book Accessories > Bookmarks",6.0,11,224,75,7,531,0,"cardstock bookmarks,bookmark gift set,durable bookmark,Laminated bookmark,smut reader,smut bookmark,romance romantic,penis bookmark,funny bookmark,penis shaped,willy dick bookmark,eggplant chili,pepper banana",United States,2023-04-23,yes,no,no,ShopGigiAndBo,https://www.etsy.com/listing/1452940928/spicy-willies-bookmark-collection
ACOTAR inspired bookmarks l Sarah J Maas book themed bookmarks ,"Books, Movies & Music > Books > Book Accessories > Bookmarks",3.24,10,1295,358,7,1947,26,"ACOTAR,bookmark acotar,acotar bookmark,Sarah j maas merch,ACOTAR merch,rhysand bookmark,bookmarks for her,Sarah maas bookmark,bookmark bundle,bookish gifts,book lover gifts,reader gift ideas,city of stars ACOTAR",United States,2022-11-28,yes,no,no,Wildflowerbookmarks,https://www.etsy.com/listing/1357041953/acotar-inspired-bookmarks-l-sarah-j-maas
"HOLOGRAPHIC POCKET NOTEBOOK: Forest Milk Dot-Grid Soft Cover , Pocket Notebook , Milk Carton Notebook , Miniature Notebook , Milk Notebook ","Books, Movies & Music > Books > Blank Books > Journals & Notebooks",18.0,9,273,89,0,717,2,"Pocket Notebook,Pocket Journal,Miniature Notebook,Travel Notebook,Milk Carton Art,Spooky Milk,Green Milk,Forest Milk,Tree Milk",United States,2023-01-19,yes,no,no,AcornandCrowStudio,https://www.etsy.com/listing/1382797426/holographic-pocket-notebook-forest-milk
3450 ChatGPT Prompts for Social Media Marketing | TikTok | Facebook | Pinterest | Twitter | Instagram | Instant Access | Copy and Paste ,"Books, Movies & Music > Books > Guides & How Tos",3.99,7,211,33,1,356,24,"chatgpt,prompts,chat gpt,chatgpt prompts,social media,marketing,facebook,twitter,pinterest,TikTok,Instagram,digital marketing",United States,2023-03-03,yes,no,no,Fexyl,https://www.etsy.com/listing/1415327738/3450-chatgpt-prompts-for-social-media
Gummy Worms Candy Crochet Pattern! PATTERN ONLY! PDF download Amigurumi Beginner Easy Simple Basic How to Tutorial Desserts Treats Food Worm ,"Books, Movies & Music > Books > Guides & How Tos",2.99,7,80,17,0,403,7,"crochet patterns,amigurumi patterns,beginner crochet,basic crochet,how to crochet,beginner amigurumi,fun crochet pattern,crochet food,amigurumi food,crochet dessert,crochet gummy worms,brite crawlers,crochet trolli worms",United States,2023-01-17,yes,no,no,KnotMonster,https://www.etsy.com/listing/1381193534/gummy-worms-candy-crochet-pattern
