title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Big Brother Toddler Shirt - Retro Kids Pregnancy Announcement Shirt - Sibling Natural Infant, Toddler & Youth Tee #5362 ",Clothing > Gender-Neutral Kids' Clothing > Tops & Tees,9.99,108,4931,607,8,2040,8,"retro boho,trendy,toddler shirt,kids shirt,natural shirt,natural tee,toddler tee,girls boys kids tee,big brother shirt,family sibling,pregnancy,announcement,set design",United States,2022-09-26,yes,no,no,DoubleJoyDesigns,https://www.etsy.com/listing/1298824928/big-brother-toddler-shirt-retro-kids
"Flower Shirts,Aesthetic Wild Flower Shirt, Botanical Floral,Minimalist Shirts for Women,Botanical Shirt, Nature Lover Shirt,Ladies Shirts ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees,8.06,107,524,97,19,983,70,"Floral T-Shirts,Gifts for Her,Aesthetic Clothing,Minimalist Shirts,Shirts for Women,Wildflower Shirt,Flower Graphic Tees,Gift for Women,Nature Lover Shirt,Plants Lover Gift,Gift For Her,Plant Shirt,Mom Flower Shirt",United States,2023-06-02,yes,no,no,ABBTeez,https://www.etsy.com/listing/1494502555/flower-shirtsaesthetic-wild-flower-shirt
"Velaris Sweatshirt, Velaris City Of Starlight Shirt, The Night Court Shirt, SJM Merch Shirt, City of Starlight Sweater, ACOTAR  Book T-shirt ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts > Graphic Tees,6.0,106,282,63,23,1050,171,"Bookworm Tee,Night Court Shirt,Velaris shirt,City of Starlight,Starlight Acotar,acotar shirt,Mystical Shirt,Rhysand fan Girl,The Night Court,Velaris Sweatshirt,Acotar Velaris,Velaris Starlight,SJM Merch",United States,2023-07-02,yes,no,no,weddingfamilygift,https://www.etsy.com/listing/1500641512/velaris-sweatshirt-velaris-city-of
"Comfort Colors® SJM, Two sided Velaris shirt, To the stars who listen shirt, A Court of Thorns and Roses Court, iprintasty ",Clothing > Women&#x27;s Clothing > Tops & Tees,30.39,94,2848,665,24,11081,226,"retro shirt,christmas sweater,SJM merch,SJM,NIGHT COURT TEE,Velaris t-shirt,Rhysand Fan,acotar merch tshirt,Velaris- tshirt",United States,2022-12-12,yes,no,no,iprintasty,https://www.etsy.com/listing/1354501276/comfort-colors-sjm-two-sided-velaris
"Stevie Nicks Shirt, Stevie Nicks Clothing, Stevie Nicks Gift, Stevie Nicks, Stevie Nicks Print ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts,19.16,82,139,32,7,190,15,"Stevie Nicks,Fleetwood Mac,Stevie Nicks Shirt,Fleetwood Mac Shirt,Stevie Nicks Gift,fleetwood mac tshirt,fleetwood mac tank,vintage stevie nicks,fleetwood mac gift,fleetwood mac merch,stevie nicks tank,stevie nicks style,fleetwood mac tour",United States,2023-06-23,yes,no,no,BrookAndAsh,https://www.etsy.com/listing/1509252333/stevie-nicks-shirt-stevie-nicks-clothing
"Jonas Brothers Vintage T-Shirt, Jonas Five Albums One Night Tour Shirt, Jonas Brothers 2023 Tour Shirt, Jonas 90's Tee, Comfort Colors Shirt ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts > Graphic Tees,16.98,82,316,46,10,430,35,"five albums,Joe Jonas Sweatshirt,Jonas 2023 tour,jonas brothers tour,jonas comfort colors,trend fb 1505,Jonas Brothers,Jonas Brothers Band,Jonas Brothers Fan,Jonas Brothers Shirt,Jonas Brothers 2023,pop rock band,Kevin Jonas",United States,2023-07-31,yes,no,no,FernAndFriends,https://www.etsy.com/listing/1520206504/jonas-brothers-vintage-t-shirt-jonas
Baby Girl Boy Chunky Knit Sweater Cotton Dressy top neutral Earth Tone Warm oversized Thick knit children's sweater ,Clothing > Gender-Neutral Kids' Clothing > Sweaters,23.99,81,1506,294,0,2708,301,"baby cardigan,spring sweater,spring knitted,dressy sweater,baby girl cardigan,pink cardigan,white cardigan,knitted sweater,baby sweater,oversized sweater,baby bubble sweater,chunky knit sweater,think knit baby",United States,2022-11-14,yes,no,no,OLIVEandCRADLE,https://www.etsy.com/listing/1332686350/baby-girl-boy-chunky-knit-sweater-cotton
"Comfort Colors® SJM merch, Velaris shirt, The Night Court t-shirt, SJM merch, A court of Thorns and ROSES, City of Starlight tee, iprintasty ",Clothing > Women&#x27;s Clothing > Tops & Tees,26.39,80,927,235,4,2639,21,"Bookworm Tee,Starlight Acotar,Shirt Night Court,Mystical Shirt,Feyre And Rhysand,Fandom Shirt,Velaris t-shirt,Velaris shirt,Velaris tee,night court,Fathers day gift,acotar merch tshirt",United States,2022-12-22,yes,no,no,iprintasty,https://www.etsy.com/listing/1363039408/comfort-colors-sjm-merch-velaris-shirt
"Big Bro Toddler Shirt - Pregnancy Announcement Retro Kids Shirt - Sibling Natural Infant, Toddler & Youth Tee #5812 ",Clothing > Gender-Neutral Kids' Clothing > Tops & Tees,9.99,78,160,40,6,242,30,"retro boho,trendy,toddler shirt,kids shirt,natural shirt,natural tee,toddler tee,big brother shirt,family sibling,pregnancy,announcement,set design-all,big brother big bro",United States,2023-06-14,yes,no,no,DoubleJoyDesigns,https://www.etsy.com/listing/1503054067/big-bro-toddler-shirt-pregnancy
"Checkered Teacher Shirt for Women, Primary School Teacher Shirt, Back To School Shirt for Teachers, Teacher Shirt, Teacher Gift for Her ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts,27.6,74,321,78,10,1198,11,"Back To School Shirt,Teacher Barbie,Gift For Teacher,First Day Of School,Teacher Team Shirt,Teacher Tshirt,Elementary Teacher,Retro Teacher Shirt,Cute Teacher Shirt,Elementary School,Kindergarten Teacher,Preschool Teacher,Teacher Life Shirt",United States,2023-07-27,yes,no,no,OWBoutique,https://www.etsy.com/listing/1517345876/checkered-teacher-shirt-for-women
