title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Weathered Emily - Choose Your Color/Size - Handmade Picture Frame - Solid Wood - Distressed Frame - Custom Sizes - Gallery Wall Decor ,Home & Living > Home Decor > Picture Frames & Displays > Picture Frames,11.04,104,659,137,20,408,39,"Picture Frame,Handmade Frame,8x10 Picture Frame,Picture Frame 8x10,Wood Picture Frame,Rustic Picture Frame,Farmhouse Frame,Distressed Frame,Vintage Frame,16x20 Picture Frame,Gallery Wall,Custom Picture Frame,Wedding Frame",United States,2023-03-05,yes,no,no,therustyroof,https://www.etsy.com/listing/1417457996/weathered-emily-choose-your-colorsize
Mouse Sitting on Toilet in Mouse Hole Decal - Mouse Hole 3D Wall Sticker ,Home & Living > Home Decor > Wall Decor > Wall Decals & Murals,6.29,94,986,173,23,2284,236,"mouse hole,sticker,decal,mural,funny gift,bathroom wall decor,bathroom art,bathroom wall art,bathroom decor,funny bathroom sign,funny bathroom,toilet decor,potty humor",United States,2023-06-07,yes,no,no,MyWallStickers,https://www.etsy.com/listing/1483627874/mouse-sitting-on-toilet-in-mouse-hole
"Retro Floral Mushroom Glass Cup, Retro Boho Glass Cup, Cute Mushrooms, Iced coffee cup, Magic mushrooms,iced coffee glass with lid and straw ",Home & Living > Kitchen & Dining > Drink & Barware > Drinkware > Tumblers & Water Glasses,14.6,91,125,29,4,1116,140,"mushroom cup,groovy pattern,groovy cup,retro cup,retro pattern,glass cup,glass beer cup,retro,boho,Cute Mushrooms,Iced coffee cup,iced coffee glass,Retro Boho Glass Cup",United States,2023-06-27,yes,no,no,moody4you,https://www.etsy.com/listing/1497577060/retro-floral-mushroom-glass-cup-retro
Wizard Glass Can Cup ,Home & Living > Kitchen & Dining > Drink & Barware > Drinkware > Tumblers & Water Glasses,11.25,73,1299,397,9,7362,284,"Home & Living,Kitchen & Dining,Drink & Barware,Drinkware,Tumblers & Water Glasses",United States,2023-01-06,yes,no,no,SGBApparelCo,https://www.etsy.com/listing/1373096586/wizard-glass-can-cup
Weathered Emily - Choose Your Color/Size - Handmade Picture Frame - Solid Wood - Distressed Frame - Custom Sizes - Gallery Wall Decor ,Home & Living > Home Decor > Picture Frames & Displays > Picture Frames,11.04,58,154,32,13,172,23,"Picture Frame,Handmade Frame,8x10 Picture Frame,Picture Frame 8x10,Wood Picture Frame,Rustic Picture Frame,Farmhouse Frame,Distressed Frame,Vintage Frame,16x20 Picture Frame,Gallery Wall,Custom Picture Frame,Wedding Frame",United States,2023-03-05,yes,no,no,therustyroof,https://www.etsy.com/listing/1431651415/weathered-emily-choose-your-colorsize
Halloween Black Cat Beer Can Glass Cute Ghost Cat Coffee Cup Halloween Gift Iced Coffee Cup Spooky Season Cute Ghosts Halloween Coffee Mug ,Home & Living > Kitchen & Dining > Drink & Barware > Drinkware > Tumblers & Water Glasses,13.6,54,203,44,8,1440,133,"Halloween Coffee Mug,Cute Ghosts,Spooky Season,Iced Coffee Cup,Halloween Gift,Coffee Cup,Ghost Cat,Halloween Black Cat,Beer Can Glass,Ghost cats,cat lover,fall iced coffee cup,fall coffee mug",United States,2023-07-03,yes,no,no,moody4you,https://www.etsy.com/listing/1501449170/halloween-black-cat-beer-can-glass-cute
Stanley Straw Topper Cover Stanley Drink Topper Drink Cup Cover for Stanley Accessories Stanley Quencher Straw Cap Reusable Straw Cover ,Home & Living > Kitchen & Dining > Drink & Barware > Drinkware > Tumblers & Water Glasses,2.5,51,833,163,9,513,7,"straw topper,straw cover,drink cover,cup cover,stanley straw cover,stanley straw topper,stanley accessory,stanley quencher,stanley accessories,stanley sticker,stanley decal,stanley pouch,straw cap",United States,2023-05-22,yes,no,no,BeyondBraveStudio,https://www.etsy.com/listing/1487296065/stanley-straw-topper-cover-stanley-drink
Philodendron brandtianum “Brandi” Starter Plant (ALL STARTER PLANTS require you to purchase 2 plants!) ,Home & Living > Outdoor & Gardening > Planters & Pots > Indoor Planters,14.4,49,441,162,2,1450,20,"brandi,brandtianum,birkin,philodendron,pretty plant,plant,plants,tropical,houseplants,mail,order,gift idea,plant lover",United States,2022-10-29,yes,no,no,TheGreenEscape,https://www.etsy.com/listing/1320934796/philodendron-brandtianum-brandi-starter
I Saw That Jesus Door Corner Decor | Funny jesus sign | Funny Home Decor | Housewarming Gift | Personalized gift for Father | Faith sign ,Home & Living > Home Decor > Wall Decor,7.9,49,201,34,7,841,60,"funny prank,prank gift,funny gift,housewarming gift,funny housewarming,funny home decor,funny wall art,funny gift for him,funny wood sign,door frame decor,Jesus door decor,Door Sitter,Home God Decor",United States,2023-06-08,yes,no,no,CountryCarpenterArt,https://www.etsy.com/listing/1498550117/i-saw-that-jesus-door-corner-decor-funny
Heirloom Keepsake Blanket Quilt Blanks Birth 100%Cotton 36 ,Home & Living > Bedding > Blankets & Throws > Baby Blankets,13.99,47,141,28,4,43,6,"Birth Announcement,Heirloom Quilt,Keepsake Quilt,Personalized quilt,Baby Blanket,Baby Blanks,Boy Blanket,Girl Blanket,Handmade Quilt,Receiving Blanket,Embroidery Blanks,Monogram Blanket,Picnic Blanket",United States,2023-07-05,yes,no,no,TinyHeirloomStitches,https://www.etsy.com/listing/1516942705/heirloom-keepsake-blanket-quilt-blanks
