title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
20G/18G/16G Heart Push Pin Labret • Threadless Flat Back Earring • Tragus Stud • Flat Back Stud • Helix Stud • Cartilage Stud • Nose Stud ,Jewelry > Earrings > Stud Earrings,13.84,188,3434,869,30,8625,159,"stud earrings,tiny stud earrings,dainty stud earrings,minimalist gold stud,threadless push pin,16g push pin stud,20g push pin stud,flat back stud,tragus stud,cartilage stud,conch stud,helix stud,18g push pin stud",United States,2023-01-15,yes,no,no,Aftersundaystudio,https://www.etsy.com/listing/1379639340/20g18g16g-heart-push-pin-labret
"14K Gold Diamond Station Necklace, Dainty Necklace,Diamond Chain Necklace,Gift For Her,Birthday Gift,QW52 ",Jewelry > Necklaces > Chains,26.0,93,807,170,23,1463,126,"stone necklace,gold jewelry,bridesmaid gifts,choker necklace,layering necklace,diamond necklace,mothers day gift,dainty necklace,chain necklace,gold necklace,layered necklace,minimalist necklace",United States,2023-04-22,yes,no,no,SilverbySelene,https://www.etsy.com/listing/1466870085/14k-gold-diamond-station-necklace-dainty
"20g 18g 16g Teeny Tiny Push In Labret, Trinity, Dot and CZ, Starburst, Lizard, Cartilage, Helix, Tragus push-In Labret ",Jewelry > Earrings > Gauge & Plug Earrings,8.06,64,2772,624,14,6088,112,"dot,three stones,starburst,lizard,flat back,push in piercing,piercing,tragus,helix,20g labret,16g labret,18g labret,Trinity CZ",United States,2022-10-19,yes,no,no,EveandkUS,https://www.etsy.com/listing/1328068663/20g-18g-16g-teeny-tiny-push-in-labret
20G 18G 16G 14G Titanium Clicker Hinged Segment Nose Ring Septum Daith Hoop ,Jewelry > Body Jewelry > Nose Rings & Studs,8.99,62,882,217,21,530,32,"Earring,Nose Ring,Septum Clicker,Daith,seamless,20G 18G 16G 14G,nose jewelry,silver nose ring,nose stud,titanium,septum ring,HINGED Segment,cartilage hoop",United States,2023-04-22,yes,no,no,VitalBodyJewelry,https://www.etsy.com/listing/1466511647/20g-18g-16g-14g-titanium-clicker-hinged
Twisted Pearl Hoop Earrings，Minimalist Earrings，925 Silver Earrings，Wedding Earrings，Simple Earrings，Gift for Her，Bridesmaid Gift，AD51 ,Jewelry > Earrings > Hoop Earrings,14.63,58,793,242,20,4437,350,"Cluster Earring,Geometric Earrings,Delicate Earrings,Dainty Earrings,Tiny Huggies,handmade jewelry,anniversary gift,birthday gift,unique earrings,Irregular Earrings,Circle Earrings,Endless Earrings,Everyday Earrings",United States,2022-12-22,yes,no,no,happyzzzsu,https://www.etsy.com/listing/1376671585/twisted-pearl-hoop-earringsminimalist
Dainty Rainbow Beaded Bracelet by Caitlyn Minimalist • Colorful Summer Jewelry • Delicate Chain Bracelet • Best Friend Gift • BR040 ,Jewelry > Bracelets > Beaded Bracelets,27.65,57,193,44,2,908,38,"CAITLYN MINIMALIST,BEADED BRACELET,CHARM BRACELET,FRIENDSHIP BRACELET,MINIMALIST JEWELRY,TRENDY JEWELRY,SUMMER JEWELRY,RAINBOW BRACELET,RAINBOW JEWELRY,PRIDE BRACELET,CHAIN BRACELET,BEST FRIEND GIFT,STACKABLE BRACELET",United States,2023-02-24,yes,no,no,CaitlynMinimalist,https://www.etsy.com/listing/1409931544/dainty-rainbow-beaded-bracelet-by
"Pair of Real Precious Stone Stud Earrings- Turquoise, Amethyst, Jade and Tiger's eye ",Jewelry > Earrings > Stud Earrings,9.99,48,318,60,5,492,28,"natural gem earrings,gemstone earrings,sterling silver,silver earrings,semi-precious stone,Raw stone earrings,raw crystal earrings,handmade earrings,crystal earrings,quartz earrings,gemstone jewelry,gemstone cabochon,tiny gemstone",United States,2023-02-06,yes,no,no,VitalBodyJewelry,https://www.etsy.com/listing/1410814425/pair-of-real-precious-stone-stud
18G 16G 14G Gold Color Plated on Surgical Steel HINGED Segment Nose Ring Septum BCR Clicker Ring Daith Hoop Captive Bead Ring ,Jewelry > Body Jewelry > Nose Rings & Studs,9.96,43,303,92,9,684,27,"HINGED Segment,Nose Ring,Septum Clicker,Daith,Hoop,Earring,6mm 8mm 10mm 12mm,Cartilage Tragus,Lip Labret ring,Gold,Captive Bead Ring,everyday earrings,18g 16g 14g",United States,2023-01-17,yes,no,no,TonyscollectionUS,https://www.etsy.com/listing/1381406204/18g-16g-14g-gold-color-plated-on
"Tiny Heart Necklace, 18K Gold FILLED Necklace, Mothers Day Gift, Dainty Necklace, Everyday Necklace, Friendship,Bridesmaid Gift,Gift For Mom ",Jewelry > Necklaces > Charm Necklaces,24.75,40,847,183,9,4171,154,"gold necklace,dainty necklace,dainty gold necklace,heart necklace,gold heart necklace,gold filled necklace,heart necklace gold,tiny heart necklace,gold dainty necklace,necklace,everyday necklace,dainty necklace gold,bridesmaid gift,dainty jewelry,gifts for her,tiny heart,babeina,mini heart necklace,heart charm,layering necklace,Mothers Day Gift,gift for mom",United States,2023-01-22,yes,no,no,BABEINA,https://www.etsy.com/listing/1399072433/tiny-heart-necklace-18k-gold-filled
Camping Themed Croc Charm - Hiking Shoe Charms - Ski Shoe Charms - Camper Croc Charms - Shoe Charms for Kids - Gift for him - Gift for her ,"Jewelry > Brooches, Pins & Clips > Clothing & Shoe Clips > Shoe Clips",2.99,39,519,109,1,571,8,"Shoe accessories,party favors,stocking stuffer,shoe charms,croc charms,gift for him,camping croc charms,hiking shoe charms,gift for her,shoe charms for kids,shoe pins for clogs,Camper shoe charms,shoe charm for clogs",United States,2023-01-27,yes,no,no,TheMonkeyCharmShop,https://www.etsy.com/listing/1389030736/camping-themed-croc-charm-hiking-shoe
"Tiny Bee Signet Ring, Dainty Signet Ring, Minimalist Ring, Gold Bee Ring, 925 Sterling Silver, ",Jewelry > Rings > Stackable Rings,29.0,35,378,78,5,2498,193,"Bee signet Ring,Tiny Bee Ring,Dainty Signet Ring,Sterling Signet Ring,minimalist ring,gold bee ring,925 sterling silver,mixed metal ring,insect ring,bee jewelry,gift for mom,gardener gift,cute bee ring",United States,2023-02-28,yes,no,no,MyLimoIsWaiting,https://www.etsy.com/listing/1412917500/tiny-bee-signet-ring-dainty-signet-ring
"High Quality Four Leaf Clover Necklace,Natural Mother-Of-Pearl Necklace,Carnelian,Malachite,Onyx,Flower necklace,Gift For Her ",Jewelry > Necklaces > Pendant Necklaces,21.57,35,744,143,9,1073,52,"clover necklace,lucky necklace,four leaf necklace,Gold Necklace,Silver Necklace,flower necklace,luxury necklace,wedding Necklace,graduation necklace,clover pendant,Fritillaria Necklace,agate necklace",United States,2023-03-10,yes,no,no,BestNecklacesDesign,https://www.etsy.com/listing/1435558355/high-quality-four-leaf-clover
Iridescent Therapy is Not Enough I Need To Bite People Heart Hoop Earrings ,Jewelry > Earrings > Dangle & Drop Earrings,15.0,32,322,54,3,3472,214,"slut earrings,funny earrings,acrylic earrings,weird earring,funny earring,bite me,bite people,weird jewelry,weird accessories,therapy is not,I need to bite peopl,therapy isnt enough,therapy bite people",United States,2022-10-22,yes,no,no,ShlemonArt,https://www.etsy.com/listing/1316666086/iridescent-therapy-is-not-enough-i-need
"Triple Protection Crystal Bracelet, Empath Protection Healing Crystal Bracelet for Women, Men Black Obsidian Selenite Bracelet Bead Bracelet ",Jewelry > Bracelets > Beaded Bracelets,9.85,30,2351,554,7,3085,29,"crystal bracelet,healing bracelet,bead bracelet,bracelet for women,protection bracelet,black obsidian,hematite bracelet,triple protection,lava stone,bracelet for men,protection amulet,selenite bracelet,empath protection",United States,2022-09-27,yes,no,no,SoulCharmsCrystals,https://www.etsy.com/listing/1313344571/triple-protection-crystal-bracelet
Sterling Silver Bumble Bee Spoon Ring - Antique Silver Garden Insect Boho Band ,Jewelry > Rings > Statement Rings,19.95,30,686,103,0,2232,70,"spoon ring,spoon rings,silver spoon ring,sterling silver ring,bee spoon ring,spoon ring vintage,stainless steel ring,silver spoon rings,spoon ring for women,Silver Finish ring,Minimalist Ring,Adjustable Ring,Vintage Spoon Ring,Antique Silver Ring,Gift for Women,Victorian Rose Ring,Classic Spoon Ring,Boho Band Ring",United States,2023-01-12,yes,no,no,Megicalbasket,https://www.etsy.com/listing/1391226297/sterling-silver-bumble-bee-spoon-ring
"18K Gold Gold Fuck Off Ring, Heart Shaped Signet, Engraved Signet Ring, Fuck off Rings, Oval Signet Gold Ring, Signet Ring For Women ",Jewelry > Rings > Signet Rings,18.48,29,820,75,5,2314,125,"Simple Ring Band,Vintage Rings,Minimalist Acrylic,Acetate Rings,gifts for her,birthday gift,stackable ring,minimalist ring,MIDI ring,valentine,love ring",United States,2023-03-10,yes,no,no,AmoreJewelryNewYork,https://www.etsy.com/listing/1421056042/18k-gold-gold-fuck-off-ring-heart-shaped
