title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"ARIANNA greek leather sandals, ankle strap sandals, black sandals, women leather shoes, leather flats, sandals Greece, gift for her ",Shoes > Women&#x27;s Shoes > Sandals > Gladiator & Strappy Sandals,78.04,19,317,63,0,2266,45,"Ankle Strap Sandals,flat sandals,ledersandalen,sandales en cuir,summer shoes,black sandals,greek leather sandal,handmade sandals,strappy sandals,womens shoes,sandals women,leather flat sandals,black sandals women",United States,2022-09-30,yes,no,no,GreekLeatherLab,https://www.etsy.com/listing/1301764100/arianna-greek-leather-sandals-ankle
"Super Cute Fluffy Cow Slippers, Moo Slippers. Animal Slippers. Fluffy and Cozy Slippers, Birthday Gift for her ",Shoes > Women&#x27;s Shoes > Slippers,14.99,14,179,13,4,409,52,"uggs slippers,boots,tiktok slippers,fuzzy slipper,comfy slipper,moo slippers,cow slippers,y2k,cowslippers,cow slipper,cosplay,animal slipper,embroidered slipper",United States,2023-04-19,yes,no,no,Cozystepz,https://www.etsy.com/listing/1464421591/super-cute-fluffy-cow-slippers-moo
Women Soft Leather Shoes | Square Toe Leather Flats | Leather Slip on | Vintage Slip on | Minimalist Flats | Handmade Comfortable Flat Shoes ,Shoes > Women&#x27;s Shoes > Slip Ons > Ballet Shoes,70.39,11,158,32,1,595,39,"shoes women,ballet flats,shoes,minimalist,leather shoes women,leather ballet flats,womens shoes,flats,shoes women flats,leather flats,flat shoes for women,womens flats,women shoes,slip on,women,casual,Square toe Flats,leather,genuine leather,soft,vintage,comfortable,sandals,gift for her",United States,2022-11-14,yes,no,no,WonderWayShoes,https://www.etsy.com/de-en/listing/1346477627/women-soft-leather-shoes-square-toe
Tooled Leather Sandals ,Shoes > Women&#x27;s Shoes > Sandals,64.0,6,123,18,2,270,20,"tooled leather,womens sandals,leather sandals,womens shoes,leather shoes,western boutique",United States,2023-06-04,yes,no,no,TheRowdyRancherCo,https://www.etsy.com/listing/1495961325/tooled-leather-sandals
Mexican Huarache Sandals - Boho- Hippie - Vintage - Mexican - Leather - Shoes - Handmade - Gift for her - gift for mom grandma - Summer shoe ,Shoes > Women&#x27;s Shoes > Sandals > Huaraches,47.99,5,136,27,1,565,49,"bohemian,huaraches sandal,mexican style,colorful leather,mexican huaraches,sandals,leather sandal,handmade shoes,summer sandals,summer shoes,leather,grandma gifts",United States,2023-02-12,yes,no,no,FridaMiaCollection,https://www.etsy.com/listing/1415642281/mexican-huarache-sandals-boho-hippie
Georgia Bulldogs LED Light Up Shoes ,Shoes,43.45,3,205,33,2,145,7,"Light Up Shoes,Georgia Bulldogs,UGA",United States,2022-12-03,yes,no,no,Lumn8ion,https://www.etsy.com/listing/1347243646/georgia-bulldogs-led-light-up-shoes
CUSTOMIZABLE - Custom Leather Boot Harness Set ,Shoes,39.0,2,172,33,0,355,11,"cowgirl,ankle harness,boot harness,western fashion,western jewelry,leather accessories,boot harnesses,cowgirl boots,Yallternative,black leather,custom boot strap",United States,2023-01-09,yes,no,no,HellboundLeatherGood,https://www.etsy.com/listing/1389058801/customizable-custom-leather-boot-harness
Beer inspired Custom Hey Dudes ,Shoes > Men&#x27;s Shoes > Loafers & Slip Ons,125.0,2,333,71,0,439,9,"canvas shoes,dudes,busch light apple,hey dude,custom shoes,busch light,busch hey dude",United States,2022-11-30,yes,no,no,SparkleUpDesigns,https://www.etsy.com/listing/1344678814/beer-inspired-custom-hey-dudes
Sandalia Huarache ~ Todas las tallas Boho- Hippie Vintage ~ Estilo Mexicano ~ Cuero Colorido ~ Huaraches Mexicanos ,Shoes > Women&#x27;s Shoes > Sandals > Huaraches,48.79,2,143,41,1,1213,13,"Huarache Sandal,All Sizes Boho,Hippie Vintage,Mexican Style,Colorful Leather,Mexican Huaraches,sandals,Leather,Huaraches mexicanos,handmade shoes,shoes,womens shoes,Sandalia piel",United States,2023-03-23,yes,no,no,MacarenaCollection,https://www.etsy.com/listing/1430819224/sandalia-huarache-todas-las-tallas-boho
Light Up Sonic Shoes for Kids | Sonic Chaos Emeralds and Power Rings |  LED Sonic the hegdehog movie sneakers light up for kids sonic gift ,Shoes,24.0,2,162,18,2,160,11,"sonic shoes,red sonic shoes,fast sonic shoes,kids sonic gift,toddler sonic shoes,cosplay sonic,sonic movie shoes,sonic inspired shoes,sonic shoes for kids,boys sonic shoes,light up sonic shoes,Led sonic shoes,sonic sneakers",United States,2023-04-08,yes,no,no,EQWorks,https://www.etsy.com/listing/1442965318/light-up-sonic-shoes-for-kids-sonic
"Sparkly Flower Girl Shoes for Toddler, Baby Girl Shoes, Toddler Fancy Cinderella Shoe, Silver Rhinestone Princess Sandals, Girl Wedding Shoe ",Weddings > Shoes > Girls' Wedding Shoes,29.99,1,122,7,0,153,4,"baby girl shoes,girls sparkly shoes,girls wedding shoes,girls party shoes,toddler cinderella,shoes for girls,flower girl shoes,glitter rhinestone,toddler girl sandals,kids birthday shoes,fancy baby shoes,bow sandals,girls dress shoes",United States,2023-02-20,yes,no,no,HNFBabyShoes,https://www.etsy.com/listing/1421778255/sparkly-flower-girl-shoes-for-toddler
"Pink LA, Butterfly, Evil eye, Flower, Bear    ",Shoes > Girls&#x27; Shoes > Clogs & Mules,2.99,1,100,9,0,107,7,"jibbitz,crocs,croc Charms",United States,2022-11-20,yes,no,no,QueenvJewelryCo,https://www.etsy.com/listing/1337016102/pink-la-butterfly-evil-eye-flower-bear
"New trending neutral charms for your crocs, orange and brown clog charms, croc compatible shoe charms, bear face charms, flower charms ",Shoes,3.0,1,52,12,1,118,15,"cute charms,crocs,trending charms,charms for crocs,clog charms,croc charms,jibbitz,popular charms,croc compatible,fashion charms,shoe decor,new charms,clog compatible",United States,2023-07-12,yes,no,no,AMRISandBREN,https://www.etsy.com/listing/1521444633/new-trending-neutral-charms-for-your
"The perfect spadilas wedge Sandler's fit all 11,12 inch dolls ",Shoes > Women&#x27;s Shoes > Sandals > Espadrilles & Wedges,25.0,1,73,13,0,85,2,"poppy parker shoes,barbie shoes,doll shoes,momoko shoes,model muse shoes,wedge sandals,wedge shoes,silkstone shoes,meteor shoes",United States,2023-05-20,yes,no,no,Dollsydoll,https://www.etsy.com/listing/1485808125/the-perfect-spadilas-wedge-sandlers-fit
Croc Charm Chicken Motive cute Bogg bag Charm Animal Pin funny Charm for Crocs Chicken Owner Gift cute shoe charm shoe Pin Clog Pin Chicken ,Shoes > Women&#x27;s Shoes > Clogs & Mules,2.49,0,61,17,0,52,5,"croc charm,croc charms chicken,croc pin,chicken jibbitz,shoe charm,chicken croc charm,shoe charm cute,cute clog charm,chicken bag charm,chicken croc pin,bag charm chicken,chicken jibitz,shoe charm chicken",United States,2023-05-20,yes,no,no,CluckingAwesome,https://www.etsy.com/listing/1471729648/croc-charm-chicken-motive-cute-bogg-bag
"Y2K Black and White Sneakers, Star Platform Shoes, Harajuku Style Womens Shoes, Kawaii Shoes, Unisex Adult Shoes ",Shoes,49.99,0,50,9,1,877,54,"womens shoes,sneakers,vintage shoes,cute shoes,platform shoes,kawaii shoes,casual shoes,unisex adult shoes,canvas shoes,harajuku shoes,lolita shoes,star sneakers,Y2K shoes",United States,2023-05-28,yes,no,no,EliteArtisanWorks,https://www.etsy.com/listing/1491728165/y2k-black-and-white-sneakers-star
"Slip on Tap Shoes for Women and Men, Black ",Shoes > Women&#x27;s Shoes > Sneakers & Athletic Shoes > Dance Shoes,16.98,0,20,0,0,14,0,"tap shoes,dance shoes",United States,2023-01-18,yes,no,no,KawallStore,https://www.etsy.com/listing/1382327604/slip-on-tap-shoes-for-women-and-men
"Boy's and Girl's Tap Shoes with Adjustable Strap for Toddler, Little Kid and Big Kid, Black ",Shoes > Girls&#x27; Shoes > Dance Shoes,15.99,0,161,24,0,24,1,"tap shoes,dance shoes,girls dance shoes,boy's dance shoes",United States,2023-01-03,yes,no,no,KawallStore,https://www.etsy.com/listing/1370769646/boys-and-girls-tap-shoes-with-adjustable
"Women's leather Tabi split-toe boots with 6cm heel, Platform ankle booties, Divided Toe, Japanese style boots. Split toe boots, Leather. ",Shoes > Women&#x27;s Shoes > Boots > Booties & Ankle Boots,77.48,0,76,11,2,135,11,"Tabi Shoes,Split Toe Shoes,Japanese Inspired,Leather Shoes,Womens Shoes,Sandals,Tabi,Split Toe Sandals,gift for her,tabi shoe,tabi boots,womens boots",United States,2023-07-11,yes,no,no,ShoeDesignUS,https://www.etsy.com/listing/1506606902/womens-leather-tabi-split-toe-boots-with
Queen B Croc Charms ,Shoes > Women&#x27;s Shoes > Clogs & Mules,3.0,0,78,11,1,83,4,"croc charms,croc jibitz,jibitz,crocs,queen bee",United States,2023-04-20,yes,no,no,SheKnowsTheDeal,https://www.etsy.com/listing/1465239531/queen-b-croc-charms
"EXTRA Thick Rope Shoe Laces, Travis SB Dunk AJ Off White, Natural Twisted Cotton Rope af1, Chunky Laces ",Shoes > Insoles & Accessories > Shoelaces,14.0,0,23,4,0,76,4,"thick shoelaces,black shoelaces,shoes for men,shoe strings,Rope Shoe Laces,SB Dunk laces,Chunky Laces,durable shoelaces,shoelaces for men,thick white laces,pink thick laces,blue thick laces,laces for sneakers",United States,2023-06-11,yes,no,no,RareShoelaces,https://www.etsy.com/listing/1500894075/extra-thick-rope-shoe-laces-travis-sb
"Trending Black and White Croc Compatible Shoe Charms For Crocs, cow print charms, yin yang charm, heart shoe charms, bear shoe charms ",Shoes,3.0,0,0,38,3,316,44,"trending charms,croc lover,shoe accessories,shoe charms,custom charms,croc compatible,shoe jewelry,clog charms,clog accessories,popular charms,black and white,yin and yang,yellow charms",United States,2023-06-26,yes,no,no,AMRISandBREN,https://www.etsy.com/listing/1510956937/trending-black-and-white-croc-compatible
