title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Sage’s Enchanted Cat Dice Tray | For DnD Dice Set Dungeons Dragons D&D Games RPG TTRPG ,Toys & Games > Games & Puzzles > Role Playing Games,6.95,55,373,165,14,2379,265,"polyhedral dice,dungeons and dragons,rpg,roleplaying games,sages portal,dnd dice,dice tray,crazy horse,leather dice tray,oiled leather,cow hide,gift,luxury dice tray",United States,2023-06-09,yes,no,no,SagesPortal,https://www.etsy.com/listing/1499451719/sages-enchanted-cat-dice-tray-o-for-dnd
"HALF pound of DND DIce, Assorted Loose Dice, Dice by Weight, Dnd Dice sets, d20 POlyhedral DIce. Bulk dice - assorted dice ",Toys & Games > Games & Puzzles > Dice & Tile Games > Dice,35.0,39,285,84,0,981,35,"bag of dice,assorted dice,dice by weight,dice by the pound,d20,bulk dice,pound of dice,dnd dice,dnd dice set,random dice,half pound dice,dice pieces,loose dice",United States,2022-10-06,yes,no,no,d20Adventure,https://www.etsy.com/listing/1305121388/half-pound-of-dnd-dice-assorted-loose
NEW RELEASE - Part 2 - Mini Brands Series 5 ,Toys & Games > Toys > Miniature Toys > Miniature Food,0.2,33,275,115,0,117,4,"collectibles,doll mini food,mini toys,mini shop,miniature toys,doll accessories,toyfood",United States,2023-05-21,yes,no,no,MinisAreUs,https://www.etsy.com/listing/1486934893/new-release-part-2-mini-brands-series-5
Set of 10: Trump Lost Lol - Hilarious Fake Prank 100 Dollar Bill Gag Gift ,Toys & Games > Toys > Pretend Play,3.75,27,1715,484,0,1613,94,"prank money,trump lost,Fake 100,donald trump,trump lost lol,yaboihatestiktok,trump lost dollar,halloween,fuck trump,trump for prison,trump lost money,trump lost 100,donald trump lost",United States,2022-10-03,yes,no,no,YaBoiHatesTikTok,https://www.etsy.com/listing/1317424547/set-of-10-trump-lost-lol-hilarious-fake
"Enchanted Hive, DIY Slime, Clay Slime, Jelly Slime, Slime Kit, Spring Slime, Easter Gift For Kids ",Toys & Games > Toys > Slime & Foam,16.59,26,444,101,3,2198,55,"snow slime,jelly slime,easter slime,easter gift for kids,diy slime kit,clay slime,birthday gift ideas,inflating slime,spring gift ideas,bestselling Slime,slime,bee slime,honeycomb slime",United States,2023-03-25,yes,no,no,ACraftyMonkey,https://www.etsy.com/listing/1432095874/enchanted-hive-diy-slime-clay-slime
The Cosmeows Playmat // Deskmat and Mousepad // Accessories for MTG ,Toys & Games > Games & Puzzles > Card Games > Trading Card Games,40.0,23,885,173,2,2388,41,"mtg,Magic the gathering,playmat,mousepad deskmat,high quality,custom illustration,space astrology,colorful rainbow,cats and cantrips,stitched edge,cat paw toe beans,cosmic cosmeows,nerd geek gifts dnd",United States,2022-11-14,yes,no,no,CatsAndCantrips,https://www.etsy.com/listing/1332698612/the-cosmeows-playmat-deskmat-and
DUO Hatching Cow & Low Sew Cow PDF ,Toys & Games > Toys > Stuffed Animals & Plushies,8.0,20,1566,227,3,560,6,"Kaytedids,cow,low sew,crochet cow,crochet,kaytedids cow,kaytedids pattern",United States,2023-04-14,yes,no,no,KayteDids,https://www.etsy.com/listing/1460836793/duo-hatching-cow-low-sew-cow-pdf
nuiMOs Safety Harness Plushie Belt Strap buckle harness stuffed animal Disney Nuimo sized ,Toys & Games > Toys > Stuffed Animals & Plushies,5.85,19,542,161,4,679,4,"NuiMo,Nuimos,Mickey Mouse,Minnie Mouse,Donald Duck,wishables,munchlings,Nuimos holder,Nuimos clothes,Nuimos accessories,Nuimos outfits,Nuimos ears",United States,2022-11-15,yes,no,no,StickerForYourCooler,https://www.etsy.com/listing/1333090206/nuimos-safety-harness-plushie-belt-strap
WENDIGO Cryptid Plushie | Strange Fellows ,Toys & Games > Toys > Stuffed Animals & Plushies,49.0,17,286,148,4,6243,241,"cryptid,cryptozoology,paranormal,horror,monster,plushie,windigo,halloween,stuffed animal,creepy,doll,witigo",United States,2022-10-08,yes,no,no,StrangeFellowsUS,https://www.etsy.com/listing/1306833678/wendigo-cryptid-plushie-strange-fellows
2 Feet Jumbo Clodsire Squishy PlushPokemon Toy [Ready to Ship] ,Toys & Games > Toys > Push & Pull Toys > Animals,129.0,16,403,95,0,1605,41,"squish,wooper,Clodsire,nintendo plush,pokemonscarletviolet,nintendo,smoliv,pikachu,Fidough",United States,2023-04-08,yes,no,no,MioStitches,https://www.etsy.com/listing/1442409462/2-feet-jumbo-clodsire-squishy
Bluey Inspired Pocket Playset ,Toys & Games > Toys > Pretend Play,31.0,16,177,20,2,1333,164,"stocking stuffer,travel toy,quiet toy,easter basket,pretend play gift,Bluey tv show,granny Bluey,Bluey birthday,blue heeler dog,polly pocket,felties playset,Bluey bingo mum dad",United States,2023-05-01,yes,no,no,TheBobbleBees,https://www.etsy.com/listing/1458286080/bluey-inspired-pocket-playset
Cat DND dice tray / Flat Pack Multiple Colors ,Toys & Games > Games & Puzzles > Role Playing Games,19.98,14,1550,293,4,5758,36,"gaming,gift for him,dnd,dungeons and dragons,leatherette,dice tray,pathfinder,laser engraved,Kawaii,cute DND,Cat",United States,2022-10-14,yes,no,no,TriangleTreasury,https://www.etsy.com/listing/1310732052/cat-dnd-dice-tray-flat-pack-multiple
Pocket Pals Pocket Ghost Tiny Small Ghost Mini Ghost Plush Stuffed Ghost Halloween Party Favor Halloween Ghost Hi Boo Ghost Glow in the Dark ,Toys & Games > Toys > Stuffed Animals & Plushies,9.1,14,54,25,5,415,56,"ghost plush,mini ghost,stuffed ghost,ghost keychain,halloween ghost,ghost party favor,halloween party,tiny ghost,small ghost,adopt a ghost,baby ghost plush,hi boo ghost,ghost hi boo",United States,2023-05-23,yes,no,no,CuriousCutes,https://www.etsy.com/listing/1487906921/pocket-pals-pocket-ghost-tiny-small
DnD Cartoon Show Miniatures venger Unpainted 28mm or 32mm Dungeons and Dragons ,Toys & Games > Games & Puzzles > Board Games,26.0,13,213,43,4,740,60,"dungeons and dragons,dnd,dnd cartoon,nostalgia,table top,miniatures,1980s,barbarian,cavalier,theif,ranger,Dungeon master,unicorn",United States,2023-03-14,yes,no,no,Demon3dprint,https://www.etsy.com/listing/1423743124/dnd-cartoon-show-miniatures-venger
Printable DnD Character Journal 5e Minimalist | Dnd Character Sheet | D&D Campaign journal | DnD5e Spellbook | Dungeons and Dragons ,Toys & Games > Games & Puzzles > Role Playing Games,6.28,12,231,54,3,755,35,"dnd character sheet,dungeon master gift,dnd bullet journal,character creation,campaign diary rpg,vintage notebook pdf,player kit props 5e,dnd journal notebook,5e accessories print,minimalist spellbook,session notes track,character planner 5e,fifth edition dnd",United States,2023-02-03,yes,no,no,DemiDice,https://www.etsy.com/listing/1395226778/printable-dnd-character-journal-5e
Flexible Dragon 3D Print | Tiny Wyvern Keychain | CinderWing3D | Articulated Fidget Keychain | Dragon Keychain ,Toys & Games > Toys > Dolls & Action Figures > Action Figures,3.0,11,278,54,3,461,31,"3D printed,CinderWing3D,Keychain,Handmade,Love,Accessories,Dragon Art,Fantasy,Anime,Fashion,Unique,Tiny Dragon",United States,2023-03-15,yes,no,no,StephsMagicMenagerie,https://www.etsy.com/listing/1439077435/flexible-dragon-3d-print-tiny-wyvern
"Monstera Leaf Silicone teether, baby gift, BPA free, teething accessories, boys teether, girls teether, newborn gift ",Toys & Games > Toys > Baby & Toddler Toys,7.0,10,1574,293,5,2690,38,"baby,sore gums,baby gift,toy,newborn,silicone,sensory,monstera leaf,plant",United States,2022-10-07,yes,no,no,RitaJuneBabyBoutique,https://www.etsy.com/listing/1305980132/monstera-leaf-silicone-teether-baby-gift
Elf Mage | TABLETOP SCALE | D&D TTRPG Fantasy Miniature | Nerikson ,Toys & Games > Toys > Miniature Toys > Role Playing Miniatures,8.99,9,78,7,0,360,25,"dungeons and dragons,pc npc bbeg,gift for dm player,pathfinder mini,wargame ttrpg,dnd miniature,dnd gift,gift for gamer,elf half sorcerer,wizard caster,pathfinder fantasy,tabletop rpg wargame",United States,2023-05-06,yes,no,no,TattlesTold3D,https://www.etsy.com/listing/1462162972/elf-mage-tabletop-scale-dd-ttrpg-fantasy
Kaalia of the Vast - Complete Commander Proxy Deck (cEDH) with 108 Cards and Bonus Cards - Ready to Play MTG Angel Demon Dragon Deck ,Toys & Games > Games & Puzzles > Card Games > Trading Card Games,59.96,8,299,37,1,261,18,"Magic the Gathering,custom magic card,mtg gifts,commander staples,proxy commander deck,dual lands,fetch lands,anime tokens,kaalia of the vast,avacyn angel of hope,teferi's protection,dockside mtg proxy,angel dragon deck",United States,2023-04-20,yes,no,no,LiquidLuckGaming,https://www.etsy.com/listing/1465329091/kaalia-of-the-vast-complete-commander
12 Pcs Goblins raiders By Tytantroll Miniatures / Goblin raiders / wargame / D&D / miniatures /  Tytantroll miniatures ,Toys & Games > Toys > Miniature Toys > Role Playing Miniatures,20.0,8,205,37,1,439,23,"Goblin,Tytantroll,Miniatures,dnd miniature,dungeons and dragons,pathfinder,wargaming,tabletop rpg,goblins,fantasy,monster,3d miniatures,gloomheaven",United States,2022-12-22,yes,no,no,SwordNCLAWMINIS,https://www.etsy.com/listing/1376479225/12-pcs-goblins-raiders-by-tytantroll
