title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Clear, Frosted, White and Black Acrylic Blank Stock Sheet Lucite Wedding Signs | DIY Perspex Blanks | Wholesale Craft Supply ",Weddings > Decorations > Signs,2.63,38,252,41,0,199,7,"blank acrylic,blank arch acrylic,diy wedding signs,diy acrylic sign,wholesale acrylic,Blank arch sign,blank table sign,black acrylic,blank table number,bulk acrylic blanks,lucite stock,blank acrylic stock,clear white frosted",United States,2023-03-06,yes,no,no,PinkPosiesandPearls,https://www.etsy.com/listing/1417726214/clear-frosted-white-and-black-acrylic
"ARCH Shaped Clear, Frosted, White and Black Acrylic Blank Stock Sheet Lucite Wedding Signs | DIY Perspex Blanks | Wholesale Craft Supply ",Weddings > Decorations > Signs,2.88,32,311,82,6,701,16,"blank acrylic,blank arch acrylic,diy wedding signs,diy acrylic sign,wholesale acrylic,Blank arch sign,blank table sign,black acrylic,blank table number,bulk acrylic blanks,lucite stock,blank acrylic stock,clear white frosted",United States,2023-03-06,yes,no,no,PinkPosiesandPearls,https://www.etsy.com/listing/1431926881/arch-shaped-clear-frosted-white-and
Short satin wedding dress ,Weddings > Clothing > Dresses > Bridal Gowns & Separates,169.0,26,338,54,5,2113,71,"Little white dress,short bridal gown,court house wedding,elopement dress,short wedding dress,cheap wedding dress,rehearsal dinner,bridal shower,Bachelorette dress,cheap bridal gown",United States,2023-02-28,yes,no,no,VeilsforBrides,https://www.etsy.com/listing/1427287855/short-satin-wedding-dress
"Sage Green Floral Embroidered Tulle Flower Girl Dress, Easter Girls Dress, Spring Flower Girl Dress, Summer Floral Dress for Girls ",Weddings > Clothing > Dresses > Flower Girl Dresses,72.9,26,620,97,0,2867,72,"country flower girl,bohemian flower girl,sage green dress,spring flower girl,floral flower girl,sage green flower g,rust flower girl,floral tulle dress,boho flower girl,green flower girl,flower girl dresess,easter dress for gi,greenery dress",United States,2023-03-22,yes,no,no,AlziaBoutique,https://www.etsy.com/listing/1429852760/sage-green-floral-embroidered-tulle
Fairie Circlet Princess forehead tiara headpiece woodland wedding fairy tale faeries renaissance fair medieval fantasy festival ,Weddings > Accessories > Hair Accessories > Hair Jewelry,29.99,25,591,84,7,4323,298,"princess tiara,bride tiara,elf tiara,tiaras,rhinestone tiaras,elven tiara,fantasy lover,cosplay crown,elven head dress,pixie tiara,sci-fi lover gift,fairy-tale princess,rose-gold crown",United States,2023-01-06,yes,no,no,GlamourGhoulFinds,https://www.etsy.com/listing/1387086329/fairie-circlet-princess-forehead-tiara
"2023 Beaded Wedding Veil, Beaded Ivory Bridal Veil, Beaded Edge Wedding Veil, Beaded Bridal Veil, Ivory Veil, Beaded Fingertip Wedding Veil ",Weddings > Accessories > Veils,24.68,16,306,48,6,689,37,"wedding veil,bridal veil,cathedral veil,pearl veil,bachelorette veil,boho wedding,classic wedding,wedding accessories,wedding hair comb,bridal shower gift,bridal shower,pearl dress,bride pearl hair",United States,2023-01-08,yes,no,no,MissBrideDesigns,https://www.etsy.com/listing/1374460046/2023-beaded-wedding-veil-beaded-ivory
"Maid of Honor Proposal Candle Amber Jar, Funny Maid of Honor Proposal Gift, MOH Proposal Box, Litty Titty ",Weddings > Gifts & Mementos > Bridesmaids' Gifts > Bridesmaid Proposals,13.49,15,707,152,7,1539,38,"maid of honor gift,MOH proposal,bridesmaid proposal,bridesmaid box,bridesmaid candle,wedding candle,funny bridesmaid,bride gift box,cute bride gift,bridesmaid present,candle bridesmaid,engagement candle,maid of honor box",United States,2023-01-17,yes,no,no,BeMarryGifts,https://www.etsy.com/listing/1381397306/maid-of-honor-proposal-candle-amber-jar
Turquoise Stone Steer Necklace ,Weddings > Jewelry > Necklaces,16.98,11,164,32,1,814,45,"accessories,accessory,chain necklace,charm necklace,cow,cowgal,cowgirl,cowgirls,final sale,jewel,jewelry,necklace",United States,2022-11-09,yes,no,no,wildjunkieboutique,https://www.etsy.com/listing/1328893260/turquoise-stone-steer-necklace
Wedding Photo Guest Book Photobooth Guestbook Sign Polaroid Picture Guestbook Sign In Acrylic Signage for Ceremony and Reception ,Weddings > Decorations > Signs,13.75,11,71,10,1,116,24,"wedding photo,guest book sign,photobooth guestbook,polaroid picture,guestbook sign in,acrylic signage,for wedding ceremony,wedding shower sign,frosted acrylic sign,glass like look,snap it stick it,sign it shake it",United States,2023-06-10,yes,no,no,YippeeDaisy,https://www.etsy.com/listing/1485944284/wedding-photo-guest-book-photobooth
"Emerald Green Flower Girl Dress, Spring Flower Girl Dress, Boho Wedding, Tulle Dress for Little Girls ",Weddings > Clothing > Dresses > Flower Girl Dresses,73.44,11,415,41,1,1344,42,"flower girl dress,flower girl dresses,alzia boutique,green toddler dress,boho flower girl,first birthday dress,rust flower girl,burnt orange flower,Berry Red Girls Dr,Crimson Red Girl's,Christmas dress for,Red Toddler Dress,Green Girl's Dress,Emerald  flower girl,Holiday babies outf,First Christmas",United States,2022-11-01,yes,no,no,AlziaBoutique,https://www.etsy.com/listing/1322805336/emerald-green-flower-girl-dress-spring
Ivory 4 Layer Pearl Tulle V-Back Ankle Length Wedding Flower Girl Trendy Summer Pageant Infant Toddler Princess Photoshoot Winter Girl Dress ,Weddings > Clothing > Dresses > Flower Girl Dresses,75.98,10,630,88,8,1105,25,"flower girl dress,tulle girl dress,wedding dress,wedding girl dress,ivory girl dress,ivory tulle dress,v-back girl dress,pearl girl dress,summer girl dress,toddler girl dress,infant girl dress,communion dress",United States,2022-11-17,yes,no,no,LittledarlnBoutique,https://www.etsy.com/listing/1348804953/ivory-4-layer-pearl-tulle-v-back-ankle
"Minimalist Bridal Shower Welcome Sign Template, Printable Bridal Brunch Welcome Sign, Bridal Shower Welcome Sign, 8 Sizes, S1A - Chloe ",Weddings > Invitations & Paper > Templates,5.67,9,883,83,5,526,15,"welcome sign,bridal shower sign,bridal shower,printable sign,welcome wedding sign,welcome Poster,Welcome Template,Simple Welcome Sign,Minimalist sign,Minimalist welcome,Modern welcome sign,Bridal Brunch Sign,Bridal Welcome Sign",United States,2023-01-12,yes,no,no,JoyCeremony,https://www.etsy.com/listing/1377950488/minimalist-bridal-shower-welcome-sign
Dazed & Engaged Embroidered Bachelorette Party Trucker Hats | Bridesmaids Gifts Bridal Party Accessories | 1990s Foam Mesh Snapback Caps ,Weddings > Gifts & Mementos > Bridesmaids' Gifts,21.6,9,184,46,2,882,14,"Bachelorette Party,Bridesmaids Gifts,Bridal Party Favors,Dazed And Engaged,Ready To Ship,Bride Squad Caps,Foam Trucker Hats,1990s Snapback Hats,1990s Retro Theme,Austin Bachelorette,Party Decorations,Team Bride Gifts,Embroidered Hats",United States,2023-03-08,yes,no,no,shopstagandhen,https://www.etsy.com/listing/1433899539/dazed-engaged-embroidered-bachelorette
"Pearl Wedding Hair Pins, Bridal Hair Comb, Gold Pearl Headpiece, Wedding Hair Piece Bridesmaid Hair ",Weddings > Accessories > Hair Accessories > Hair Pins,24.0,8,385,66,4,552,17,"Bridal Hair Comb,Wedding Hair Clip,Bridal Hair Clip,Gold Hair Clip,Flower Hair Pieces,Wedding Hair Pins,Hair Jewelry,Rose Gold Hair Pins,Bridal Hair Pieces,Pearl Hair Pins,Wedding Hair Comb,Gold Pearl Hair Clip,pearl hair piece",United States,2022-10-21,yes,no,no,SarasBoutique,https://www.etsy.com/listing/1315610552/pearl-wedding-hair-pins-bridal-hair-comb
"Wood Slice Cake Stand! Wedding cake stand, rustic wedding decor, wood log cake stand, cake base, cake holder, smash cake stand! ",Weddings > Decorations > Serving & Dining,47.99,8,49,10,2,152,16,"wedding,boho wedding decor,wedding decoration,rustic wedding decor,smash cake stand,rustic cake stand,wedding cake stand,wood slice,wood cake stand,cake holder,cake base,cake stand,wood log cake stand",United States,2022-12-18,yes,no,no,RusticWoodSlices,https://www.etsy.com/listing/1359417162/wood-slice-cake-stand-wedding-cake-stand
