title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"September Birthday Gift Box, Birth Flower, September Born Birthday Ideas, Birthday Gift for Her, Best Friend Gift, Personalized Gift for Her ",Bath & Beauty > Spa & Relaxation > Spa Kits & Gifts,19.89,134,1418,259,24,1071,42,"birthday gift,best friend gift,birthday,gifts for women,handmade,gift for women,best gifts for her,gifts for her,gift for her,gift for best friend,birthday ideas,birth flower gift,Birthday Gift Ideas,Gift for Sister,September birth,September flower,September candle,September gift,September birthday,mom birthday gift",United States,2023-05-03,yes,no,no,ErynsHomeAndGifts,https://www.etsy.com/listing/1460030076/september-birthday-gift-box-birth-flower
"Personalized Compact Mirror, Mother of the Bride Gift,Gift for Mom From Daughter,Mother of Groom Gift,Mother of the Bride Gift,Wedding Gift ",Bath & Beauty > Makeup & Cosmetics > Makeup Tools & Brushes > Hand & Pocket Mirrors,24.99,79,300,47,14,338,61,"pocket mirror,compact mirror,personalized mirror,bridesmaid gift,mother of the bride,maid of honour,wedding gift,mother of the groom,custom mirror,wedding,mom and daughter,mother gift,engrave mirror",United States,2023-04-04,yes,no,no,MintDesigns2010,https://www.etsy.com/listing/1453714463/personalized-compact-mirror-mother-of
Custom Baby Gift Girls| Personalized Wooden Baby Hair Brush | Custom Baby Brush |  Baby Shower Gift Girls | Baby Keepsake Gift | ,Bath & Beauty > Baby & Child Care > Baby Gift Sets,19.54,76,664,173,0,923,106,"Baby gift,baby girl gift,Brush and comb set,personalized gift,baby shower gift,new baby girl gift,baby brush and comb,First birthday girl,New baby girl,wooden baby brush,custom baby brush,Custom Baby Gift,custom",United States,2023-03-30,yes,no,no,ForeverPersonalized0,https://www.etsy.com/listing/1449998127/custom-baby-gift-girls-personalized
Watermelon Sugar Summer Collection | Bath | Spa | Body Cream | Goat Milk Skin Care | Sweet Summer Soap | ,Bath & Beauty > Soaps > Bar Soaps,2.5,68,147,26,3,127,8,"moisturizing,soap,natural,handmade,gift,creamy,goat milk,self care,summer",United States,2023-06-22,yes,no,no,PattersonsFarm,https://www.etsy.com/listing/1494097756/watermelon-sugar-summer-collection-bath
"Deluxe New Mom & Baby Gift Box for Women After Birth | Baby Gift Basket, Postpartum Care Package, Push Present, Newborn Boys, Girls, Unisex ",Bath & Beauty > Baby & Child Care > Baby Gift Sets,45.0,60,479,98,14,992,84,"new mom gift,new mom gift box,new mom gift basket,pregnancy gift,new mom care package,post partum gift box,new mom,first time mom gift,mom to be gift,baby shower gift,new baby gift,happy hygge gifts,New Baby Girl,Coworker Baby Gift,New Parents Gift Box,Newborn Gift Box,Baby Gift Box,Baby Gift Set,Baby Girl Gift,Mommy and me gift,First Time Moms Gift,Postpartum recovery",United States,2023-06-14,yes,no,no,HappyHyggeGifts,https://www.etsy.com/listing/1488828468/deluxe-new-mom-baby-gift-box-for-women
Gilding Crescent Moon Sun Star Nail sticker/ Silver Gold Supernatural Astrological 3D Embossed Stickers for nail art/ Mindful Nails ,Bath & Beauty > Makeup & Cosmetics > Nails > Nail Art > Nail Decals & Guides,5.6,50,1019,150,10,4014,172,"nail stickers,nail decals,nail charms,nails,nail art,nail art stickers,nail decal,nail sticker,nail gems,nail art decals,nails stickers,nail stickers decals,nail decals stickers,manicure sticker,moon nail,star nail sticker,sun nail,sun nail sticker,Astrological nail,star nail,tarot nail,star nails,celestial aesthetic,aesthetic nail",United States,2023-02-23,yes,no,no,Makynail,https://www.etsy.com/au/listing/1409612706/gilding-crescent-moon-sun-star-nail
100% Natural Henna Powder Cone 30 Grams 45 Grams Per Each Cone Temporary Tattoo ,Bath & Beauty > Skin Care > Tattooing & Henna > Henna,6.99,47,144,39,5,203,7,"Cone,Body,Art,Design,Cones,Pack,Set,Freestyle,Natural,heena,hena,tattoo",United States,2023-05-09,yes,no,no,YogiDepot,https://www.etsy.com/listing/1463806980/100-natural-henna-powder-cone-30-grams
"9oz Vanilla Whipped Tallow, Grass fed Odorless Beef Tallow Moisturizer ",Bath & Beauty > Skin Care > Moisturizers,11.24,44,702,217,11,411,22,"Grass Fed,Beef Tallow,Tallow moisturizer,Whipped Tallow,Face Cream,Organic,Tallow Balm,All NAtural,Body Cream,diaper rash,Eczema,chapped lips,Vanilla",United States,2023-05-29,yes,no,no,LadyMayOS,https://www.etsy.com/listing/1477787600/9oz-vanilla-whipped-tallow-grass-fed
TRUE SAMPLES 65 scents Whipped Body Butter. Non-greasy Whipped Natural Shea and Mango Body Butter ,Bath & Beauty > Skin Care > Moisturizers,3.0,44,251,268,11,180,10,"Whipped Body Butter,Body Lotion,Natural Moisturizer,Organic Shea Butter,Whipped Mango Butter,Whipped Shea Butter,Sample Body Butter,Party favors,Bridesmaid,Body Butter,Travel Butter",United States,2023-04-10,yes,no,no,WellEtched,https://www.etsy.com/listing/1457945991/true-samples-65-scents-whipped-body
Pacifier Clip Pacifier Holder Binky Clip Binky Holder Personalized Pacifier Holder Personalized Baby GIft ,Bath & Beauty > Baby & Child Care > Pacifiers & Clips,11.99,40,1355,380,0,2450,48,"Engraved baby gift,Baby shower gift,baby toy with name,Binky Holder,Pacifier Holder,Binky Clip,Pacifier Clip,Engraved pacifier,Pacifier,Baby pacifier holder,Baby Binky holder,Engraved baby bib,Engraved shower gift",United States,2022-11-03,yes,no,no,ItsABitPersonal,https://www.etsy.com/listing/1338499965/pacifier-clip-pacifier-holder-binky-clip
