title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Double-Layer Monogram Decal, Shadow Block Monogram, Monogram Sticker for Tumbler, Phone Cases, Laptops, Luggage ",Electronics & Accessories > Decals & Skins > Laptop > Laptop Decals,3.99,184,6051,944,42,3717,35,"monogram decal,laptop decal,tumbler decal,tumbler sticker,monogram stickers,phone sticker,phone decal,car decal,Double Layer Decal,vinyl sticker,letter monogram,Shadow Monogram,shadow letters decal",United States,2022-09-27,yes,no,no,LinkandCharm,https://www.etsy.com/listing/1299550876/double-layer-monogram-decal-shadow-block
In this car we listen to Taylor’s version  Vinyl Decal ,Electronics & Accessories > Car Parts & Accessories > Car Accessories,5.85,94,486,116,21,1559,186,"getaway car,getaway car decal,getaway car sticker,reputation,music car decal",United States,2023-06-22,yes,no,no,cricutkenna,https://www.etsy.com/listing/1494054308/in-this-car-we-listen-to-taylors-version
"500+ Mega Lightroom Preset Bundle, Boho Photo Filters for Instagram, Neutral Aesthetic Presets for Influencers, Rustic Moody Photo Presets ",Electronics & Accessories > Cameras & Equipment > Presets & Photo Filters,5.97,91,3605,403,15,1644,26,"Lifestyle Presets,Influencer Presets,Bright Presets,Natural Presets,Instagram Filters,Warm Presets,Aesthetic Presets,Rustic Presets,Photographer Presets,Wedding Presets,Summer Travel Preset,Film Presets,Fall Presets",United States,2023-04-13,yes,no,no,TheWayfarerShoppe,https://www.etsy.com/listing/1460493279/500-mega-lightroom-preset-bundle-boho
"2,000+ Mobile VIDEO Filters | Influencer Video Editing for Instagram Bloggers, LUTS for Lifestyle Vlog, Moody Video Filters for Social Media ",Electronics & Accessories > Cameras & Equipment > Presets & Photo Filters,7.97,77,480,47,1,898,26,"Video Editing,Instagram Reels,TikTok Video Filters,Lifestyle Filters,Blogger Filters,Travel Filters,VN Filters,Influencer Filters,Fashion Filters,Final Cut Pro Lut,Moody Edits,Luxury Filters,Adobe Premier Pro",United States,2022-10-25,yes,no,no,TheWayfarerShoppe,https://www.etsy.com/listing/1318264466/2000-mobile-video-filters-influencer
Personalized Phone Case Navy Blue Toile iPhone 15 14 Pro Max MagSafe 14 Plus Case Custom Name 12 13 Xs 11 SE Galaxy S23 Ultra CMG-WTB ,Electronics & Accessories > Electronics Cases > Phone Cases,19.93,71,292,61,7,976,110,"phone case,iphone 14 pro case,iphone 13 pro case,phone cases,iphone 14 plus case,iphone 14 case,iphone 13 case,iphone 11 case,phone case iphone 14,iphone 12 pro case,iPhone 11 Pro Max,iPhone 12 Pro Max,toile iPhone 12 case,iPhone 13 pro max,Galaxy S22 case,13 pro case magsafe,14 pro max case,14 plus case toile,cottagecore iPhone,grandmillennial,navy blue toile,toile iPhone 14 case,toile iPhone 15 pro",United States,2023-06-10,yes,no,no,JoyMerrymanStore,https://www.etsy.com/listing/1500123563/personalized-phone-case-navy-blue-toile
"Girlfriends Name Seat Sticker for Car, Name Decal for Foot Step, Relationship Sticker, Custom Name Vinyl Decal, Gift for Him, Gift for Her ",Electronics & Accessories > Car Parts & Accessories > Car Accessories,4.5,69,1586,315,18,2189,63,"gifts for boyfriend,gifts for him,girlfriends seat,gifts for girlfriend,gifts for her,car seat name,passenger princess,custom decal,Christmas gift,girlfriend sticker,seat name decal,gifts for husband,foot step decal",United States,2022-11-22,yes,no,no,VinylsAndCreations,https://www.etsy.com/listing/1338382182/girlfriends-name-seat-sticker-for-car
Halloween Themed Air Fresheners { spooky scary fall rearview mirror western ghost ghost face scream let's go boos } ,Electronics & Accessories > Car Parts & Accessories > Car Accessories > Car Air Fresheners,8.99,66,106,35,8,1608,224,"gifts for him,Air Freshener,Photo ornament,Stocking Stuffers,car decor,Western Country,ghost face,scary movie,scream movie,Spooky stuff,Halloween fresheners,let's go girls",United States,2023-07-22,yes,no,no,NotTodayLuciifer,https://www.etsy.com/listing/1513950104/halloween-themed-air-fresheners-spooky
Disco Cherries Vinyl Sticker- Laptop Sticker- Waterbottle Sticker- Waterproof Sticker ,Electronics & Accessories > Decals & Skins > Laptop > Laptop Decals,3.75,58,308,87,14,2195,203,"cute art sticker,gifts,gifts for her,illustration sticker,cute stickers,laptop decal,waterbottle decal,waterproof sticker,vinyl sticker,disco cherry sticker,disco fruit,groovy sticker,groovy disco sticker",United States,2023-07-03,yes,no,no,IllieMillieDesigns,https://www.etsy.com/listing/1501332396/disco-cherries-vinyl-sticker-laptop
"120+ Lightroom Preset Bundle | Aesthetic Wedding Presets, Natural Instagram Photo Preset, Warm Golden Hour Professional Photographer Presets ",Electronics & Accessories > Cameras & Equipment > Presets & Photo Filters,5.97,50,517,84,5,624,35,"Dark Skin Presets,Instagram Presets,Preset Bundle,Summer Presets,Aesthetic Presets,Luxury Presets,Natural Presets,Golden Hour Presets,Photographer Presets,Wedding Presets,Elopement Presets,Engagement Presets,Warm Presets",United States,2023-04-13,yes,no,no,TheWayfarerShoppe,https://www.etsy.com/listing/1446286480/120-lightroom-preset-bundle-aesthetic
"Trippy Psychedelic Stickers for Adults(10-200pcs), holographic Hippie Sticker Packs, Laptop Hydro Flask Water Bottle Computer Skateboard ",Electronics & Accessories > Decals & Skins > Laptop > Laptop Decals,2.97,50,1153,330,12,3271,83,"trippy stickers,Psychedelic sticker,stoner,hippie,water bottle sticker,hydroflask,laptop",United States,2023-03-01,yes,no,no,SunscoopArts,https://www.etsy.com/listing/1428177713/trippy-psychedelic-stickers-for-adults10
