title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Personalized Tumbler Name Plate ,Home & Living > Kitchen & Dining > Drink & Barware > Drinkware > Tumblers & Water Glasses,11.99,268,737,123,52,716,149,"stanley name plate,stanley cup,personalized stanley,name plate tag,engraved stanley,stanley name cup,stanley tumbler,cute 2023 fall,tumbler gifts,stanley mug name,stanley accessories,stanley glitter,stanley name tag",United States,2023-08-12,yes,no,no,HickoryHousewife,https://www.etsy.com/listing/1528647810/personalized-tumbler-name-plate
Custom Tumbler Name Tag 30 or 40 oz - Glitter Name Topper - Personalized Tumbler Decoration - Acrylic Name Plate ,Home & Living > Kitchen & Dining > Drink & Barware > Drinkware > Tumblers & Water Glasses,14.45,264,676,110,40,1159,213,"40 oz tumbler,30 oz tumbler,Stanley Tumbler,Stanley Dupe,stanley 40oz tumbler,tumbler lid name tag,30oz tumbler tag,stanley straw topper,custom id tag,tumbler topper,Waterbottle Name Tag,Stanley Quencher,personalized lid tag",United States,2023-08-11,yes,no,no,FestiveGal,https://www.etsy.com/listing/1542101717/custom-tumbler-name-tag-30-or-40-oz
40oz or 30oz Tumbler Personalized Name Tag | Personalized name tag for tumbler lid | Name Plate | Stanley Tumbler Name Plate ,Home & Living > Kitchen & Dining > Drink & Barware > Drinkware > Tumblers & Water Glasses,13.5,208,1026,242,50,937,61,"Tumbler tag,Tumbler name plate,Stanley accessories,Tumbler accessories,Teacher gift,Bridesmaid gift,Birthday gift,Gift for her,Girlfriend gift,Name for bottle,Name tag Stanley,Stanley gift,stanley",United States,2023-08-04,yes,no,no,RealCraftWives,https://www.etsy.com/listing/1523082510/40oz-or-30oz-tumbler-personalized-name
"Personalized Blanket for Kids, Baby name blanket, Custom Name Nursery Blanket for Newborn, colorful name blanket, First and Middle Name ",Home & Living > Bedding > Blankets & Throws,18.75,184,2804,578,37,979,40,"custom name blanket,baby shower gift,baby girl blanket,baby christmas gift,blankets with name,birthday present,personalized plush,personalized blanket,baby name blanket,newborn gift,first and middle,girl name blanket,easter gift for kids",United States,2023-02-14,yes,no,no,HickoryMoments,https://www.etsy.com/listing/1416614249/personalized-blanket-for-kids-baby-name
"Custom Pet Pillow, Dog Throw Pillow 3D Pillow Pet Photo Pet Cat Pillow Custom, Personalized Pet Pillow ",Home & Living > Home Decor > Throw Pillows,7.5,182,890,197,43,1050,218,"home decor,custom pet pillow,pet photo pillow,dog pillow,photo pillow,cat pillow,memorial pet,pet loss,dog lover,gift,personalized gift,pet portrait,pet pillow custom",United States,2023-07-28,yes,no,no,TeddiCustomsStudio,https://www.etsy.com/listing/1532217089/custom-pet-pillow-dog-throw-pillow-3d
"Personalized Birth Flower Iced Coffee Cup, Custom Can Glass with Lid and Straw Bridesmaid Gift 16oz Glass Cup, Bridesmaid Proposal ",Home & Living > Kitchen & Dining > Drink & Barware > Drinkware > Tumblers & Water Glasses,9.35,173,2131,314,26,1257,74,"personalized tumbler,bridesmaid gift,bridal party gifts,bachelorette party,bachelorette gift,tumbler with straw,personalized gift,bridesmaid proposal,iced coffee cup,glass tumbler,personalized cup,birth flower glass,birth flower",United States,2023-06-26,yes,no,no,TheWhiteInviteGifts,https://www.etsy.com/listing/1496877142/personalized-birth-flower-iced-coffee
"Custom wood name sign cutout, Baby name sign, Above the crib sign, Large custom name sign, nursery name sign, girl nursery name sign ",Home & Living > Home Decor > Wall Decor > Wall Hangings > Signs,160.0,143,1532,473,53,2246,145,"baby name cut out,cut out baby name,cut out name sign,baby name sign,name cut out,large baby name,crib sign,custom name sign,personalized name,personalized cut out,large name cut out,nursery name cut out,house of rounds",United States,2023-01-31,yes,no,no,TwoAvocadosSigns,https://www.etsy.com/listing/1406563815/custom-wood-name-sign-cutout-baby-name
Personalized Tumbler Name Tag | 40oz 30oz | Name Plate | Quencher Lid Name Tag | Acrylic Name Plate ,Home & Living > Kitchen & Dining > Drink & Barware > Drinkware > Tumblers & Water Glasses,12.0,141,567,144,35,480,49,"Tumbler Tag,Quencher Name Plate,Stanley Name Tag,Stanley Name Plate,Cup Name Tag,Cup Name Plate,Personalized Tumbler,40oz Tumbler Tag,30oz Tumbler Tag,Acrylic Tag,Quencher Name Tag,Tag for Tumbler Lid,Personalized Lid Tag",United States,2023-08-06,yes,no,no,SassyMonogramAndMore,https://www.etsy.com/listing/1524567856/personalized-tumbler-name-tag-40oz-30oz
Custom Wood Baby Name Sign | Letter Wall Art | Kids Room Art | Wall Art for Nursery | Baby Name Sign | Kids Room Decor | Wooden Sign | Boho ,Home & Living > Home Decor > Wall Decor > Wall Hangings > Signs,29.99,139,4606,1045,0,3390,93,"wood signs,baby shower,childrens name,nursery letters,baby shower gift,laser cut name,nursery name sign,Custom wood sign,wood baby name,baby name sign,custom wood name,wood baby sign,name cutouts",United States,2023-02-10,yes,no,no,HouseOfRounds,https://www.etsy.com/listing/1399504302/custom-wood-baby-name-sign-letter-wall
"Custom Personalized Name Tumbler, Insulated Stainless Steel Cup, Bridesmaid Mug Flute, Skinny Wine Tumbler w/ Lid or Straw, Engraved Option ",Home & Living > Kitchen & Dining > Drink & Barware > Drinkware > Tumblers & Water Glasses,6.3,118,5988,1130,24,2041,64,"Name Tumbler,custom personalized,Insulated Cup,Stainless Steel,skinny tumbler,champagne flute,engraved tumbler,wine tumbler,cup with lid,tumbler with straw,large tumbler,Bridesmaid Tumbler,custom tumbler",United States,2022-09-23,yes,no,no,SincerelyMeGift,https://www.etsy.com/listing/1310910119/custom-personalized-name-tumbler
Weathered Emily - Choose Your Color/Size - Handmade Picture Frame - Solid Wood - Distressed Frame - Custom Sizes - Gallery Wall Decor ,Home & Living > Home Decor > Picture Frames & Displays > Picture Frames,11.04,104,659,137,20,408,39,"Picture Frame,Handmade Frame,8x10 Picture Frame,Picture Frame 8x10,Wood Picture Frame,Rustic Picture Frame,Farmhouse Frame,Distressed Frame,Vintage Frame,16x20 Picture Frame,Gallery Wall,Custom Picture Frame,Wedding Frame",United States,2023-03-05,yes,no,no,therustyroof,https://www.etsy.com/listing/1417457996/weathered-emily-choose-your-colorsize
