title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Dog Name Necklace | Personalized Dog Ears Necklace | Custom Pet Jewelry | Pet Name Necklace | Pet Memorial Gift, Gift for Her,Christmas Gift ",Jewelry > Necklaces > Monogram & Name Necklaces,23.0,312,1187,192,59,2549,476,"Dog Name Necklace,Pet Jewelry,Personalized Gift,Custom Dog Pendant,Handcrafted Charm,Pet Lover Gift,Dog Mom Necklace,Dog Ears Necklace,gift for her,name necklace,dog memorial gift,dog ear necklace,pet memorial gift",United States,2023-07-27,yes,no,no,LibraMinimalist,https://www.etsy.com/listing/1531902969/dog-name-necklace-personalized-dog-ears
20G/18G/16G Heart Push Pin Labret • Threadless Flat Back Earring • Tragus Stud • Flat Back Stud • Helix Stud • Cartilage Stud • Nose Stud ,Jewelry > Earrings > Stud Earrings,13.84,188,3434,869,30,8625,159,"stud earrings,tiny stud earrings,dainty stud earrings,minimalist gold stud,threadless push pin,16g push pin stud,20g push pin stud,flat back stud,tragus stud,cartilage stud,conch stud,helix stud,18g push pin stud",United States,2023-01-15,yes,no,no,Aftersundaystudio,https://www.etsy.com/listing/1379639340/20g18g16g-heart-push-pin-labret
Duo Baguette Birthstone Ring by Caitlyn Minimalist • Adjustable Personalized Gemstone Ring • Best Friend Gift • Anniversary Gift • RM87 ,Jewelry > Rings > Stackable Rings,22.05,124,4968,1095,21,15877,404,"CAITLYN MINIMALIST,BIRTHSTONE RING,ADJUSTABLE RING,GEMSTONE JEWELRY,DIAMOND RING,GEMSTONE RING,BEST FRIEND GIFTS,ANNIVERSARY GIFT,PERSONALIZED GIFT,HANDMADE JEWELRY,GIFTS FOR MOM,GIFT FOR HER,BAGUETTE RING",United States,2022-10-17,yes,no,no,CaitlynMinimalist,https://www.etsy.com/listing/1312706604/duo-baguette-birthstone-ring-by-caitlyn
"Baguette Birthstone Ring by Caitlyn Minimalist • Custom Stackable Gemstone Ring, Perfect for Everyday • Personalized Gifts for Mom • RM86 ",Jewelry > Rings > Stackable Rings,18.55,123,2885,595,27,5723,131,"CAITLYN MINIMALIST,BIRTHSTONE RING,DIAMOND RING,BAGUETTE RING,BIRTHSTONE JEWELRY,GEMSTONE RING,STACKING RINGS,HANDMADE JEWELRY,GIFT FOR HER,PERSONALIZED GIFT,ENGAGEMENT RING,GIFTS FOR MOM,CUSTOM RING",United States,2022-10-17,yes,no,no,CaitlynMinimalist,https://www.etsy.com/listing/1326628093/baguette-birthstone-ring-by-caitlyn
"Sideways Paw Necklace,  Personalized Paw Initial Necklace, Pet Memorial Jewelry, Necklace with Paw Symbol, Birthday Gift, Dog Paw Necklace ",Jewelry > Necklaces > Monogram & Name Necklaces,19.6,118,3316,553,21,3206,100,"sideway paw necklace,Customize necklace,pet lover gift,dog mom jewelry,paw print necklace,custom pet necklace,pet name necklace,initial necklace,cat mom jewelry,pet memorial gift,pet themed jewelry,dog name necklace,mother's day gift",United States,2023-02-23,yes,no,no,Silveristic,https://www.etsy.com/listing/1423444003/sideways-paw-necklace-personalized-paw
"Dainty Gold Name Necklace, 18K Gold, Rose, Name Necklace, 925K Sterling Silver, Personalized Gift, Gift for Her, Mother's Day Gift ",Jewelry > Necklaces > Monogram & Name Necklaces,18.0,96,541,123,19,370,16,"name necklace,name necklace silver,silver name necklace,Necklace For Mom,Necklace For Women,Personalized Gift,Gift For Her,sterling silver,personalized,Gold Name Necklace,Custom Name Necklace,personalized jewelry,Mother's Day Gift",United States,2023-03-01,yes,no,no,PureLoveNecklace,https://www.etsy.com/listing/1413764472/dainty-gold-name-necklace-18k-gold-rose
"Sterling Silver Birth Flower Ring, Signet Ring Women, Birth Month Flower, Personalized Ring, Mothers Day Gift, XW168 ",Jewelry > Rings > Signet Rings,22.36,96,1039,246,22,5436,289,"Birth Flower Ring,Silver Signet Ring,Birth Month Flower,Ring for Women,Dainty Ring,Birth Flower Jewelry,Mothers Day Gift,Daisy Ring,Rose Ring,Bridesmaid Gifts,Personalized Ring,Minimalist Ring,Simple Ring",United States,2023-04-27,yes,no,no,DaintyPersonalizedCo,https://www.etsy.com/listing/1455502738/sterling-silver-birth-flower-ring-signet
"14K Gold Evil Eye Bracelet, Cuban Link Chain Evil Eye Bracelet, Dainty Bracelet, Evil Eye Jewelry, Gift for Her, Maid of Honor Gift, XW126 ",Jewelry > Bracelets > Charm Bracelets,21.96,94,5104,1218,23,13479,218,"evil eye,evil eye jewelry,gift for her,birthday gift,evil eye bracelet,evil eye charm,dainty bracelet,cuban link chain,14k gold bracelet,gold evil eye,protection bracelet,Christmas gifts,evil eye protection",United States,2022-10-24,yes,no,no,DaintyPersonalizedCo,https://www.etsy.com/listing/1317881020/14k-gold-evil-eye-bracelet-cuban-link
"14K Gold Diamond Station Necklace, Dainty Necklace,Diamond Chain Necklace,Gift For Her,Birthday Gift,QW52 ",Jewelry > Necklaces > Chains,26.0,93,807,170,23,1463,126,"stone necklace,gold jewelry,bridesmaid gifts,choker necklace,layering necklace,diamond necklace,mothers day gift,dainty necklace,chain necklace,gold necklace,layered necklace,minimalist necklace",United States,2023-04-22,yes,no,no,SilverbySelene,https://www.etsy.com/listing/1466870085/14k-gold-diamond-station-necklace-dainty
"Gift For Groom From Bride on Wedding Day, Custom Photo Boutonniere Lapel Pin, Father of the Groom or Bride Gift ","Jewelry > Brooches, Pins & Clips > Brooches",24.0,92,1021,168,7,1075,84,"Memorial photo pin,Memorial lapel pin,in memory lapel pin,memorial jewelry,Custom Photo Pin,Photo Lapel Pin,Wedding lapel pin,Gift For Groom,From Bride To Groom,Father of the Bride,Gift For Him,Personalized Brooch,Brooch Pin",United States,2023-01-13,yes,no,no,PendantPlaceStore,https://www.etsy.com/listing/1378394020/gift-for-groom-from-bride-on-wedding-day
