title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Groom Face Plastic Shot Glasses, Bachelorette Party Groom Face Decorations, Groom Face Party Favors ",Paper & Party Supplies > Party Supplies > Party Favors & Games > Party Favors,2.31,178,7079,882,24,7593,51,"bachelorette cup,bride shot glass,bachelorette shot,groom face,face on a stick,face shot glasses,face party favors,face confetti,bachelorette groom,bachelorette face,faces on glasses,face decorations,groom head",United States,2022-11-09,yes,no,no,EarlesFolly,https://www.etsy.com/listing/1342425197/groom-face-plastic-shot-glasses
"3D Inflated Horror Character Tumbler Wrap, 20oz Skinny Tumbler, Cartoon 3D Inflated, Spooky Vibes Png, Halloween Png, Sublimation Design Png ",Paper & Party Supplies > Paper > Stationery > Design & Templates > Templates,3.84,169,640,56,14,972,87,"Trick Or Treat,Halloween Nightmare,Before Christmas,Jack Skellington,Disneyland Png,3D Inflated,3D Inflated png,Halloween boogeyman",United States,2023-07-17,yes,no,no,DreamUniconnn,https://www.etsy.com/listing/1510802212/3d-inflated-horror-character-tumbler
ACOTAR 'Bat Wing Mountain' Sticker | To the stars who listen | Feyre & Rhysand | Mountain Sticker | ACOTAR Merch | Officially Licensed | SJM ,"Paper & Party Supplies > Paper > Stickers, Labels & Tags",4.49,161,2439,522,39,7040,365,"rhysand sticker,book lover sticker,water bottle sticker,holographic sticker,moon and stars,mountain sticker,fantasy sticker,acotar merch,acotar sticker,acotar,bookish sticker,acotar art,rhysand and feyre",United States,2023-03-31,yes,no,no,RedwoodLabelCo,https://www.etsy.com/listing/1436616658/acotar-bat-wing-mountain-sticker-to-the
"Digital RECIPE BOOK, GoodNotes Planner, iPad Planner Notability Planner Yearly Meal Digital Planner Cookbook ",Paper & Party Supplies > Paper > Stationery > Design & Templates > Templates > Planner Templates,2.69,151,1169,81,9,572,37,"digital planner,goodnotes planner,ipad planner,goodnotes template,digital notebook,notability planner,2023 digital planner,planner digital,planner for goodnote,digital planner app,recipe template,meal planner,recipe book template",United States,2023-04-29,yes,no,no,ArtDesignCollection,https://www.etsy.com/listing/1471644691/digital-recipe-book-goodnotes-planner
Bella & Canvas 3001 TShirt Mockup - Bella Canvas 3001 Shirt - Dark Grey Heather Shirt Mockup - Oversized Mockup - Bella Canvas Mockup ,Paper & Party Supplies > Paper > Stationery > Design & Templates > Graphic Design > Store Graphics,5.4,121,2130,409,24,1079,37,"Pepper Mockup,dark grey heather,bella canvas Shirt,C1717 mockup,tshirt mockup,bella canvas 3001,shirt mockup,bella canvas mockup,t shirt mockup,mockup,oversized mockup,moonlit mockups,Comfort Color mockup",United States,2023-04-26,yes,no,no,moonlitmockups,https://www.etsy.com/listing/1469263977/bella-canvas-3001-tshirt-mockup-bella
Custom Face Temporary Tattoos Grooms Photo Bachelorette Birthday Party Favors Funny Gift Personalized Face Cutout Dogs Pet big cropped head ,Paper & Party Supplies > Party Supplies > Party Favors & Games > Party Favors,1.79,117,1672,303,18,710,35,"bachelorette favor,bachelorette party,bachelorette tattoo,personalized favor,party favors,custom tattoo,custom bachelorette,photo tattoo,birthday party,dogs pet,grooms face,cutout head,face cutout tattoos",United States,2023-05-04,yes,no,no,ShopTattitude,https://www.etsy.com/listing/1460375906/custom-face-temporary-tattoos-grooms
"Groomsmen Gift, Groomsman Proposal, custom whiskey label, best man gift, Man of Honor gift, Usher Proposal gift, custom liquor label ","Paper & Party Supplies > Paper > Stickers, Labels & Tags > Labels",2.99,108,1880,343,18,1174,58,"personalized label,Best man gift,gifts for best man,gifts for groomsman,groomsmen proposal,best man proposal,custom liquor label,diy whiskey kit,groomsman proposal,Groomsmen gift,custom whiskey label,diy whiskey label,usher proposal gift",United States,2023-03-16,yes,no,no,BananaChipStudio,https://www.etsy.com/listing/1439591061/groomsmen-gift-groomsman-proposal-custom
Bachelorette Party Straws Bach Party Supplies Favors Decorations Drink Markers for Cups Funny Bridesmaid Gift Bags Choose Your Colors ,Paper & Party Supplies > Party Supplies > Party Favors & Games > Party Favors,1.99,107,8517,1186,23,7312,0,"Bachelorette party,Bachelorette favor,lets get nashty,bachelorette straw,disco cowgirl bach,bach supplies,disco bride favor,final fiesta bach,Nashville bach,bachelorette camp,space cowgirl bach,scottsdale bach,bach pool party",United States,2023-01-17,yes,no,no,anibucco,https://www.etsy.com/listing/1381371344/bachelorette-party-straws-bach-party
"SBAR Nurse Report Sheet Med Surg Nurse Brain ICU Report Sheet for Nurse RN Nursing Report Sheet, New Grad Nurse W/ Telemetry & To-Do Log ",Paper & Party Supplies > Paper > Stationery > Design & Templates > Templates,3.4,107,785,84,12,713,60,"Sbar Nurse Report,Nurse Report Sheet,Report Sheet,Med Surg,Nurse Brain Icu,For Nurse,Rn Nursing,Telemetry Nursing,Icu Report Sheet,Nurse Brain Sheet,Medsurg Report Sheet,Rn Report Sheet,Cna Report Sheet",United States,2023-06-02,yes,no,no,NursingPlus,https://www.etsy.com/listing/1494941809/sbar-nurse-report-sheet-med-surg-nurse
"Custom Name Sticker, Personalized name sticker, Varsity letters, Chenille, Preppy, aesthetic sticker, laptop sticker, water bottle sticker ","Paper & Party Supplies > Paper > Stickers, Labels & Tags > Stickers",5.28,96,1940,322,19,2248,54,"custom name stickers,personalized sticker,laptop stickers,colorful stickers,name sticker,water bottle sticker,aesthetic stickers,personalized name,cute stickers,waterproof sticker,varsity letters,chenille sticker,preppy sticker",United States,2023-04-19,yes,no,no,SunkissedShoppe,https://www.etsy.com/listing/1450175034/custom-name-sticker-personalized-name
"3D Inflated Retro Spooky Season Tumbler Wrap Design, Halloween Tumbler Wrap, 3D 20oz Sublimation Design png, Skinny Straight Tumbler Wrap ",Paper & Party Supplies > Paper > Stationery > Design & Templates > Templates,2.4,96,1160,72,7,1640,98,"sublimation skinny,sublimation designs,tumbler template,sublimation tumbler,3d tumbler wrap,inflated tumbler png,3d design tumbler,puffy tumbler wrap,png for sublimation,tumbler sublimation,tumbler design,20oz tumbler wrap,ghost tumbler wrap",United States,2023-07-06,yes,no,no,DreamUniconnn,https://www.etsy.com/listing/1517648297/3d-inflated-retro-spooky-season-tumbler
"Custom Face Stickers, Personalized Stickers, Custom Party Favors, 30th Birthday Decorations, Waterproof Stickers, sticker sheet, Die cut ","Paper & Party Supplies > Paper > Stickers, Labels & Tags > Stickers",7.5,91,167,32,10,146,17,"Custom Face Stickers,Custom Party Favors,Personalized,custom stickers,photo sticker,party favor sticker,bachelorette,party favors,Bachelor Party,30th Birthday,40th Birthday,waterproof stickers",United States,2023-05-13,yes,no,no,CarolinaCanCoolers,https://www.etsy.com/listing/1480955419/custom-face-stickers-personalized
DEFECTIVE Sticky Note Mystery Bundle ,Paper & Party Supplies > Paper > Stationery > Notepads,9.0,91,1703,551,14,245,2,Sticky Notes,United States,2022-10-01,yes,no,no,AcornandCrowStudio,https://www.etsy.com/listing/1316085417/defective-sticky-note-mystery-bundle
Princess birthday invitation princesses birthday party invitation digital phone 5th princess frozen birthday party invitations for girls PR2 ,Paper & Party Supplies > Paper > Invitations & Announcements > Invitations,2.99,91,262,24,7,222,29,"princess invitation,princess invitations,princesses invite,princesses invites,editable princess,princess birthday,princesses birthday,birthday invitation,birthday invitations,digital birthday,frozen invitation,frozen invitations,princess card",United States,2023-07-11,yes,no,no,Pixifully,https://www.etsy.com/listing/1506681720/princess-birthday-invitation-princesses
"5-50 Pack Highland Cow Stickers for Laptops, Skateboards, Phones, Rewards, Water Bottles, Bikes, Luggage, Travel ","Paper & Party Supplies > Paper > Stickers, Labels & Tags",2.19,90,153,40,4,248,30,"sticker,cute,waterproof,phone,pack,scrapbook,stickers,highland,cow,cattle,rustic,cows",United States,2023-06-29,yes,no,no,RadRandomStickers,https://www.etsy.com/listing/1498686276/5-50-pack-highland-cow-stickers-for
"Never Better Skeleton Sticker, Funny Dead Inside Sarcastic Sticker, Funny Gifts, Funny Mom Sticker, Funny Sayings Sticker, Graphic Sticker ","Paper & Party Supplies > Paper > Stickers, Labels & Tags > Stickers",2.99,88,260,51,17,1086,267,"Never Better Sticker,Skeleton Sticker,Sarcastic Stickers,Dead Inside Sticker,Sarcastic Sticker,Sarcasm Sticker,Funny Mom Sticker,Mom Life Sticker,Mom Gift,Mom Christmas Gift,Funny Unisex Sticker,Mother's Day Gifts",United States,2023-07-20,yes,no,no,ArtsyLegacy,https://www.etsy.com/listing/1526712277/never-better-skeleton-sticker-funny-dead
