title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Wedding sneakers/ Valentine Gift/Embroidered Wedding Flowers  Shoes High platform  4CM/Wedding Converse Converse Embroidered Flowers ,Shoes > Women&#x27;s Shoes > Sneakers & Athletic Shoes > Tie Sneakers,108.94,21,574,151,0,7509,44,"embroidered converse,converse,converse high tops,converse embroidery,shoes,wedding converse,custom converse,flower converse,platform converse,embroidered shoes,floral converse,converse spacehippie,converse stitched,floral men sneakers,floral chucks,embroidery shoes,embroidered design,hand embroidered,converse custom,converse embroidered,embroidery converse,nature shoes",United States,2022-10-21,yes,no,no,UGURStudio,https://www.etsy.com/listing/1329810673/wedding-sneakers-valentine
"ARIANNA greek leather sandals, ankle strap sandals, black sandals, women leather shoes, leather flats, sandals Greece, gift for her ",Shoes > Women&#x27;s Shoes > Sandals > Gladiator & Strappy Sandals,78.04,19,317,63,0,2266,45,"Ankle Strap Sandals,flat sandals,ledersandalen,sandales en cuir,summer shoes,black sandals,greek leather sandal,handmade sandals,strappy sandals,womens shoes,sandals women,leather flat sandals,black sandals women",United States,2022-09-30,yes,no,no,GreekLeatherLab,https://www.etsy.com/listing/1301764100/arianna-greek-leather-sandals-ankle
Block heel wedding IVORY leather sandals/ Handmade ivory leather heels/ Bridal shoes/ Pearl wedding shoes/ Ivory bridal heels LINDA ,Weddings > Shoes > Women's Wedding Shoes,148.02,17,303,55,6,880,56,"wedding shoes,bridal shoes,heels for bride,ivory shoes,leather wedding shoe,magosisters,wedding pearls,white leather shoes,pearl bridal sandal,block heel bridal,size EU43,size US12",United States,2023-05-09,yes,no,no,magosistersgr,https://www.etsy.com/listing/1464200522/block-heel-wedding-ivory-leather-sandals
Custom embroidery | Converse |Shoes| flower embroidery | Unique gifts | Wedding gifts | wedding embroidery designs | birthday gifts for her ,Shoes > Women&#x27;s Shoes > Sneakers & Athletic Shoes > Hi Tops,108.0,17,370,89,0,4915,179,"Custom embroidery,Converse,flower embroidery,Unique gifts,Wedding gifts,embroidery kit,converse high tops,converse custom,wedding converse,personalized,gift for her,valentine gift",United States,2023-01-27,yes,no,no,CustomShoeDesignsOHO,https://www.etsy.com/listing/1389535292/custom-embroidery-converse-shoes-flower
Custom embroidery |Converse |Shoes| flower embroidery | christmas gifts | merry christmas | Unique gifts | Wedding gifts ,Shoes > Women&#x27;s Shoes > Sneakers & Athletic Shoes > Hi Tops,108.9,16,76,20,4,950,93,"Custom embroidery,Converse,converse high tops,embroidered converse,custom shoes women,embroidery designs,wedding shoes,custom converse,womens shoes,gifts,christmas,christmas gifts,merry christmas",United States,2023-05-29,yes,no,no,CustomShoeDesignsOHO,https://www.etsy.com/listing/1477996470/custom-embroidery-converse-shoes-flower
"Croc compatible vintage styled shoe charms for your crocs, groovy charms, 70’s themed shoe charms, flower power, peace, popular charms ",Shoes,3.0,16,681,184,1,2828,18,"Peace charms,Croc charms,Jibbitz,Charms for crocs,70s charms,croc compatible,clog charms",United States,2023-01-21,yes,no,no,AMRISandBREN,https://www.etsy.com/listing/1398243219/croc-compatible-vintage-styled-shoe
Wedding Bridal Sneaker Personalized - Air Force 1 wedding sneaker - wedding shoe for the BRIDE - all white pearls ,Weddings > Shoes > Women's Wedding Shoes,145.0,16,383,108,5,1628,65,"unique wedding gift,custom sneakers,shoe for bride,bride shoe,converse bridal shoe,shoes,bride,bridal shoe,bridal sneaker,air force 1,nike bride sneaker,custom bride shoe",United States,2023-03-30,yes,no,no,CaliCakeCo,https://www.etsy.com/listing/1436381384/wedding-bridal-sneaker-personalized-air
"Super Cute Fluffy Cow Slippers, Moo Slippers. Animal Slippers. Fluffy and Cozy Slippers, Birthday Gift for her ",Shoes > Women&#x27;s Shoes > Slippers,14.99,14,179,13,4,409,52,"uggs slippers,boots,tiktok slippers,fuzzy slipper,comfy slipper,moo slippers,cow slippers,y2k,cowslippers,cow slipper,cosplay,animal slipper,embroidered slipper",United States,2023-04-19,yes,no,no,Cozystepz,https://www.etsy.com/listing/1464421591/super-cute-fluffy-cow-slippers-moo
Wedding Bridal Sneaker Personalized - Air Force 1 wedding sneaker -wedding shoe for the BRIDE -white iridescent Rhinestone & white pearl mix ,Weddings > Shoes > Women's Wedding Shoes,145.0,13,341,96,3,942,14,"unique wedding gift,custom sneakers,shoe for bride,bride shoe,converse bridal shoe,shoes,bride,bridal shoe,bridal sneaker,air force 1,nike bride sneaker,custom bride shoe",United States,2023-02-06,yes,no,no,CaliCakeCo,https://www.etsy.com/listing/1410805633/wedding-bridal-sneaker-personalized-air
Women Soft Leather Shoes | Square Toe Leather Flats | Leather Slip on | Vintage Slip on | Minimalist Flats | Handmade Comfortable Flat Shoes ,Shoes > Women&#x27;s Shoes > Slip Ons > Ballet Shoes,70.39,11,158,32,1,595,39,"shoes women,ballet flats,shoes,minimalist,leather shoes women,leather ballet flats,womens shoes,flats,shoes women flats,leather flats,flat shoes for women,womens flats,women shoes,slip on,women,casual,Square toe Flats,leather,genuine leather,soft,vintage,comfortable,sandals,gift for her",United States,2022-11-14,yes,no,no,WonderWayShoes,https://www.etsy.com/de-en/listing/1346477627/women-soft-leather-shoes-square-toe
