title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"First Day of School Sign, Back to School Chalkboard, Reusable 1st Day Board, Last Day, Kindergarten, First Grade, Preschool, Ruler, BloomOwl ",Toys & Games > Toys > Learning & School,31.99,126,448,86,24,480,26,"first day of school,back to school,chalkboard sign,school sign,personalized,kindergarten,preschool Pre K,school board,1st Day of School,Last Day of School,School Photo Prop,first second third,Reusable Sign",United States,2023-07-31,yes,no,no,BloomOwl,https://www.etsy.com/listing/1520434076/first-day-of-school-sign-back-to-school
Pumpkin Spice Latte Plush Crochet PATTERN - Amigurumi ,Toys & Games > Toys > Stuffed Animals & Plushies,4.75,77,253,42,14,389,65,"crochet pattern,amigurumi,amigurumi pattern,pumpkin spice latte,psl plush,pumpkin crochet,fall crochet pattern,fall amigurumi,pumpkin amigurumi,cute amigurumi,crochet latte,crochet dessert",United States,2023-08-16,yes,no,no,TheWonderCrochet,https://www.etsy.com/listing/1545806119/pumpkin-spice-latte-plush-crochet
DnD Spell Cards BUNDLE | All Cantrips to Level 9 Illustrated cards | Dungeons and Dragons 5e | d&d Spellbook | Tarrot size cards ,Toys & Games > Games & Puzzles > Role Playing Games,33.64,73,167,39,4,638,57,"Dnd spell cards,Dm props download,beginner dnd5e help,character sheet pdf,spellbook wizard,dnd spellcards 5e,deck of many things,dungeons and dragons,d and d art,illustrated cards 5e,tasha volo xanathars,dnd printables prop,dnd gift accessory",United States,2023-06-13,yes,no,no,DemiDice,https://www.etsy.com/listing/1487812116/dnd-spell-cards-bundle-all-cantrips-to
"Low Sew Bee PDF, Crochet Instructions ",Toys & Games > Toys > Stuffed Animals & Plushies,4.25,70,1391,203,4,808,12,"Kaytedids,bee,crochet bee,low sew,no sew",United States,2023-06-12,yes,no,no,KayteDids,https://www.etsy.com/listing/1501380379/low-sew-bee-pdf-crochet-instructions
The Disappointment Set | RPG Set of 7 Unmatched Dice | Each Die Is  ,Toys & Games > Games & Puzzles > Role Playing Games,5.75,57,591,202,17,2476,120,"b grade,brown,dice,grey gray,joke,mystery pull,polyhedral 7",United States,2023-03-29,yes,no,no,ViridianDice,https://www.etsy.com/listing/1435205382/the-disappointment-set-rpg-set-of-7
"Anniversary Golf Gift for Men, Anniversary Golf Gifts, Wood Anniversary Gift, Five Year Anniversary Gift, Wooden Anniversary Gift ",Toys & Games > Sports & Outdoor Recreation > Golf,24.0,56,905,139,12,601,32,"anniversary gifts,anniversary golf,golf anniversary,anniversary gift,wood anniversary,anniversary wood,wooden anniversary,anniversary,golf gifts,golf gifts for men,golf gift,five year gift,five year gifts",United States,2023-02-25,yes,no,no,stylizeddesigns,https://www.etsy.com/listing/1410872008/anniversary-golf-gift-for-men
Sage’s Enchanted Cat Dice Tray | For DnD Dice Set Dungeons Dragons D&D Games RPG TTRPG ,Toys & Games > Games & Puzzles > Role Playing Games,6.95,55,373,165,14,2379,265,"polyhedral dice,dungeons and dragons,rpg,roleplaying games,sages portal,dnd dice,dice tray,crazy horse,leather dice tray,oiled leather,cow hide,gift,luxury dice tray",United States,2023-06-09,yes,no,no,SagesPortal,https://www.etsy.com/listing/1499451719/sages-enchanted-cat-dice-tray-o-for-dnd
"MTG Fan Made Ability Counter Tokenss, LOTR inspired- Single Sided ",Toys & Games > Games & Puzzles > Game Pieces,1.0,40,134,43,1,165,5,"Burden,hope,food,Orc,Orcs,Ring,Magic the gathering,MTG,token,upgrade,counter",United States,2023-06-17,yes,no,no,ByYourCommand,https://www.etsy.com/listing/1505179365/mtg-fan-made-ability-counter-tokenss
"HALF pound of DND DIce, Assorted Loose Dice, Dice by Weight, Dnd Dice sets, d20 POlyhedral DIce. Bulk dice - assorted dice ",Toys & Games > Games & Puzzles > Dice & Tile Games > Dice,35.0,39,285,84,0,981,35,"bag of dice,assorted dice,dice by weight,dice by the pound,d20,bulk dice,pound of dice,dnd dice,dnd dice set,random dice,half pound dice,dice pieces,loose dice",United States,2022-10-06,yes,no,no,d20Adventure,https://www.etsy.com/listing/1305121388/half-pound-of-dnd-dice-assorted-loose
NEW RELEASE - Part 2 - Mini Brands Series 5 ,Toys & Games > Toys > Miniature Toys > Miniature Food,0.2,33,275,115,0,117,4,"collectibles,doll mini food,mini toys,mini shop,miniature toys,doll accessories,toyfood",United States,2023-05-21,yes,no,no,MinisAreUs,https://www.etsy.com/listing/1486934893/new-release-part-2-mini-brands-series-5
