title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Bluegrass Finger Picking Good Iron On Embroidered  Patch 4 1/2 ,Accessories > Patches & Pins > Patches,6.98,10,165,31,1,730,14,"vintage patch,iron on patch,Embroidered,rock n roll patch,60s rock,band patches,music patches,patches for jackets,man in black,country music stars,I love country music,bluegrass",United States,2022-10-02,yes,no,no,batchesOpatches,https://www.etsy.com/listing/1303013180/bluegrass-finger-picking-good-iron-on
Marlboro Racing Vintage Trucker Hat ,Accessories > Hats & Caps > Baseball & Trucker Caps,26.5,9,229,34,0,1019,52,"old school,SnapBack,trucker,Marlboro,hat,cap,vintage,custom,embroidered,rope",United States,2023-03-04,yes,no,no,OGHATCO,https://www.etsy.com/listing/1416016572/marlboro-racing-vintage-trucker-hat
"Wedding Ring Box, Wedding Ring Box for Ceremony, Modern, 1 ring, 2 rings, 3 rings, ",Weddings > Accessories,19.98,7,466,57,2,308,10,"bride to be,ring box,vintage ring box,vintage velvet,wedding ring box,velvet ring box,triple ring box,three slot ring box,ceremony,modern,for ceremony,2 rings,3 rings",United States,2022-10-27,yes,no,no,BelovedFineJewels,https://www.etsy.com/listing/1319552290/wedding-ring-box-wedding-ring-box-for
PATCHBOMB PACK Vintage and NOS Embroidered Patches for Denim Jackets Pants Letterman Miscellaneous Value Mystery Box ,Accessories > Patches & Pins > Patches,10.0,6,176,29,1,1062,27,"fashion,streetwear,denim,retro,vintage,hippie,costume,70's,80's,90's",United States,2023-03-29,yes,no,no,NostromoApparel,https://www.etsy.com/listing/1449643047/patchbomb-pack-vintage-and-nos
Southwestern Turquoise Flecked Bolo Tie - Gifts for Him Cabochon Indian Leather Cowboy Necktie Accessories Mens Necklace Leather Cord Lariat ,Accessories > Suit & Tie Accessories > Bolo Ties,30.0,5,82,19,1,395,33,"scarys,spider,desert,bug,insect,mexican,gift,present,cowboy,accessory,oval,groomsmen",United States,2023-06-02,yes,no,no,BeltsBucklesBolos,https://www.etsy.com/listing/1494687467/southwestern-turquoise-flecked-bolo-tie
Taco Bell Hat Vintage Retro 2-Tone Black Teal Trucker Rope Snapback Cap Classic 80s 90s Baja Blast Live Mas ,Accessories > Hats & Caps > Baseball & Trucker Caps,27.99,5,213,36,0,806,16,"Burrito,Taco Tuesday,Baja Blast,Hat,Trucker Hat,Rope Hat,Retro,80s,90s,Funny Hat,Vintage Hat,Snapback Hat,Taco Bell Hat",United States,2023-02-03,yes,no,no,GoodBoyHats,https://www.etsy.com/listing/1394563624/taco-bell-hat-vintage-retro-2-tone-black
THUNDER Leather Cowboy Western  Hat for Men and Women ,Accessories > Hats & Caps > Cowboy Hats,73.0,2,114,32,3,313,11,"Brown,distress,Bkack,Tan",United States,2023-04-14,yes,no,no,LesaCollectionUsa,https://www.etsy.com/listing/1460841305/thunder-leather-cowboy-western-hat-for
Authentic Vintage 90s Made Small Size Thin Oval Deadstock Red Frame Sunglasses ,Accessories > Sunglasses & Eyewear > Glasses,16.0,1,169,6,0,587,7,"vintage sunglasses,deadstock glasses,90s made sunglasses,sunglasses,80s fashion,oval sunglasses,tortoise sunglasses,90s sunglasses,vintage 90s glasses,oval glasses,oval sunnies,vintage oval",United States,2022-12-06,yes,no,no,IconiqueVintage,https://www.etsy.com/listing/1363529775/authentic-vintage-90s-made-small-size
Lot of 10 Mixed Prints & colors PAISLEY 100% Cotton OLD SCHOOL Biker Bandana's Kerchief Hanky 20 ,Accessories > Scarves & Wraps > Bandanas,7.12,0,18,6,0,107,16,"bandana,COTTON,HANDKERCHIEF,KERCHIEF,biker,hair,scarf,hippy,paisley,black,TIE DYE,neckerchief,all cotton",United States,2023-06-14,yes,no,no,LinensRus,https://www.etsy.com/listing/1502886603/lot-of-10-mixed-prints-colors-paisley
Cool Super Mario Bros Hat Funny Baseball Cap Gift for Gamers Adults Unisex and Free Shipping! ,Accessories > Hats & Caps > Baseball & Trucker Caps,16.73,0,35,6,1,99,16,"mario,super mario,mario bros,nintendo,cute,funny,hat,cap,gifts for gamers,funny gift,gamer gift,gifts,hats",United States,2023-03-08,yes,no,no,JahsClothesVault,https://www.etsy.com/listing/1433380537/cool-super-mario-bros-hat-funny-baseball
Camel Cigarettes Hat Vintage Retro Patch Kelly Green Trucker Rope Snapback Cap Classic 80s 90s Coke Joe Camel Cigs ,Accessories > Hats & Caps > Baseball & Trucker Caps,28.79,0,65,12,0,624,43,"Camel Joe,Camel Cigarettes,Hat,Trucker Hat,Cap,Rope Hat,Vintage,Retro,Trucker,80s,90s,Snapback,Green Hat",United States,2023-02-07,yes,no,no,GoodBoyHats,https://www.etsy.com/listing/1397715102/camel-cigarettes-hat-vintage-retro-patch
