title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Women Eating Pasta on Lake, Black and White Art, Vintage Wall Art, Funny Art, Pasta Picnic on Lake, Picnic on Lake, DOWNLOAD, PRINTABLE Art ",Art & Collectibles > Prints > Digital Prints,3.25,99,1702,158,12,6095,253,"Digital Download,Printable Wall Art,Vintage Wall Art,Black and White Art,Funny Wall Art,Retro Wall Decor,Women Eating Pasta,Spaghetti Wall Art,Old Photo,Pasta Picnic on Lake,Pasta on Lake,Women Friends,Floating Pasta Lunch",United States,2023-01-30,yes,no,no,VibrantVintagePrints,https://www.etsy.com/listing/1405835059/women-eating-pasta-on-lake-black-and
vintage halloween decor | 5 VINTAGE HALLOWEEN PRINTS | ghosts decor | spooky wall art | halloween home decor | kikiandnim | digital prints ,Art & Collectibles > Prints > Digital Prints,10.29,57,152,17,2,1315,65,"halloween decor,halloween,halloween prints,halloween wall art,halloween print,kikiandnim,halloween poster,halloween art,halloween printable,ghost print,vintage,vintage halloween,prints,ghosts decor,spooky wall art,halloween home decor,decorations,fall wall art,digital prints,printable wall art",United States,2023-06-30,yes,no,no,KIKIANDNIM,https://www.etsy.com/listing/1513549643/vintage-halloween-decor-5-vintage
Decadent Young Woman | Woman Portrait | Vintage Wall Art | Emerald Green Art | After the Dance | Moody Wall Decor | PRINTABLE Art #214 ,Art & Collectibles > Prints > Digital Prints,3.25,55,2483,229,1,8583,322,"Digital Download,Printable Art,Woman Portrait,Vintage Wall Art,Moody Wall Decor,Emerald Green Art,Vintage Woman Print,Victorian Woman Art,Antique Wall Decor,Dark Aesthetic Art,Dark Academia Art,Decadent Young Woman,After the Dance",United States,2022-11-22,yes,no,no,VibrantVintagePrints,https://www.etsy.com/listing/1352672873/decadent-young-woman-woman-portrait
Marigolds Wall Art | Flowers Wall Art | Vintage Wall Art  | Antique Wall Decor | Colorful Wall Art | Digital DOWNLOAD | PRINTABLE Art #237 ,Art & Collectibles > Prints > Digital Prints,3.25,39,563,53,4,3091,143,"Digital Download,Printable Art,Vintage Wall Art,Antique Wall Decor,Vintage Painting,Downloadable Prints,Marigolds Wall Art,Flowers Wall Art,Colorful Wall Art,Floral Wall Art,Flower Garden Art,Vintage Flower Art",United States,2023-01-25,yes,no,no,VibrantVintagePrints,https://www.etsy.com/listing/1387930270/marigolds-wall-art-flowers-wall-art
"Gothic Floral Wall Art, Flowers and Spiderweb, Moody Aesthetic, Botanical Antique Oil Painting, Dark Academia Decor, Black Background  RD770 ",Art & Collectibles > Prints > Digital Prints,12.6,25,408,55,0,3100,69,"dark academia decor,moody art,dark academia,rebel decor designs,moody decor,gothic wall art,goth decor,victorian decor,moody floral art,gothic wall decor,gothic home decor,gothic art print,Dark Gothic,Goth Wall Art,Antique Oil Painting,Dark Floral Art,moody vintage art,dark botanical,dark cottagecore,Dutch Still Life,Floral Oil Painting,Parisian Apartment,Spiderweb Wall Decor,Pink Roses Wall Art",United States,2023-03-06,yes,no,no,RebelDecorDesign,https://www.etsy.com/listing/1417740208/gothic-floral-wall-art-flowers-and
vintage halloween mega bundle | 36 HALLOWEEN PRINTS | dark academia decor | gothic home decor | halloween art | kikiandnim | digital prints ,Art & Collectibles > Prints > Digital Prints,20.0,24,111,14,3,770,106,"vintage halloween,mega bundle,halloween prints,dark academia decor,gothic home decor,halloween art,dark academia,wall art,dark art,halloween wall art,dark academia prints,kikiandnim,printable wall art",United States,2023-06-30,yes,no,no,KIKIANDNIM,https://www.etsy.com/listing/1499433696/vintage-halloween-mega-bundle-36
Dark Academia Gallery Wall Print Set | Printable Digital Download | Vintage Moody Gallery Wall Set | Victorian Painting| Dark Academia Decor ,Art & Collectibles > Prints > Digital Prints,9.11,22,549,31,2,2131,134,"dark academia prints,dark academia decor,printable wall art,digital download,moody digital prints,moody wall art,dark cottage decor,gallery wall prints,gallery wall set,vintage painting,Victorian wall art,gothic wall art set",United States,2023-04-20,yes,no,no,RenArtPrint,https://www.etsy.com/listing/1451272070/dark-academia-gallery-wall-print-set
vintage halloween ghost print | halloween decor | dark academia wall art | halloween wall art | gothic wall art | kikiandnim | digital print ,Art & Collectibles > Prints > Digital Prints,3.75,20,76,10,3,333,44,"vintage halloween,ghost print,halloween decor,dark academia,wall art,dark academia decor,halloween wall art,gothic wall art,dark art,halloween art,kikiandnim,digital print,printable wall art",United States,2023-06-30,yes,no,no,KIKIANDNIM,https://www.etsy.com/listing/1513556411/vintage-halloween-ghost-print-halloween
"Waterskiing Witches, Halloween Wall Art, Black and White Art, Vintage Wall Art, Funny Wall Art, DIGITAL DOWNLOAD, PRINTABLE Art, Large Art ",Art & Collectibles > Prints > Digital Prints,2.6,20,283,30,1,875,36,"Digital Download,Vintage Sports Print,Printable Wall Art,Vintage Wall Art,Black and White Art,Funny Wall Art,WaterSkiing Witches,Witch Wall Art,Halloween Wall Art,Halloween Wall Decor,Retro Wall Decor,Mid Century Modern,Water Sports Print",United States,2022-09-25,yes,no,no,VibrantVintagePrints,https://www.etsy.com/listing/1312266553/waterskiing-witches-halloween-wall-art
"Printable Wildflower Field Landscape Oil Painting, Vintage Farm House, Country Field Landscape Oil Painting Printable, Art Digital Download ",Art & Collectibles > Prints > Digital Prints,3.1,20,505,69,2,2033,71,"Printable Wall Art,Vintage Painting,Vintage Landscape,Wildflower Print,Field Painting,Vintage Art Print,Downloadable Print,Bedroom Art Print,Farmhouse Print,Cottage Art Print,Nature Painting,Muted Tonal Print,Warm Tone Print",United States,2023-03-03,yes,no,no,DigitallyDrawnPrints,https://www.etsy.com/listing/1429729391/printable-wildflower-field-landscape-oil
Moody Flower Painting | Printable Wall Art | Vintage Floral Wall Art | Antique Art Print | Farmhouse Wall Art | Moody Botanical Oil Painting ,Art & Collectibles > Prints > Digital Prints,2.81,18,849,52,0,1495,35,"moody flower print,printable wall art,antique art print,farmhouse wall art,moody botanical,vintage flower print,floral printable art,flower oil painting,vintage painting,digital download,French wall decor,floral wall art",United States,2022-12-26,yes,no,no,RenArtPrint,https://www.etsy.com/listing/1365265954/moody-flower-painting-printable-wall-art
"Printable Wildflower Field Landscape Oil Painting, Vintage Farm House, Country Field Landscape Oil Painting Printable, Art Digital Download ",Art & Collectibles > Prints > Digital Prints,3.1,18,573,86,7,4415,217,"Printable Wall Art,Vintage Painting,Vintage Landscape,Wildflower Print,Field Painting,Vintage Art Print,Downloadable Print,Bedroom Art Print,Farmhouse Print,Cottage Art Print,Nature Painting,Muted Tonal Print,Warm Tone Print",United States,2023-03-28,yes,no,no,DigitallyDrawnPrints,https://www.etsy.com/listing/1434963760/printable-wildflower-field-landscape-oil
Light Naturals | A Light Vintage Aesthetic Set of 9 Gallery Prints for Digital Download | Neutral Tone Printable Wall Art | Cottagecore Art ,Art & Collectibles > Prints > Digital Prints,12.59,18,444,58,0,3190,71,"gallery wall prints,wall collage set,light academia art,academia aesthetic,landscape painting,pastoral artwork,antique botanical,light floral artwork,fine art prints,old artwork download,vintage art bundle,neutral tone decor,green and beige",United States,2023-01-03,yes,no,no,AnnaPrintablesCo,https://www.etsy.com/listing/1370790914/light-naturals-a-light-vintage-aesthetic
Nymphs Dancing Wall Art • Fire dance (1889) Painting • Vintage Painting • MAILED ART PRINT ,Art & Collectibles > Prints > Giclée,14.99,15,336,56,4,6116,199,"gothic decor,dark academia decor,dark academia,moody art,dark wall art,dark vintage art,dark aesthetic,vintage art,witchy wall art,witch poster,nymph wall art,satan poster,fire dance wall art",United States,2022-12-06,yes,no,no,LoftPrints,https://www.etsy.com/listing/1349266198/nymphs-dancing-wall-art-fire-dance-1889
Moody Portrait Painting | Victorian Woman Wall Art | Vintage Art Print | Dark Academia Decor | Baroque Print | PRINTABLE Wall Art DIGITAL ,Art & Collectibles > Prints > Digital Prints,2.81,14,892,59,1,2658,33,"moody portrait,Victorian woman,dark academia decor,dark academia print,Victorian wall art,woman portrait,portrait painting,baroque wall art,moody wall art,Victorian aesthetic,dark wall art,Printable wall art",United States,2022-10-17,yes,no,no,RenArtPrint,https://www.etsy.com/listing/1312678106/moody-portrait-painting-victorian-woman
