title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Real 1800s Skeleton Keys - Purchase for 1 Key - Authentic Barrel Keys made of Brass or Iron ,Craft Supplies & Tools,7.99,17,324,49,0,1381,36,"skeleton key,church key,jailer keys,key pendant,necklace pendant,1800s keys,oddity,curiosity,key jewelry,brass key,iron key,real key",United States,2023-01-22,yes,no,no,MudlarkOddities,https://www.etsy.com/listing/1399434185/real-1800s-skeleton-keys-purchase-for-1
"Antique/Old Vintage Texture Grab Bag Snippets, Antique/Vintage Trim Pieces/Bundles Antique Bits of Lace, Tatting, etc. Journals, Quilts, etc ",Craft Supplies & Tools,9.89,10,1148,246,6,2128,29,"snippets,antique scraps,Victorian scrap,antique appliques,s,Junk Journal scraps,Fabric bundles,Lace Bundles,trim grab bags,trim for snippets,Old trim for journal",United States,2022-10-22,yes,no,no,TheCreatorsAttic,https://www.etsy.com/listing/1316257886/antiqueold-vintage-texture-grab-bag
40 Pieces Mixed Sizes of Sea Glass Authentic Beach Real Ocean Tumbled Beach Glass Pieces Sea glass Crafts Frosty Sea Glass FREE SHIPPING! ,Craft Supplies & Tools,16.95,8,395,111,0,1301,16,"Florida Glass,Raw Material,Sea Glass Lot,Aqua Sea Glass,Glass Scraps,Tide Tumbled Glass,Small Glass,White seaglass,seaglass crafts,light blue seaglass,very tiny sea glass,raw materials",United States,2022-10-30,yes,no,no,FloridaShellsAndMore,https://www.etsy.com/listing/1322015314/40-pieces-mixed-sizes-of-sea-glass
E847 PDF Copy of Vogue 9834 Doll Clothes Pattern for 11-1/2 ,Craft Supplies & Tools,1.75,7,196,29,1,225,7,"Barbie Pattern,digital download,PDF,fashion doll clothes,vintage pattern,sewing pattern,sewn doll clothes,Barbie wedding gown,Fashion doll jacket,Barbie pajamas,Barbie 1950s style,Barbie playsuit,Vogue 9834",United States,2023-01-07,yes,no,no,GailsDollEPatterns,https://www.etsy.com/listing/1374017440/e847-pdf-copy-of-vogue-9834-doll-clothes
sterling silver beads  Navajo  round pearl smooth southwestern bench bead jewelry making ,Craft Supplies & Tools,4.5,5,415,76,2,301,9,"azjewelrysupply,jewelry making,sterling silver,southwestern,bench beads,Navajo pearl,3mm,10mm 12mm 14mm,round pearl bead,16mm,4mm 5mm,oxidized,6m 7mm 8mm",United States,2023-02-10,yes,no,no,AZJewelrySupplyStore,https://www.etsy.com/listing/1399761366/sterling-silver-beads-navajo-round-pearl
"40 Pieces Small Sea Glass, Authentic Beach Real Ocean Tumbled Beach Glass, Jewelry Making Supplies, Tiny Seaglass Craft Supply FREE SHIPPING ",Craft Supplies & Tools,10.75,5,52,14,1,150,7,"Florida Glass,Raw Material,Sea Glass Lot,Aqua Sea Glass,Glass Scraps,Tide Tumbled Glass,Small Glass,White seaglass,seaglass crafts,light blue seaglass,very tiny sea glass,raw materials",United States,2022-12-11,yes,no,no,FloridaShellsAndMore,https://www.etsy.com/listing/1353616458/40-pieces-small-sea-glass-authentic
Poinsettia No. 2 | Poinsettia Polymer Clay Cutter Christmas Polymer Clay Cutter Holiday Clay Cutter Floral Polymer Clay Cutter Two Part ,Craft Supplies & Tools,3.75,4,515,43,0,382,10,"polymer clay jewelry,tree Clay cutters,Christmas tree set,Christmas cutters,new clay cutters,Clay cutters,winter cutter,Wild honey cutters,earring cutter,clay accessories,sharp clay cutter,poinsettia cutter,poinsettia Clay cutt",United States,2022-11-02,yes,no,no,WildHoneyCutters,https://www.etsy.com/listing/1323750876/poinsettia-no-2-poinsettia-polymer-clay
Vintage Crochet Pattern Heirloom Shells in a Song Victorian Lace Afghan Blanket Ecru Throw PDF Instant Digital Download Lapghan Coverlet ,Craft Supplies & Tools,2.85,4,103,10,0,199,14,"Vintage pattern,PDF pattern,Instant download,Afghan crochet,crochet pattern,Victorian Afghan,lacy Lacey pattern,lacy Victorian,Ecru Lapghan,shells in a song,shell stitch strips,strip afghan blanket",United States,2023-02-07,yes,no,no,nightowlcreates,https://www.etsy.com/listing/1397615628/vintage-crochet-pattern-heirloom-shells
VINTAGE CZECH CHARLOTTES 13/0 full short hanks true cut glass seed beads choose from 34 colors ,Craft Supplies & Tools,4.5,2,245,48,3,204,3,"beading supplies,bead embroidery,jewelry making,Beads With History,vintage seed beads,Czech charlottes,traditional beadwork,micro beads,size 13,color assortment,one cut beads,full strung hank,true cut",United States,2023-02-15,yes,no,no,BeadsWithHistory,https://www.etsy.com/listing/1417549787/vintage-czech-charlottes-130-full-short
"50 Printable Sheets, William Morris Junk Journal Kit, Scrapbook Ephemera, Pattern Design, Digital Instant Download, Vintage, Craft Work, Art ",Craft Supplies & Tools,1.72,1,199,17,0,147,5,"Craft Supplies & Tools,Canvas & Surfaces,Paper,Scrapbooking Ephemera",United States,2023-01-25,yes,no,no,BonbonPrintss,https://www.etsy.com/listing/1401627935/50-printable-sheets-william-morris-junk
