title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
1870-1905 Opiüm Prescriptions ,Home & Living > Home Decor > Taxidermy & Curiosities,9.9,22,245,50,0,1286,50,"bone saw,cdv,post mortem,funeral,embalmer,mortician,toe tag,oddity,curiosity,casket card",United States,2022-10-18,yes,no,no,MattsCurioCabinet,https://www.etsy.com/listing/1313288582/1870-1905-opium-prescriptions
Insane Asylum Corpse Tags Morgue Coins Toe Tags ,Home & Living > Home Decor > Taxidermy & Curiosities,17.89,19,1197,259,4,5386,71,"stamps,bone saw,cdv,post mortem,funeral,embalmer,mortician,toe tag,oddity,curiosity",United States,2022-11-20,yes,no,no,MattsCurioCabinet,https://www.etsy.com/listing/1350979659/insane-asylum-corpse-tags-morgue-coins
"Fern Panel, Rusty Privacy Screen, Garden Panel, 60x12 ",Home & Living > Outdoor & Gardening > Garden Decoration,80.0,18,102,23,2,397,33,"yard art,screen panel,privacy screen,privacy panel,metal art panel,garden panel,garden art metal,garden sculpture,garden metal art,garden decor,metal birds",United States,2023-06-08,yes,no,no,metalartfever,https://www.etsy.com/listing/1484340274/fern-panel-rusty-privacy-screen-garden
"Green Depression Style Glass 4 PC Nesting Measuring Cup Set w/ Markers - Vintage Glassware, Art Deco, Kitchenware, Farmhouse, Cooking, Bowl ",Home & Living > Kitchen & Dining > Cookware > Cooking Utensils & Gadgets > Measuring Cups & Spoons,22.95,17,248,55,0,1999,39,"depression glass,vintage glassware,cooking tool,antique kitchen,measuring spoon,butter dish,refrigerator dish,cute salt pepper,retro home decor,cake plate,kitchen vase,covered candy dish,jadite jade green",United States,2022-09-16,yes,no,no,BJD73Treasures,https://www.etsy.com/listing/1306107161/green-depression-style-glass-4-pc
Crow Crystal Treasure Confetti | Mystery Scoop | Witches Brew | Magpie Hoard | Goblincore Crowcore Trinkets ,Home & Living > Spirituality & Religion > Prayer Beads & Charms > Metaphysical Crystals,15.55,10,456,96,0,2405,42,"crystal,confetti,crow,witchy,scoop,mystery,treasure,trinkets,curiosities,goblincore,jewelry,cottagecore,oddities",United States,2022-10-30,yes,no,no,VinniesBookShop,https://www.etsy.com/listing/1321567954/crow-crystal-treasure-confetti-mystery
"Jadeite Green Glass Salt & Pepper Shaker Set, LRG - Depression Style Glass, Vintage, Milk Glass, Retro, Farmhouse Kitchen, Jade Jar, Cooking ",Home & Living > Kitchen & Dining > Dining & Serving > Salt & Pepper Shakers,23.95,10,159,29,1,860,33,"depression glass,fire king,vintage glassware,measuring cup,antique kitchen,depressionware glass,Pyrex butter dish,glass bowl with lid,art deco decor,salt cellar dip dish,jadite plates,cute retro shaker,jadite jade green",United States,2023-02-16,yes,no,no,BJD73Treasures,https://www.etsy.com/listing/1404241858/jadeite-green-glass-salt-pepper-shaker
"Pink Depression Style Glass Eiffel Tower Floral Salt & Pepper Shaker Set - Vintage, Art Deco, Kitchenware, Retro Home Decor, Farmhouse, Jar ",Home & Living > Kitchen & Dining > Dining & Serving > Salt & Pepper Shakers,17.95,8,100,11,1,489,27,"depression glass,vintage glassware,art deco decor,depressionware,sugar shaker,butter dish,cute salt pepper,measuring cup,vintage jar,spice jar,vintage kitchen item",United States,2023-02-19,yes,no,no,BJD73Treasures,https://www.etsy.com/listing/1420572263/pink-depression-style-glass-eiffel-tower
Brass Chamberstick Taper Candle Holder Finger // Altar Tool Candlestick Holder ,"Home & Living > Spirituality & Religion > Altars, Shrines & Tools",9.0,6,231,29,1,594,22,"witchy decor,witch,gift,birthday,goddess,unique,incense cones,loose incense,brass incense,offering bowl,cauldron",United States,2022-10-01,yes,no,no,BlossomAndBurr,https://www.etsy.com/listing/1302019182/brass-chamberstick-taper-candle-holder
200 PCS 1/3 Grunge Room Decor Aesthetic | Vintage Photo Collage Kit | Wall Collage Dark Academia | Digital Download | WP03 ,Home & Living > Home Decor > Wall Decor,2.5,5,587,31,1,1170,14,"printable art,cottagecore posters,room decor aesthetic,vintage poster wall,vintage wall collage,wall collage kit,vintage posters,aesthetic posters,retro wall collage,cottagecore decor,grunge wall decor,dark academia,gift for girl",United States,2022-11-08,yes,no,no,LetsFallinArt,https://www.etsy.com/listing/1328279424/200-pcs-13-grunge-room-decor-aesthetic
Vintage Teapots | Bulk Teapots | Mismatched Tea ware | Tea Party Supplies | Tea Party Decorations ,Home & Living > Kitchen & Dining > Dining & Serving > Plates,15.0,2,116,15,0,483,7,"Sadler teapot,vintage tea pot,tea party supplies,teapots vintage,cheap teapots,diy centerpiece,wedding centerpiece,bulk wedding decor,bulk teapots,vintage teapots,bulk wedding china,mismatched tea ware,mismatched teapots",United States,2023-01-13,yes,no,no,DishUponAStar,https://www.etsy.com/listing/1392454087/vintage-teapots-bulk-teapots-mismatched
"New Tupperware Vintage Wondolier Bowls Set of  capacity: 12, 8, and 6 ",Home & Living > Kitchen & Dining > Bakeware > Mixing Bowls,34.99,1,111,13,0,209,5,"Home & Living,Kitchen & Dining,Bakeware,Mixing Bowls",United States,2022-10-25,yes,no,no,YMRsupplies,https://www.etsy.com/listing/1318140150/new-tupperware-vintage-wondolier-bowls
Gallery wall set gold silver tone wood frames resin frames faux wood frames ,Home & Living > Home Decor > Picture Frames & Displays > Picture Frames,70.0,1,66,19,1,1523,91,"Square,Rectangle,Gold,Silver,Black,Wall gallery,Picture display,Artwork frames,Wood,Art nouveau,Hollywood regency,4x4,8x10",United States,2023-05-04,yes,no,no,retroamerican,https://www.etsy.com/listing/1474589007/gallery-wall-set-gold-silver-tone-wood
