title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Vintage Fisher Price little people Farm Animals and Accessories *Pick your own* ,Toys & Games > Toys > Pretend Play,2.99,3,280,46,3,51,1,"Fisher price,little people,play family,animals,Dog,vintage,sheep,horse,cow,pig,tractor,wagon,harness",United States,2023-05-05,yes,no,no,FamedRetro,https://www.etsy.com/listing/1475702949/vintage-fisher-price-little-people-farm
Vintage 1980’s Kenner Strawberry Shortcake dolls  *Pick your own* ,Toys & Games > Toys > Dolls & Action Figures > Dolls,22.99,3,280,34,0,556,7,"Strawberry shortcake,vintage,purple pie man,sour grapes,american greetings,kenner,80s,huckleberry,cafeole,Peach blush,raspberrytartrhubard,lemnada,PlumPuddin",United States,2023-01-23,yes,no,no,FamedRetro,https://www.etsy.com/listing/1400265721/vintage-1980s-kenner-strawberry
Vintage KEWPIE Doll | Taiwan | Moveable Head & Arms | Vinyl Rubber New! ,Toys & Games > Toys > Dolls & Action Figures > Dolls,6.48,2,143,13,0,209,9,"Kewpie dolls,vintage kewpie doll,rubber kewpie doll,vintage china dolls,retro dolls,vintage baby dolls,vintage japan doll,Taiwan kewpie doll,vinrage kewtie dolls,small vinyl kewpie,naked kewpie doll,vinyl asian dolls,little vinyl kewpie",United States,2023-05-27,yes,no,no,TheRetroRabbitTM,https://www.etsy.com/listing/1476533236/vintage-kewpie-doll-taiwan-moveable-head
Generous collection of 40+ marbles of all Kinds ,Toys & Games > Games & Puzzles > Marbles,15.0,1,116,15,2,82,6,"Toys & Games,Games & Puzzles,Marbles,Marbles",United States,2023-05-02,yes,no,no,HomerLaneFarms,https://www.etsy.com/listing/1459554638/generous-collection-of-40-marbles-of-all
Fisher Price Little People Figures Fireman Farmer Nurse Boy Girl Mom Grandma Dog Sesame Vintage Toy Farm School Village Farm Main Street ,Toys & Games > Toys > Pretend Play,3.59,1,161,9,5,40,12,"Vintage Toys,Little People,Fisher Price,Fisher Price Toys,Vintage Fisher Price,Educational Toys,Pretend Play Toys,Kids Toys,Vintage Collectibles,Litter People Toys,Fisher Price Figure,Litter People Figure,Replacement Toys",United States,2023-04-18,yes,no,no,Grandmastoybarn,https://www.etsy.com/listing/1449638918/fisher-price-little-people-figures
Vintage Fisher Price Little People *Pick Your Own #3 ,Toys & Games > Toys > Pretend Play,4.99,1,155,29,0,159,3,"fisher price,little people,vintage,Mattel,collectors,wood,rare",United States,2023-01-18,yes,no,no,FamedRetro,https://www.etsy.com/listing/1396305017/vintage-fisher-price-little-people-pick
"viewmaster reels, A reels, reels that start with A, sawyer  view-master, buyers choice, collectibles ",Toys & Games > Toys > Stereoscopes & Viewfinders,7.5,0,34,0,0,52,0,"wonders of the world,view-master,illuminator,individual reels,buyers choice,collectibles,vintage viewmaster,viewmaster reels,sawyers,travel,international travel,start with A,A reels",United States,2022-10-08,yes,no,no,Wantiquities,https://www.etsy.com/listing/1306687230/viewmaster-reels-a-reels-reels-that
"80s 90s Barbie, Ken Clothing + Accessories #17 PICK YOUR OWN - Mattel ",Toys & Games > Toys > Dolls & Action Figures > Dolls,3.16,0,22,9,0,71,5,"Barbie clothes,barbie clothing,barbie accessories,ken clothes,barbie lot,80s barbie,vintage barbie,doll clothes,doll clothing,barbie outfit,80s ken",United States,2023-05-16,yes,no,no,CurlyKidsVintage,https://www.etsy.com/listing/1482833549/80s-90s-barbie-ken-clothing-accessories
Super Realistic Clothes For Fashion Dolls 11.5 inch 12 inch 30cm size doll and action figure Dress skirt shirt pants set outfit for doll ,Toys & Games > Toys > Dolls & Action Figures > Doll Clothing,2.22,0,0,4,0,145,9,"phicen boots,doll clothes,doll underwear,barbie long dress,outfit for barbie,poppy parker clothes,sexy doll dress,gift for dauther,integrity clothes,pficen clothes,sexy dolll clothe,barbie clothes black,set for barbie",United States,2023-05-05,yes,no,no,YourPositiveEmotions,https://www.etsy.com/listing/1461301244/super-realistic-clothes-for-fashion
Super Realistic Clothes For Barbie Doll Choose 1 From 37 different Items For You Pick 12 inch dress skirt gift for girl Vintage ,Toys & Games > Toys > Dolls & Action Figures > Doll Clothing,4.01,0,0,0,0,158,10,"fashion,puppenkleidung,doll clothes,doll dress,ooak doll,doll boots,doll hair,doll house,integruty clothe,blyth clothes,blyth dress,custom dress doll,goft for girl",United States,2023-05-16,yes,no,no,YourPositiveEmotions,https://www.etsy.com/listing/1468631092/super-realistic-clothes-for-barbie-doll
Super Realistic Black Shoes For Fashion Dolls 11.5 inch 12 inch size 1 to 6 Dolls Choose 1 From 40 different Pairs For You Pick ,Toys & Games > Toys > Dolls & Action Figures > Doll Clothing,2.22,0,104,19,0,442,23,"doll,collectable,shoes,boots,clothes,ken,barbie,custom,unique,extra,Barbie shoes,barbie clothes,black barbie boots",United States,2023-05-15,yes,no,no,YourPositiveEmotions,https://www.etsy.com/listing/1468079306/super-realistic-black-shoes-for-fashion
Vintage Fisher Price little people hard to find pieces/Accessories *Pick your own* ,Toys & Games > Toys > Pretend Play,0.99,0,53,18,0,23,3,"Fisher price,little people,play family,vintage,Letters,hardtofind,Castle,mainstreet,sesamestreet,pool,accessories",United States,2023-06-30,yes,no,no,FamedRetro,https://www.etsy.com/listing/1499717280/vintage-fisher-price-little-people-hard
Monster High Draculaura Replacement Accessories and Clothes ,Toys & Games > Toys > Dolls & Action Figures > Dolls,2.0,0,21,8,0,150,0,"Draculaura,Draculaura Doll,Monster High,Monster High Dolls,Replacement Parts,Doll Accessories,MH Clothes,Doll Clothes,Collectible,MH Replacement,MH Accessories",United States,2023-02-14,yes,no,no,StitchingEnchantment,https://www.etsy.com/listing/1402548046/monster-high-draculaura-replacement
