title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Halloween Pink Savings Challenge | Scratch Off | Cash Budgeting | Savings Challenge ,6.0,0,0,10,0,51,0,"savings challenge,scratch off,cash budget,Halloween,pink,Halloween savings,Low budget",United States,2023-08-23,yes,no,no,BudgetwithMamaBear,https://www.etsy.com/listing/1550494177/halloween-pink-savings-challenge-scratch
Custom DTF Gang Sheet - DTF Transfers - Full Color DTF - Bulk  Printing - Dtf Screen printing - Ready to Apply - Whole Sale Price ,0.5,0,66,4,0,42,0,"gang sheet,dtf,dtf transfers,full color dtf,heat transfer,shirt heat transfer,dtf custom transfers,custom logos,vinyl,iron on,direct to film,dtf printer",United States,2023-08-21,yes,no,no,MyNameGifts,https://www.etsy.com/listing/1534896410/custom-dtf-gang-sheet-dtf-transfers-full
"41+ Halloween Movie Coffee Bundle PNG ,Movie Characters Coffee bundle, Coffee Cups Png Bundle, Movie Horror Coffee PNG ",3.5,0,196,10,0,83,0,"halloween png,Halloween Coffee,Halloween Coffee png,Movie Coffee png,Coffee Cups Png,Halloween Bundle Png,horror characters,coffee cups bundle,halloween coffee cup,Horror Png,movie png,coffee png,Movie Horror Coffee",United States,2023-08-30,yes,no,no,WHISDECANTCO,https://www.etsy.com/listing/1555598869/41-halloween-movie-coffee-bundle-png
PREORDER - Death is Only the Beginning - Ships Sept. 5th! ,12.0,0,108,0,0,398,0,"megan lara,alphonse mucha,art nouveau pop,the mummy brendan,fraser rachel weisz,anck su namun,nostalgia retro,movie 90s adventure,egypt hieroglyphics",United States,2023-08-28,yes,no,no,MeganLaraArt,https://www.etsy.com/listing/1540155356/preorder-death-is-only-the-beginning
"Patrick Mahomes T Shirt, Pat Mahomes Shirt, Kansas City Chiefs Tshirt, Chiefs Shirt, NFL Graphic Tee, Football Shirts, Travis Kelce Shirt ",7.99,0,72,5,0,49,0,"pat mahomes,patrick mahomes,chief's shirt,kansas city chiefs,travis kelce shirt,kansas city shirt,nfl graphic tee,nfl shirt,football shirt,great bowl shirt,patrick mahomes tea,pattymahomes,great bowl 2023",United States,2023-08-16,yes,no,no,Harmsteen,https://www.etsy.com/listing/1531287644/patrick-mahomes-t-shirt-pat-mahomes
"Custom DTF Gang Sheet, DTF Transfers, Direct to Film Transfer, Wholesale Gang, Personalized Heat Print, Bulk DTF Sheet, Ready to Press ",0.35,0,154,44,0,2,0,"digital prints,dtf print,ready to apply,press ready,full color,iron on patch,dtf custom transfers,digital download,htv transfer,dtf sublimation,dtf gang sheet,custom dtf print,custom dtf transfers",United States,2023-08-30,yes,no,no,JasaApparel,https://www.etsy.com/listing/1540972554/custom-dtf-gang-sheet-dtf-transfers
Jaguar Plush - Littlefox's Toebeans - Incan Mayan MezoAmerican Jaguar God Goddesss Stuffed Animal ,33.0,0,0,0,0,63,0,"Plush Toy,stuffed animal,Egyptian Plush,Personalized Gift,Embroidered Plush,Spirit animal plush,Littlefox Toebeans,Incan Mayan Mezo,Jaguar Goddess Plush,Handmade Plush Gift,Custom Jaguar Plush,Snowleopard Plush",United States,2023-09-02,yes,no,no,CarouselCustoms,https://www.etsy.com/listing/1557686055/jaguar-plush-littlefoxs-toebeans-incan
Superheroe Duo | Amigurumi | Crochet Doll Pattern ,3.5,0,0,9,0,73,0,"crochet low sew,low sew crochet,low sew Amigurumi,Crochet Spiderman,amigurumi spiderman,crochet hulk,amigurumi hulk,crochet superheroes,Crochet duo,Amigurumi superheros,crochet 2-in-1,amigurumi duo,amigurumi 2-in-1",United States,2023-08-24,yes,no,no,ChassityAnnDesigns26,https://www.etsy.com/listing/1537177224/superheroe-duo-amigurumi-crochet-doll
Spooktacular Bundle | Amigurumi | Crochet Doll Pattern | Halloween ,17.5,0,0,0,0,54,0,"crochet Halloween,crochet low sew,low sew crochet,low sew Amigurumi,crochet vampire,Amigurumi spooky,Crochet spooky,amigurumi vampire,Crochet witch,crochet bat,crochet Frankenstein,Amigurumi Halloween,crochet mummy",United States,2023-08-24,yes,no,no,ChassityAnnDesigns26,https://www.etsy.com/listing/1551406221/spooktacular-bundle-amigurumi-crochet
Custom DTF Gang Sheet - DTF Transfers - Full Color DTF - Bulk  Printing - Dtf Screen printing - Whole Sale Price - High Quality ,0.5,0,47,16,0,95,0,"gang sheet,dtf,dtf transfers,full color dtf,heat transfer,shirt heat transfer,dtf custom transfers,custom logos,screen print,vinyl,iron on,direct to film,dtf printer",United States,2023-08-18,yes,no,no,MyNameGifts,https://www.etsy.com/listing/1547000577/custom-dtf-gang-sheet-dtf-transfers-full
"15+ HalloweenTown University PNG, 90s Halloween PNG, Vintage Halloween Town University PNG, Halloweentown Est 1998 Png, Pumpkin png ",3.5,0,28,6,1,97,56,"Halloween png,Halloween Bundle Png,halloween university,Halloween Town PNG,Halloweentown 1998,Halloweentown Est,Halloweentown png,halloween town,halloweentown",United States,2023-08-29,yes,no,no,WHISDECANTCO,https://www.etsy.com/listing/1554859427/15-halloweentown-university-png-90s
