title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"In My Dance Mom Era SVG-PNG, Dance Mom SVG, Dance Mama Svg, Dance Mom Shirt Svg, Funny Mom Shirt Svg, Funny Mama Shirt Svg, Dance Lover Svg ",3.5,31,112,9,2,96,5,"dance mom era svg,dance mom era png,dance mom shirt svg,dance mom shirt png,dance mama svg,dance mama png,funny mom shirt svg,funny mom shirt png,funny mama svg,mom life svg,dance svg,dance png,ın my dance mom era",United States,2023-08-19,yes,no,no,ValseDesignStore,https://www.etsy.com/listing/1533395770/in-my-dance-mom-era-svg-png-dance-mom
"Junk Journal, Autumn, Afternoon, Snippet, Kit, Roll, Fussy Cut, Fall, BuJo, Cricut, Planner, Printable, My Porch Prints, Digital Download ",3.29,20,94,25,8,181,46,"Junk Journal,Autumn,Afternoon,Snippet,Kit,Roll,Fussy Cut,Fall,Cricut,Planner,Printable,My Porch Prints,Digital Download",United States,2023-08-24,yes,no,no,MyPorchPrints,https://www.etsy.com/listing/1536666880/junk-journal-autumn-afternoon-snippet
"CROCHET PATTERN ALBA Crochet Bag Pattern Raffia Bag crochet purse  woman bag shopping bag summer bag beach bag, handbag ",3.93,20,101,16,3,267,48,"Crochet pattern,crochet bag pattern,crochet bag,tote pattern,market bag pattern,crochet,diy,easy crochet,easy bag pattern,handbag crochet,patterns,crochet bag tutorial,diy crochet",United States,2023-08-18,yes,no,no,isWoolish,https://www.etsy.com/listing/1532524840/crochet-pattern-alba-crochet-bag-pattern
Crochet Ghost and Pumpkin car hanger pattern | ghost pattern | pumpkin pattern | crochet pattern | halloween pattern ,8.0,0,0,10,0,145,0,"crochet ghost,crochet pumpkin,crochet,crochet car hanger,Crochet pattern,easy crochet pattern,halloween crochet,halloween pattern,yarn,glow in the dark,crochet halloween,glowin the dark yarn",United States,2023-08-27,yes,no,no,DearValerieCo,https://www.etsy.com/listing/1539169174/crochet-ghost-and-pumpkin-car-hanger
Giraffe Pattern ,5.5,0,28,6,0,145,0,"crochet,pattern,amigurumi,giraffe,safari,nursery,baby,hannergurumi,cute,animal",United States,2023-08-25,yes,no,no,HannerGurumi,https://www.etsy.com/listing/1552314573/giraffe-pattern
PDF Fall Halloween black and orange skeleton quilted table runner sewing pattern ,6.99,0,0,4,0,16,0,"skeleton,halloween,fall,sewing pattern,black,white,orange,table runner,table topper,quilted,pdf,kitchen linen,holiday decor",United States,2023-09-01,yes,no,no,simplyeilene,https://www.etsy.com/listing/1556624439/pdf-fall-halloween-black-and-orange
Are You Fall-O-Ween Jesus Svg Falloween Jesus Png Halloween Shirt Christian Shirt Svg Fall Religious Shirt Follow Jesus Shirt Matthew Bible ,1.99,0,37,9,9,149,47,"christian fall shirt,christian halloween,christian shirts,fall christian shirt,falloween jesus,fall religious shirt,fall shirts women,follow jesus,graphic tees women,jesus shirts women,matthew bible verse,religious shirts,shirts for christian",United States,2023-08-18,yes,no,no,SheShedCraftStore,https://www.etsy.com/listing/1533112710/are-you-fall-o-ween-jesus-svg-falloween
"Crochet Bear pattern , Bee hive, Crochet Patterns, Amigurumi Crochet Pattern, Low Sew Crochet Pattern ",6.5,0,0,9,0,178,0,"crochetgrove,crochetpattern,crochetpatterns,panda,crochet panda,crochet polar bear,crochet bear,bear,polar bear,crochet bear pattern,amigurumi bear,bear pattern,panda bear pattern",United States,2023-09-03,yes,no,no,CrochetGrove,https://www.etsy.com/listing/1543884860/crochet-bear-pattern-bee-hive-crochet
"Crochet Bear pattern, Polar Bear, Panda Bear, Bee hive, Bucket Hat, Bamboo, Fish, Crochet Patterns, Amigurumi Crochet Pattern, Low Sew Croch ",11.75,0,243,49,0,371,0,"crochetgrove,crochetpattern,crochetpatterns,panda,crochet panda,crochet polar bear,crochet bear,bear,polar bear,crochet bear pattern,amigurumi bear,bear pattern,panda bear pattern",United States,2023-09-03,yes,no,no,CrochetGrove,https://www.etsy.com/listing/1558044059/crochet-bear-pattern-polar-bear-panda
Hannah Lynn Coloring Page Set PDF Download Printable Big Eye Hand Drawn Whimsy Girls Line Art Hannah Lynn ,4.99,0,62,11,0,22,0,"cute,girl,coloring,kids,circus,paris,greece,travel,alice in wonderland,dog mom,adult,dog,pet",United States,2023-08-24,yes,no,no,hannahlynnart,https://www.etsy.com/listing/1550985797/hannah-lynn-coloring-page-set-pdf
Printable High Resolution Official Trump Mugshot | Transparent Digital Download | PNG JPG | Clipart ,1.0,0,66,8,0,45,0,"trump mugshot,mugshot,Donald Trump,trump shirt,trump 2024,anti trump,free trump,anti trump shirt,Donald Trump mugshot,trump png,Donald Trump png,trump mugshot shirt,Donald png",United States,2023-08-27,yes,no,no,PxlsNPrnts,https://www.etsy.com/listing/1553415837/printable-high-resolution-official-trump
FPbyVee Mini Marigold PNG Dia de los Muertos/Ofrenda/Day of the Dead ,3.5,0,0,6,0,50,0,"Dia de los Muertos,Day of the dead,sugar skulls,Cut files,Svg cut files,SVG,Day of the Dead SVG,Papel Picado Frame,Paper Flowers,Mini Marigold File",United States,2023-09-01,yes,no,no,ForeverPetalsbyVee,https://www.etsy.com/listing/1556589645/fpbyvee-mini-marigold-png-dia-de-los
KNITTING PATTERN - Made Wild Beanie - Waffle Chunky Folded Brim Beanie Pattern ,6.0,0,0,4,0,19,0,"knitting pattern,digital download,knit hat pattern,knit beanie,knitted hat pattern,knit beanie pattern,beginner knitting,chunky ribbed beanie,waffle knit beanie,folded brim beanie,made wild beanie",United States,2023-08-23,yes,no,no,SmeenyMadeWild,https://www.etsy.com/listing/1550255255/knitting-pattern-made-wild-beanie-waffle
Wonderland Collection 1:  Printable Alice in Wonderland Kit// Wonderland digital paper dolls –  PNG clip art // Wonderland backgrounds ,5.0,0,31,6,0,29,0,"paper doll,paperdoll,digital paper doll,printable paper doll,Alice,Wonderland,Looking Glass,Junk Journal,collage,Mad Hatter,Alice clip art,fussy cut",United States,2023-09-02,yes,no,no,MilesBeyondTheMoon,https://www.etsy.com/listing/1543235166/wonderland-collection-1-printable-alice
SVG cut file 20 30 40oz size Tumbler Personalized Name Tag | Pumpkin name tag for tumbler lid | Name Plate | Stanley Tumbler pumpkin spice ,3.15,0,65,6,0,126,0,"laser cut file,gift tag svg,pumpkin spice latte,pumpkin tumbler tag,personalized tumbler,personalized stanley,pumpkin stanley,pumpkin tag,tumbler name plate,stanley name plate,fall stanley tag,coworker gift,name plate pumpkin",United States,2023-08-24,yes,no,no,MelDenverGraphics,https://www.etsy.com/listing/1550992617/svg-cut-file-20-30-40oz-size-tumbler
"Shaker Desk Name Sign Digital File, Office Decor, Teacher Supplies, Secretary Name Plate, Boss Gift ",6.95,0,64,6,0,213,0,"desk,lasercut,laser file,teacher,education,classroom,decor,organize,office,name plate,name sign,School",United States,2023-08-23,yes,no,no,ThatMomWithALaser,https://www.etsy.com/listing/1536052504/shaker-desk-name-sign-digital-file
Jelly Roll Sampler Quilt Pattern QLD239 (PDF) ,12.5,0,285,37,0,114,0,"Craft Supplies & Tools,Patterns & How To,Patterns & Blueprints",United States,2023-08-16,yes,no,no,SherriQuilts,https://www.etsy.com/listing/1545289291/jelly-roll-sampler-quilt-pattern-qld239
"In My Cheer Mom Era SVG, Cheer Mom Svg, Cheer Mama Svg, Cheer Mom Era Svg, Cheer Mom Shirt Svg, Cheerleading Svg, Cheerleader Svg,Trendy Svg ",1.73,0,49,5,0,69,0,"cheer mom svg,cheer mom era svg,in my cheer mom era,cheer mom era,cheer mom,cheer mom era png,pom mom svg,in my cheer era svg,era,cheer tank,Cheer Squad Svg,Cheer Mama Era Svg,cheer mom shirt svg,cheer shirt svg,cheer svg,cheer mama svg,cheerleading svg,Cheer mom life svg,competitive cheer",United States,2023-08-29,yes,no,no,skydesingss,https://www.etsy.com/listing/1554573657/in-my-cheer-mom-era-svg-cheer-mom-svg
Gentleman Printable Ephemera Masculine Digital Download Junk Journal Tag Printable Pockets Husband Gift Father Scrapbook Vintage Mysterious ,1.94,0,62,13,0,26,0,"Junk Journal,Printable Kit,Masculine Scrapbook,Bullet Journal,Husband Gift,Printable Tags,Fussy Cuts,Digital Download,Dark Academia,Victorian Men,Gentleman Ephemera,Mysterious Halloween",United States,2023-08-28,yes,no,no,InkandPageJournals,https://www.etsy.com/listing/1540034244/gentleman-printable-ephemera-masculine
Printable Oatmeal Mix - PDF / SVG / JPG Craftologist Homemade Oatmeal Dry Mix Recipe Printable-Print yourself at home! Oatmeal Mix Printable ,1.99,0,34,7,0,219,0,"kitchen printables,meal planner,meal prep ideas,print my own,dinner ideas,Pantry printable,craftologist cass,oatmeal mix,print my own meals,meal prep print,pdf meal table,Craftologist Prints,oatmeal pantry",United States,2023-08-25,yes,no,no,CraftologistCass,https://www.etsy.com/listing/1537660138/printable-oatmeal-mix-pdf-svg-jpg
"Halloween Doodles Laser Engraved Full Wrap Design for 40oz Tumbler, Digital Download, Halloween Seamless Design, SVG Wrap For Laser Rotary ",4.67,0,104,0,0,99,0,"laser cutting file,laser cut pattern,instant download,laser engraved cup,full wrap design,laser engraved wrap,laser rotary file,full tumbler wrap,laser engraved SVG,engraved tumbler svg,laser rotary design,laser rotary piburn,laser etched wrap",United States,2023-08-18,yes,no,no,KThompLaserDesigns,https://www.etsy.com/listing/1533087634/halloween-doodles-laser-engraved-full
