title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Trinket Person - 2.25 inch pin back button / pocket mirror / magnet ,2.99,0,128,0,0,137,0,"danny brito,3 inch pin,large pin,1970s buttons,70s button,retro,heart broken,emotional,heart button,hearts,heart break,large pin badge,pinback badge button",United States,2023-09-09,yes,no,no,dannybrito,https://www.etsy.com/listing/1548647636/trinket-person-225-inch-pin-back-button
Baldur's Gate 3 Companion [ACT 1] Keychains / Charm **PREORDER** ,15.0,0,0,0,0,204,0,"baldurs gate,dnd,dungeons and dragons,video games,bg3,keychain,charm,nerd gifts,baldur's gate 3",United States,2023-08-24,yes,no,no,fuwafawn,https://www.etsy.com/listing/1536966932/baldurs-gate-3-companion-act-1-keychains
"P4P: 3D SVSSS Shen Qingqiu Keyring, Keychain, Charm ",13.0,0,0,11,0,116,0,"scum villain,self saving system,MXTX,danmei,BL,Keychain,wrist strap,PVC,3D,60mm,green,mint,6cm",United States,2023-08-26,yes,no,no,toffeearts,https://www.etsy.com/listing/1538412118/p4p-3d-svsss-shen-qingqiu-keyring
Eras Tour Enamel Pins ,13.99,0,0,0,0,372,0,False,United States,2023-09-02,yes,no,no,MagicalByMarissa,https://www.etsy.com/listing/1543140620/eras-tour-enamel-pins
Sweet Succubus (Pre-order) ,35.0,0,0,0,0,32,0,"Lewd,Lewd pins,Pin,Enamel pin,Captivating Audience,Waifu,Oppai,Morrigan,Kinked Pin",United States,2023-08-23,yes,no,no,CaptivatingAudience,https://www.etsy.com/listing/1550795701/sweet-succubus-pre-order
Ghost badge reel -  Halloween Badge - Retractable badge - Badge topper - ID holder -  Spooky  Cute ghost - Nurse - Medical - ,7.5,0,70,4,0,539,0,"Badge Reel,RN gifts,Retractable Badge,ID Holder,RN Badge Holder,Halloween badge,Ghost badge,badge topper,Fall badge,Retro ghost,Cute ghost,Daisy badge reel,Floral ghost badge",United States,2023-08-30,yes,no,no,GlitterMyBadge,https://www.etsy.com/listing/1540892224/ghost-badge-reel-halloween-badge
2001: A Space Odyssey HAL 9000 Hard Enamel Pin - 1.5in. ,8.99,0,56,15,9,151,36,"enamel pin,pin,pinback,enamel,hard enamel,hal 9000,2001 a space odyssey",United States,2023-08-21,yes,no,no,colliholly,https://www.etsy.com/listing/1534867968/2001-a-space-odyssey-hal-9000-hard
"Goth Mickey Ears, Bat Bow Spikes Mouse Ears, Halloween Ears, Minnie Ears, Black Bat Bow Mickey Ears, Goth Spikes Glitter Minnie Ears ",19.98,0,74,0,0,349,0,"Halloween ears,Halloween Minnie ear,Halloween Mickey ear,Minnie ears,Goth Mickey Ears,Minnie Mouse Ears,Mickey Mouse Ears,Black Bat Mouse Ears",United States,2023-08-24,yes,no,no,ApplemintHouse,https://www.etsy.com/listing/1536908386/goth-mickey-ears-bat-bow-spikes-mouse
Feather Trucker Hat ,80.0,0,0,0,0,78,0,"western,trucker hat,cowboy,vintage,feather,turquoise,nfr,texas,punchy,cap,cowboy hat,pheasant,rodeo",United States,2023-08-24,yes,no,no,RafterRose,https://www.etsy.com/listing/1551516317/feather-trucker-hat
Feather Premium Maleficent wings black feather wings crow wings raven wings with tallons Child/adult Maleficent wings. ,45.0,0,52,0,0,200,0,"maleficent,maleficent horns,young maleficent,horns headband,child maleficent,costume,black wings,owl,wings,feather,eagle,crow,kids horns",United States,2023-08-22,yes,no,no,MudandMajesty,https://www.etsy.com/listing/1535200630/feather-premium-maleficent-wings-black
Electric Dreams Edgar Soft Enamel Pin - 1in. ,7.99,0,56,11,7,134,30,"enamel pin,pin,pinback,enamel,soft enamel,edgar,electric dreams",United States,2023-08-21,yes,no,no,colliholly,https://www.etsy.com/listing/1534866964/electric-dreams-edgar-soft-enamel-pin
Midnights Swallowtail Butterfly Hard Enamel Pin ,9.0,0,59,0,0,72,0,"the fields supply,enamel pin,lapel pin,swifties,merch,gift for swiftie,butterfly,butterflies,eras tour,midnights,vinyl,swallowtail",United States,2023-09-04,yes,no,no,TheFieldsSupply,https://www.etsy.com/listing/1558996509/midnights-swallowtail-butterfly-hard
Toy Cowboy Hair Claw Clip ,22.0,0,44,7,6,88,7,"Accessories,Hair Accessories,Barrettes & Clips",United States,2023-08-19,yes,no,no,ABrittCraftyShop,https://www.etsy.com/listing/1533453408/toy-cowboy-hair-claw-clip
"PREORDER | BG3 Companion Approval Badge Hard Enamel Pins | Astarion, Karlach, Gale, Shadowheart, Halsin, Lae'zel, Larian Studios ",11.0,0,0,0,0,435,0,"bg3,baldurs gate 3,larian studios,astarion,halsin,shadowheart,gale,karlach,dnd,dungeons and dragons,video game,pc game,lae'zel",United States,2023-09-08,yes,no,no,CraftMyFandom,https://www.etsy.com/listing/1561871359/preorder-bg3-companion-approval-badge
Overtime Hours Bullsh*t Pay ,20.0,0,0,5,0,52,0,"anthony oliver hat,blue collar hat,blue collar american,american hat,patriotic hat,gifts for him",United States,2023-08-25,yes,no,no,BaseKreations,https://www.etsy.com/listing/1551702607/overtime-hours-bullsht-pay
