title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Rich Men North Of Richmond PNG, Living In A New World With An Old Soul, Oliver Anthony PNG, Patriotic Vintage Style PNG, Tshirt Design ",0.99,22,242,21,1,249,20,"Sublimation PNG,Rich men richmond,New World Old Soul,Oliver Anthony,Vintage design,Patriotic png,Tshirt png,Country music png,Rich men north,Tshirt design,Old soul png,Country tshirt png,Living in a new worl",United States,2023-08-17,yes,no,no,MagicMangoStudios,https://www.etsy.com/listing/1532110910/rich-men-north-of-richmond-png-living-in
"People Give Me the Creeps 20 oz Skinny Tumbler Sublimation Design Digital Download PNG Instant DIGITAL ONLY, Funny Halloween Tumbler ",1.78,14,45,5,0,42,5,"20 oz skinny,skinny tumbler,tumbler design,sublimation tumbler,sublimation skinny,skinny design,20oz skinny,20 oz tumbler,tumbler wrap,sublimation design,people give me creep,halloween tumbler,spooky tumbler wrap",United States,2023-08-22,yes,no,no,BaileyDesignedCo,https://www.etsy.com/listing/1535796302/people-give-me-the-creeps-20-oz-skinny
Rainbow Acrylic Daycare Attendant Standee | FNAF SB Sun and Moon ,12.0,0,9,6,0,208,0,"Sundrop,Moondrop,Daycare,Attendant,Security,Breach,Sun,Moon,Standee",United States,2023-08-16,yes,no,no,CillyStaciaShop,https://www.etsy.com/listing/1531604078/rainbow-acrylic-daycare-attendant
"Halloween Doodle letters with Clip Art PNG Files, Make your own Name, Doodle Alpha Bundle, Halloween Clipart Alphabet Doodle Set PNG ",2.4,0,102,5,0,97,0,"doodle letters png,doodle letters,sublimation download,digital download,doodle alphabet,digital alphabet,printable alphabet,doodle alphabet png,doodle font,Halloween shirt,Halloween png,halloween letters,halloween doodle",United States,2023-08-30,yes,no,no,TheDoodleLetters,https://www.etsy.com/listing/1541393754/halloween-doodle-letters-with-clip-art
"Brother Pe Design 11 Full Version License & Sewing Scanning Embroidery Machine Stitch Design Embroidery digitizing Bonus-500,000 Embroidery ",7.01,0,0,10,0,4,0,"pe design 11,pe design,embroidery software,brother pe design 11,software,wilcom hatch,embroidery program,pe design software,pe 11 design,pe file,pedesign 11,logiciel de broderie,pe des 11",United States,2023-08-28,yes,no,no,ProDigiGoods,https://www.etsy.com/listing/1553846917/brother-pe-design-11-full-version
"25 Design 300dpi | Bitch Be Gone Png Tumbler Bundle| Bitch Spray Tumbler Designs| Eliminates Hoes| Crisp Fuck off scent, Instant Download ",3.45,0,0,11,0,37,5,"tumbler wrap,digital design,sublimation download,sublimation PNG,20oz PNG Bestsellers,tumbler best seller,20oz digital design,Middle Finger Png,satan spray,Bitch spray tumbler,spray tumbler,not today satan,Tumbler PNG",United States,2023-08-16,yes,no,no,Natachex,https://www.etsy.com/listing/1531306358/25-design-300dpi-bitch-be-gone-png
"3D Faith Tumbler Wrap, Bible Tumbler, Bible Sublimation Design, 20oz Skinny Tumbler Straight, 3D Inflated Tumbler, Digital Download ",2.62,0,0,6,0,69,0,"20oz skinny tumbler,3d straight tumbler,3d sublimation wrap,3d tapered tumbler,3d tumbler wrap,sublimation design,3d inflated tumbler,digital download,tumbler,digital file,sublimation designs,png tumbler,bible tumbler",United States,2023-08-22,yes,no,no,ImagineCustomGoods,https://www.etsy.com/listing/1549845101/3d-faith-tumbler-wrap-bible-tumbler
"Children Be Gone - I Smell Children Halloween Tumblers, Sublimation Design, download, tumbler png ",1.91,0,0,4,0,38,0,"Kids Be Gone,Digital download,Trending PNG,Sublimation Png,Halloween Tumbler,Children Be Gone,I Smell Children,Funny Spray Can,bitch be gone png,Kids Repellent Joke,Lysol Joke",United States,2023-08-31,yes,no,no,Josepans,https://www.etsy.com/listing/1556353365/children-be-gone-i-smell-children
"Spooky Season 20 oz Skinny Tumbler Sublimation Design Digital Download PNG Instant DIGITAL ONLY, Witchy Vibes Halloween Tumbler Wrap ",2.57,0,41,19,5,146,21,"20 oz skinny,skinny tumbler,tumbler design,sublimation tumbler,sublimation skinny,skinny design,20oz skinny,20 oz tumbler,tumbler wrap,sublimation design,halloween tumbler,witchy tumbler,spooky season tumble",United States,2023-08-19,yes,no,no,BaileyDesignedCo,https://www.etsy.com/listing/1547560463/spooky-season-20-oz-skinny-tumbler
"In My Band Mom Era, Band Mom svg, Band Mama svg png, Era svg, Band Mom Life svg png, Band Mom Shirt svg ",3.0,0,54,6,2,68,18,"marching band mom,band mom shirt,band mom svg,band mama shirt,in my era,marching band svg,saxophone band mom,trumpet band mom,band mama svg,band mom era,trombone flute mom,band era,drill team",United States,2023-08-21,yes,no,no,AveryJamesDesignCo,https://www.etsy.com/listing/1548980983/in-my-band-mom-era-band-mom-svg-band
