title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Stanley Straw Topper Cover Stanley Straw Charms Topper Drink Cup Cover for Stanley Accessories Straw Cap Tip Reusable Straw Cover ,3.5,0,0,0,0,71,0,"straw topper,straw cover,drink cover,cup cover,stanley straw cover,stanley straw topper,stanley accessory,stanley quencher,stanley accessories,stanley sticker,stanley decal,stanley pouch,straw cap",United States,2023-08-22,yes,no,no,BeyondBraveStudio,https://www.etsy.com/listing/1535430802/stanley-straw-topper-cover-stanley-straw
"There's Some Horrors In This House png For Shirt, Halloween, Funny Halloween Digital Printing, Retro Halloween, Funny Ghost, Spooky Vibes ",1.34,0,0,9,6,120,60,"Theres some horrors,in this house svg,retro halloween,funny halloween png,spooky season svg,groovy pumpkin svg,Halloween png,horrors house svg,some horrors svg,halloween svg,fall svg,fall png,this house iron on",United States,2023-08-23,yes,no,no,Pobico,https://www.etsy.com/listing/1536579692/theres-some-horrors-in-this-house-png
Real Trump Mug Shot Mug | Mug Shot | infamous Donald Trump Mugshot ,25.0,0,0,0,0,26,0,"funny trump mug,trump mug shot,trump mug shot shirt,trump mug shot mug,trump mugshot,funny trump mug shot,donald trump,gifts for dad,trump joke,trump shirt men,donald trump hat,trump mug,trump 2025 t shirts",United States,2023-08-25,yes,no,no,SleazyMugsandMore,https://www.etsy.com/listing/1537777012/real-trump-mug-shot-mug-mug-shot
"Fall swag,fall front door swag,Fall Decor,Fall Wreaths for Front Door,Autumn Maples Leaf Pumpkin Pine Cone Berry Wreath-Halloween Farmhouse ",86.44,0,51,0,0,70,0,"Front door,fall swag,fall wreath,swag,wreath,fall swag front door,front door wreath,fall,front door swag,fall peony wreath,fall decor,pumpkin wreath",United States,2023-08-18,yes,no,no,McGovernShop,https://www.etsy.com/listing/1532920386/fall-swagfall-front-door-swagfall
Boygenius  ,9.0,0,0,5,0,252,0,"boygenius,phoebe bridgers,lucy dacus,julien baker,linocut,art print,printmaking,poster,the record,wall art,leonard cohen,best friends,snoopgenius",United States,2023-08-25,yes,no,no,NoExitClothing,https://www.etsy.com/listing/1551930379/boygenius-i-never-thought-youd-happen-to
"Trump Mugshot Coffee Mug, Official Donald Trump Mugshot Coffee Mug, Limited Edition Donald Trump Mugshot Coffee Mug - 11oz Ceramic Mug ",11.96,0,0,5,5,37,11,"Mug Shot Mug,Mug Shot Trump,Mugshot Trump,Trump Mug Shot,Trump Mug Shot Mug,Trump Mugshot,Trump Mugshot Mug,funny trump mug,donald trump hat,trump mugshot shirt,Real Trump Mugshot,trump mugshot tweet,Infamous Mugshot",United States,2023-08-25,yes,no,no,HoldenFam,https://www.etsy.com/listing/1538029286/trump-mugshot-coffee-mug-official-donald
"Come, Follow Me for Youth 2023 - Sept 10 How Can I Find Comfort in Jesus Christ When a Loved One Dies? Lesson Packet for 1 Corinthians 14-16 ",4.5,0,0,8,0,14,0,"Come Follow Me,2023,Young Women,Young Men,Jesus Christ,Latter-day Saints,Bible,New Testament,Attention Getter,Handouts,September 10,Discussion ideas,Time To Teach",United States,2023-08-17,yes,no,no,LovePrayTeach,https://www.etsy.com/listing/1531743706/come-follow-me-for-youth-2023-sept-10
PRINT -  ,26.0,0,99,0,0,318,0,"art,artwork,laurasbeatingart,print,ghost,cute ghost,ghost sheet,decor,spooky,gothic,gothic decor,witch,broom",United States,2023-09-04,yes,no,no,LaurasBeatingArt,https://www.etsy.com/listing/1545048846/print-gary-the-witch-1333
Halloween ghost luminaria | jack o lantern | handmade | ceramic | Halloween decor | 2023 fall collection ,55.0,0,0,0,0,64,0,"Halloween,pottery,ceramic,ceramic ghost,stoneware,handmade,halloween decor,spooky season,pumpkin face,halloween mantel,halloween decoration,jack o lantern,ghost luminaria",United States,2023-08-31,yes,no,no,MollieMoonCeramics,https://www.etsy.com/listing/1556446089/halloween-ghost-luminaria-jack-o-lantern
Indoor Outdoor Layering Rugs | Doormat Layering Rug | Woven Rug | Entryway Decor | Door Mats | Boho Fringe Rugs | Accent Rug | Under Mat Rug ,28.0,0,22,5,0,133,43,"layering rug,rug under doormat,door mat,indoor outdoor rug,woven rug,accent rug,welcome doormat,entryway decor,decorative rugs,Aztec decor,front porch decor,rugs for doormat,boho fringe rugs",United States,2023-08-16,yes,no,no,HisandHerDecor,https://www.etsy.com/listing/1531565050/indoor-outdoor-layering-rugs-doormat
