title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Personalized Keychain - Two-Tone - Custom Colors & Text - Bag Charm / Key Ring /  Name Tag - 3D Printed - BX ,7.99,50,322,78,58,1084,340,"Custom keychain,Custom Bag Charm,custom car keychain,cute keychain,keychain for women,keychain for men,3d printed keychain,funny keychain,meme keychain,movie keychain,barbie movie,kids bag tag,backpack zip pull",United States,2023-08-23,yes,no,no,3DPrintedDelight,https://www.etsy.com/listing/1536283136/personalized-keychain-two-tone-custom
Trinket Person - 2.25 inch pin back button / pocket mirror / magnet ,2.99,0,128,0,0,137,0,"danny brito,3 inch pin,large pin,1970s buttons,70s button,retro,heart broken,emotional,heart button,hearts,heart break,large pin badge,pinback badge button",United States,2023-09-09,yes,no,no,dannybrito,https://www.etsy.com/listing/1548647636/trinket-person-225-inch-pin-back-button
Uncanny Valley Can Badges ,5.0,0,0,0,0,66,16,"horror,pin back button,purple game,john doe,john doe game,house hunted",United States,2023-08-27,yes,no,no,ScopophobiaStudios,https://www.etsy.com/listing/1539086236/uncanny-valley-can-badges
Baldur's Gate 3 Companion [ACT 1] Keychains / Charm **PREORDER** ,15.0,0,0,0,0,204,0,"baldurs gate,dnd,dungeons and dragons,video games,bg3,keychain,charm,nerd gifts,baldur's gate 3",United States,2023-08-24,yes,no,no,fuwafawn,https://www.etsy.com/listing/1536966932/baldurs-gate-3-companion-act-1-keychains
GO S2 3” Double-sided Charms ,15.0,0,0,0,0,378,55,"Aziraphale,Crowley,Jim,Gabriel,Good omens,Muriel,Shax,Furfur,Bentley,Maggie,Nina,Beelzebub,gos2",United States,2023-08-19,yes,no,no,smudgeandfrank,https://www.etsy.com/listing/1533444808/go-s2-3-double-sided-charms
"P4P: 3D SVSSS Shen Qingqiu Keyring, Keychain, Charm ",13.0,0,0,11,0,116,0,"scum villain,self saving system,MXTX,danmei,BL,Keychain,wrist strap,PVC,3D,60mm,green,mint,6cm",United States,2023-08-26,yes,no,no,toffeearts,https://www.etsy.com/listing/1538412118/p4p-3d-svsss-shen-qingqiu-keyring
Eras Tour Enamel Pins ,13.99,0,0,0,0,372,0,False,United States,2023-09-02,yes,no,no,MagicalByMarissa,https://www.etsy.com/listing/1543140620/eras-tour-enamel-pins
FFXIV Warrior of Light Back Patch ,30.0,0,0,0,0,157,0,"ffxiv,ff14,hydaelyn,crystal,final fantasy,patch,warrior of light,WOL,Endwalker,shadowbringers",United States,2023-08-19,yes,no,no,Foxflightstudios,https://www.etsy.com/listing/1533218606/ffxiv-warrior-of-light-back-patch
Sweet Succubus (Pre-order) ,35.0,0,0,0,0,32,0,"Lewd,Lewd pins,Pin,Enamel pin,Captivating Audience,Waifu,Oppai,Morrigan,Kinked Pin",United States,2023-08-23,yes,no,no,CaptivatingAudience,https://www.etsy.com/listing/1550795701/sweet-succubus-pre-order
Ghost badge reel -  Halloween Badge - Retractable badge - Badge topper - ID holder -  Spooky  Cute ghost - Nurse - Medical - ,7.5,0,70,4,0,539,0,"Badge Reel,RN gifts,Retractable Badge,ID Holder,RN Badge Holder,Halloween badge,Ghost badge,badge topper,Fall badge,Retro ghost,Cute ghost,Daisy badge reel,Floral ghost badge",United States,2023-08-30,yes,no,no,GlitterMyBadge,https://www.etsy.com/listing/1540892224/ghost-badge-reel-halloween-badge
