title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Gallery Wall Prints SET Halloween Printable Art Gallery Wall Gothic Halloween Collage Wall Art Vintage Halloween Gothic Style Dark Academia ,10.44,46,110,10,8,523,183,"halloween poster,halloween printable,halloween art prints,halloween wall decor,set of nine,halloween gallery,vintage halloween,gothic decor,spooky halloween,victorian halloween,dark academia decor,whimsigoth decor,dark academia",United States,2023-08-21,yes,no,no,IndiePixels,https://www.etsy.com/listing/1534684824/gallery-wall-prints-set-halloween
Trump Wanted President Mugshot Grey || President 2024 ll PNG Digital download ,2.54,27,78,18,5,156,19,"Trump 2024,Trump mugshot,president trump,donald trump mugshot,tshirt png,never surrender,legend,legend trump,wanted president,trump second term,wanted poster trump,wanted mugshot trump",United States,2023-08-25,yes,no,no,MarieNCoBoutique,https://www.etsy.com/listing/1552200671/trump-wanted-president-mugshot-grey
"Rich Men North Of Richmond PNG, Living In A New World With An Old Soul, Oliver Anthony PNG, Patriotic Vintage Style PNG, Tshirt Design ",0.99,22,242,21,1,249,20,"Sublimation PNG,Rich men richmond,New World Old Soul,Oliver Anthony,Vintage design,Patriotic png,Tshirt png,Country music png,Rich men north,Tshirt design,Old soul png,Country tshirt png,Living in a new worl",United States,2023-08-17,yes,no,no,MagicMangoStudios,https://www.etsy.com/listing/1532110910/rich-men-north-of-richmond-png-living-in
"People Give Me the Creeps 20 oz Skinny Tumbler Sublimation Design Digital Download PNG Instant DIGITAL ONLY, Funny Halloween Tumbler ",1.78,14,45,5,0,42,5,"20 oz skinny,skinny tumbler,tumbler design,sublimation tumbler,sublimation skinny,skinny design,20oz skinny,20 oz tumbler,tumbler wrap,sublimation design,people give me creep,halloween tumbler,spooky tumbler wrap",United States,2023-08-22,yes,no,no,BaileyDesignedCo,https://www.etsy.com/listing/1535796302/people-give-me-the-creeps-20-oz-skinny
"1989 Taylor’s Version Logo PNG, 1989 TV PNG, 1989 png, The Eras Tour 2023, Swiftie Eras Tour png, Swiftie png, Swiftie Merch, Swiftie Shirt ",1.65,13,117,10,0,167,24,"the eras tour,eras tour png,Swiftie merch,Eras tour merch,The eras tour png,1989 tv,1989 png,Taylors version",United States,2023-08-17,yes,no,no,AnniesDesignParty,https://www.etsy.com/listing/1531893150/1989-taylors-version-logo-png-1989-tv
Mockup Bundle | The Whole Shop Pass | Includes all current mockups and future updates! ,15.0,2,28,12,4,32,10,"Mockup Loft,whole shop,fall mockup,halloween mockup,white t shirt mockup,mockup bundle,christmas mockup,3001 color chart,bella canvas mockup,18000 mockup,mug mockup,fall t shirt mockup",United States,2023-08-22,yes,no,no,MockupLoft,https://www.etsy.com/listing/1535208318/mockup-bundle-the-whole-shop-pass
Rainbow Acrylic Daycare Attendant Standee | FNAF SB Sun and Moon ,12.0,0,9,6,0,208,0,"Sundrop,Moondrop,Daycare,Attendant,Security,Breach,Sun,Moon,Standee",United States,2023-08-16,yes,no,no,CillyStaciaShop,https://www.etsy.com/listing/1531604078/rainbow-acrylic-daycare-attendant
Halloween Pink Savings Challenge | Scratch Off | Cash Budgeting | Savings Challenge ,6.0,0,0,10,0,51,0,"savings challenge,scratch off,cash budget,Halloween,pink,Halloween savings,Low budget",United States,2023-08-23,yes,no,no,BudgetwithMamaBear,https://www.etsy.com/listing/1550494177/halloween-pink-savings-challenge-scratch
Custom DTF Gang Sheet - DTF Transfers - Full Color DTF - Bulk  Printing - Dtf Screen printing - Ready to Apply - Whole Sale Price ,0.5,0,66,4,0,42,0,"gang sheet,dtf,dtf transfers,full color dtf,heat transfer,shirt heat transfer,dtf custom transfers,custom logos,vinyl,iron on,direct to film,dtf printer",United States,2023-08-21,yes,no,no,MyNameGifts,https://www.etsy.com/listing/1534896410/custom-dtf-gang-sheet-dtf-transfers-full
"Christmas Snowman 20 oz Skinny Tumbler Sublimation Design, Instant Digital Download PNG,  Holiday Tumbler Wrap ",1.98,0,72,8,0,95,0,"3d tumbler design,tumbler wrap,3d tumbler wrap,tumbler design,sublimation design,skinny tumbler wrap,tumbler wrap PNG,christmas tumbler,xmas tumbler design,snowman tumbler wrap,holiday tumbler wrap,shabby chic,gold tumbler wrap",United States,2023-08-17,yes,no,no,TheUrbanArtisanCo,https://www.etsy.com/listing/1546304717/christmas-snowman-20-oz-skinny-tumbler
"Halloween Doodle letters with Clip Art PNG Files, Make your own Name, Doodle Alpha Bundle, Halloween Clipart Alphabet Doodle Set PNG ",2.4,0,102,5,0,97,0,"doodle letters png,doodle letters,sublimation download,digital download,doodle alphabet,digital alphabet,printable alphabet,doodle alphabet png,doodle font,Halloween shirt,Halloween png,halloween letters,halloween doodle",United States,2023-08-30,yes,no,no,TheDoodleLetters,https://www.etsy.com/listing/1541393754/halloween-doodle-letters-with-clip-art
"Brother Pe Design 11 Full Version License & Sewing Scanning Embroidery Machine Stitch Design Embroidery digitizing Bonus-500,000 Embroidery ",7.01,0,0,10,0,4,0,"pe design 11,pe design,embroidery software,brother pe design 11,software,wilcom hatch,embroidery program,pe design software,pe 11 design,pe file,pedesign 11,logiciel de broderie,pe des 11",United States,2023-08-28,yes,no,no,ProDigiGoods,https://www.etsy.com/listing/1553846917/brother-pe-design-11-full-version
"Baseball SVG Png, 98 Braves, One Thing at a Time, Wallen, RED/NAVY sublimation  (Transparent png svg) If We We’re A Team - Digital Download ",2.23,0,132,13,3,56,10,"98 braves png,if we were a team,digital download,country music,country png,western png,country music png,braves png,baseball,mw png,braves,music,love was a game",United States,2023-08-20,yes,no,no,BlackWhiteSync,https://www.etsy.com/listing/1548258205/baseball-svg-png-98-braves-one-thing-at
"25 Design 300dpi | Bitch Be Gone Png Tumbler Bundle| Bitch Spray Tumbler Designs| Eliminates Hoes| Crisp Fuck off scent, Instant Download ",3.45,0,0,11,0,37,5,"tumbler wrap,digital design,sublimation download,sublimation PNG,20oz PNG Bestsellers,tumbler best seller,20oz digital design,Middle Finger Png,satan spray,Bitch spray tumbler,spray tumbler,not today satan,Tumbler PNG",United States,2023-08-16,yes,no,no,Natachex,https://www.etsy.com/listing/1531306358/25-design-300dpi-bitch-be-gone-png
"Hocus Pocus Children Be Gone Halloween Tumbler Wrap PNG Bundle, Bitch Spray, Halloween Tumbler Wrap Children Be Gone, Instant Download ",4.11,0,0,5,0,40,3,"Sublimation Png,20Oz Digital Design,Sublimation Download,Tumbler Best Seller,20Oz Png Bestsellers,Middle Finger Png,Bitch Spray Tumbler,Halloween Tumbler,Bitch Be Gone Png,Children Be gone",United States,2023-08-24,yes,no,no,Richardemy,https://www.etsy.com/listing/1551243105/hocus-pocus-children-be-gone-halloween
"Country Lyrics Wall Art Printable, revival Lyrics Art, Coastal Cowgirl Poster, Zach  Fan Merch, Pink Western Wall Art ",6.4,0,69,5,3,368,92,"zach bryan poster,zach bryan wall art,zach bryan print,zach bryan,zach bryan prints,zach bryan posters,zach bryan poem,Zach Bryan merch,zach Bryan lyrics,country lyric art,dorm room wall art,preppy pink y2k,coastal cowgirl art,cowgirl era,cowgirl aesthetic,cute cowgirl art,all night revival,zach bryan new album",United States,2023-08-16,yes,no,no,SilverOxTrading,https://www.etsy.com/listing/1531200604/country-lyrics-wall-art-printable
"41+ Halloween Movie Coffee Bundle PNG ,Movie Characters Coffee bundle, Coffee Cups Png Bundle, Movie Horror Coffee PNG ",3.5,0,196,10,0,83,0,"halloween png,Halloween Coffee,Halloween Coffee png,Movie Coffee png,Coffee Cups Png,Halloween Bundle Png,horror characters,coffee cups bundle,halloween coffee cup,Horror Png,movie png,coffee png,Movie Horror Coffee",United States,2023-08-30,yes,no,no,WHISDECANTCO,https://www.etsy.com/listing/1555598869/41-halloween-movie-coffee-bundle-png
