title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Crochet Halloween cats gnome pattern, Amigurumi gnome halloween toy English PDF, holiday gnome decor ",2.85,240,528,69,28,1084,317,"crochet pattern,halloween gnome,halloween cat,amigurumi halloween,holiday gnome,crochet doll pattern,crochet gnome,amigurumi gnome,gnome ornament,crochet cat pattern,amigurumi cat,garden gnome,halloween decor",United States,2023-08-17,yes,no,no,CreativeMamavyaz,https://www.etsy.com/listing/1532134460/crochet-halloween-cats-gnome-pattern
"Retro Halloween Bundle SVG, Halloween Vector, Witch svg, Ghost svg, Halloween shirt svg, Pumpkin svg, Sarcastic svg, Cricut, Silhouette png ",1.0,59,99,10,3,129,43,"halloween svg,halloween quote svg,halloween svg bundle,pumpkin svg,ghost svg,Halloween shirt svg,halloween clipart,Citragraphics,retro halloween svg,Retro Halloween PNG,groovy halloween,Cute Halloween PNG,spooky season png",United States,2023-08-21,yes,no,no,CitraGraphics,https://www.etsy.com/listing/1534795868/retro-halloween-bundle-svg-halloween
Christmas SVG File | Activity Tokens | Kids | Games | Laser Cut Files | Hot Cocoa |  Wood Scrap Buster ,5.0,55,63,6,2,435,119,"christmas svg,activity tokens,christmas games,svg file,elf,elf games,laser cut,glowforge,christmas cut file,laser file,kids christmas,hot coco,scrap busting",United States,2023-08-20,yes,no,no,MagnoliasCoast,https://www.etsy.com/listing/1548619709/christmas-svg-file-activity-tokens-kids
"In My Dance Mom Era SVG-PNG, Dance Mom SVG, Dance Mama Svg, Dance Mom Shirt Svg, Funny Mom Shirt Svg, Funny Mama Shirt Svg, Dance Lover Svg ",3.5,31,112,9,2,96,5,"dance mom era svg,dance mom era png,dance mom shirt svg,dance mom shirt png,dance mama svg,dance mama png,funny mom shirt svg,funny mom shirt png,funny mama svg,mom life svg,dance svg,dance png,ın my dance mom era",United States,2023-08-19,yes,no,no,ValseDesignStore,https://www.etsy.com/listing/1533395770/in-my-dance-mom-era-svg-png-dance-mom
Mini Blankie Body — Crochet PATTERN MODIFICATION (Please read listing) ,5.0,28,96,15,3,133,13,"Crochet Pattern,Lovey Crochet,Blankie Body,Mama Made Minis,Animal Blankie,Modern Crochet,Heirloom Crochet,Knotted Lovey,Animal Lovey,Snuggler,Baby Blanket,Lovey Blankie,Crochet Blankie Body",United States,2023-08-20,yes,no,no,MamaMadeMinis,https://www.etsy.com/listing/1534222480/mini-blankie-body-crochet-pattern
"Junk Journal, Autumn, Academia, ADD ON, Kit, Fall, Halloween, Gothic, Dark, Study, Raven, My Porch Prints, Printable, Digital Download ",2.99,26,51,17,4,129,29,"Junk Journal,Autumn,Academia,Add On,Kit,Fall,Halloween,Gothic,Victorian,My Porch Prints,Printable,Digital Download,Dark Academia",United States,2023-08-24,yes,no,no,MyPorchPrints,https://www.etsy.com/listing/1536753194/junk-journal-autumn-academia-add-on-kit
"Junk Journal, Autumn, Afternoon, Snippet, Kit, Roll, Fussy Cut, Fall, BuJo, Cricut, Planner, Printable, My Porch Prints, Digital Download ",3.29,20,94,25,8,181,46,"Junk Journal,Autumn,Afternoon,Snippet,Kit,Roll,Fussy Cut,Fall,Cricut,Planner,Printable,My Porch Prints,Digital Download",United States,2023-08-24,yes,no,no,MyPorchPrints,https://www.etsy.com/listing/1536666880/junk-journal-autumn-afternoon-snippet
"CROCHET PATTERN ALBA Crochet Bag Pattern Raffia Bag crochet purse  woman bag shopping bag summer bag beach bag, handbag ",3.93,20,101,16,3,267,48,"Crochet pattern,crochet bag pattern,crochet bag,tote pattern,market bag pattern,crochet,diy,easy crochet,easy bag pattern,handbag crochet,patterns,crochet bag tutorial,diy crochet",United States,2023-08-18,yes,no,no,isWoolish,https://www.etsy.com/listing/1532524840/crochet-pattern-alba-crochet-bag-pattern
"NEW White Game Day Chenille Patch, iron on patch, game day, diy patch ",9.99,15,54,7,0,208,56,"Game day,game day patch,Football season,iron on patch,football patch,Chenille patch,chenille game day,fun patch,Patch for bag,Patch for mom,thanksgiving,sequin football",United States,2023-08-19,yes,no,no,stitchedoriginals,https://www.etsy.com/listing/1533300588/new-white-game-day-chenille-patch-iron
Gentleman Junk Journal Steampunk Printable Scrapbook Masculine Vintage Grunge Victorian Men Papers Industrial Railroad Train Paper Digital ,4.54,0,17,14,0,27,0,"Junk Journal,Steampunk Digital,Printable Kit,Industrial Grunge,Father Gift,Victorian Men,Dark Academia,Husband Gift,Journaling Supplies,Bullet Journal,Distinguished Man,Gentleman Scrapbook",United States,2023-08-28,yes,no,no,InkandPageJournals,https://www.etsy.com/listing/1554199097/gentleman-junk-journal-steampunk
