title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
MEW Shiny or Nonshiny 6IV / Mewtwo Tera Raid COUNTER / Pokemon Scarlet and Violet / EV Trained +Any Item or Tera / Customizable / Fast Trade ,Electronics & Accessories > Video Games,3.99,0,0,4,0,9,0,"6IV,Mewtwo,Mewtwo Raid,Mew,Tera Raid,Mewtwo Counters,Counter Mew,Tera Type Mew",United States,2023-08-31,yes,no,no,BreadsPokemart,https://www.etsy.com/listing/1542286698/mew-shiny-or-nonshiny-6iv-mewtwo-tera
Grouchy Granny Window Peeker Stickers| Bluey | Funny Decal | Car Sticker | Truck Decal | Car Window Sticker Decal ,Electronics & Accessories > Decals & Skins > Laptop > Laptop Decals,3.5,0,23,4,0,210,0,"Window sticker,Car decal,Car window decal,Funny sticker,Truck decal,Funny decal,Bluey,Peeker sticker,Grouchy granny,Gladys,Glasses",United States,2023-08-21,yes,no,no,WednesdayDesignShop,https://www.etsy.com/listing/1548643739/grouchy-granny-window-peeker-stickers
Baldur's Gate 3 Die-cut Decal Stickers ,Electronics & Accessories > Decals & Skins > Laptop > Laptop Decals,4.0,0,0,0,0,1304,0,"baldurs gate 3,astarion,karlach,karlach sticker,baldurs gate,baldur's gate 3,x3dustco,karlach decal,shadowheart,lae'zel,baldurs gate peeker,sticker,decal,die,cut,car,Baldur's Gate 3,Baldur's Gate,game,laptop,dnd",United States,2023-09-05,yes,no,no,x3Dustco,https://www.etsy.com/listing/1559751451/baldurs-gate-3-die-cut-decal-stickers
Donald Trump Never Surrender Mugshot Sticker ,Electronics & Accessories > Decals & Skins > Laptop > Laptop Decals,3.19,0,0,10,0,64,0,"sticker,decal,laptop sticker,phone sticker,bumper sticker,Trump 2024,Trump mugshot,Mugshot sticker,Trump Sticker,Trump jail picture,Donald Trump Mugshot,MAGA sticker",United States,2023-08-25,yes,no,no,PlayoffDesigns,https://www.etsy.com/listing/1551949365/donald-trump-never-surrender-mugshot
Astarion Baldur's Gate 3 Sticker ,Electronics & Accessories > Decals & Skins > Laptop > Laptop Decals,5.0,0,32,5,0,456,0,"Astarion,Baldurs Gate,BG3,BG3 Sticker,Astarion BG3,Baldur's Gate",United States,2023-08-24,yes,no,no,SpoopTea,https://www.etsy.com/listing/1551207915/astarion-baldurs-gate-3-sticker
Beauty and the Beast - Lorcana Play Zone Version - Trading Card Game Playmat / Mouse Pad / Desk Mat ,Electronics & Accessories > Computers & Peripherals > Keyboards & Mice > Mousepads,19.98,0,22,8,0,227,0,"Trading Card Game,Playmat,Accessories,Card Game,Princess,TCG,Fairy Tale,Character,Lorcana,Fantasy,Pin Up,Fantasy Art,digital art",United States,2023-08-24,yes,no,no,americonartist,https://www.etsy.com/listing/1536636920/beauty-and-the-beast-lorcana-play-zone
Mug Shot Air Freshener |Funny Car Accessories | Stocking Stuffer | Mug Shot Car Accessories | Something in the orange ,Electronics & Accessories > Car Parts & Accessories > Car Accessories > Car Air Fresheners,13.99,0,29,0,0,133,0,"car freshener,air freshener,felt freshener,fresh,car accessories,stocking stuffer,mom car accessories,milf mobile,cool moms club,mom air freshener,mama car accessories,mom freshie,mama freshie",United States,2023-09-08,yes,no,no,bizzzdesigns,https://www.etsy.com/listing/1562196275/mug-shot-air-freshener-funny-car
Crochet Pumpkin & Ghost Hanger ,Electronics & Accessories > Car Parts & Accessories > Car Accessories,26.0,0,0,11,0,360,0,"orange,pumpkin,halloween,ghost,white,car,car accessories,decor,fall,crochet,handmade",United States,2023-08-20,yes,no,no,HookedbyAlaina,https://www.etsy.com/listing/1548359517/crochet-pumpkin-ghost-hanger
"10-150 PCS Book Stickers for Kindle, Bookish Reader Themed Sticker Pack For Water Bottles, Laptops, Tablets-- Waterproof, Holographic ",Electronics & Accessories > Decals & Skins > Laptop > Laptop Decals,3.4,0,108,26,0,549,0,"book stickers,bookish,book sticker pack,water bottles,booktok,kindle stickers,kindle accessory,reader",United States,2023-08-27,yes,no,no,SunscoopArts,https://www.etsy.com/listing/1539094510/10-150-pcs-book-stickers-for-kindle
Sleeping Beauty (Briar Rose) On a Quest - Original Art - Trading Card Game Playmat / Mouse Pad / Desk Mat - Lorcana Play Zone Version ,Electronics & Accessories > Computers & Peripherals > Keyboards & Mice > Mousepads,19.98,0,38,0,0,67,0,"Trading Card Game,Playmat,Accessories,Card Game,Princess,TCG,Fairy Tale,Character,Lorcana,Fantasy,Pin Up,Fantasy Art",United States,2023-08-24,yes,no,no,americonartist,https://www.etsy.com/listing/1550827595/sleeping-beauty-briar-rose-on-a-quest
"Flannel Cure | DIGITAL DOWNLOAD | To Print at DecalGirl.com, not at home | NOT a .svg Cut File ",Electronics & Accessories > Decals & Skins > Laptop > Laptop Skins,4.0,0,18,6,0,39,0,"kindle,kindle paperwhite,kindle oasis,oasis,amazon,e-reader,bookstagram,booktok,custom kindle",United States,2023-08-23,yes,no,no,TheLitHomebody,https://www.etsy.com/listing/1536260946/flannel-cure-digital-download-to-print
"Midnight Blue Sparkly Bodysuit Sticker, Eras Dressing for Revenge Tour Sticker ",Electronics & Accessories > Decals & Skins > Laptop > Laptop Decals,3.15,0,0,0,0,185,0,"eras,glitter sticker,taylor sticker,tour music,the eras tour,eras tour outfit,eras tour bodysuit,taylor eras,miss americana,midnight sticker,vigilante bodysuit,waterproof decal,laptop decal",United States,2023-09-08,yes,no,no,LittleOwletArt,https://www.etsy.com/listing/1561726117/midnight-blue-sparkly-bodysuit-sticker
