title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"Grinch Christmas, Ornament, personalized SVG, Laser File, Glowforge ",6.99,60,169,10,0,270,50,"grinch ornaments,grinch ornament svg,grinch svg,svg files,grinch ornaments svg,laser files,laser cut files,grinch ornament,grinch face svg,wood cut files,the grinch svg",United States,2023-08-19,yes,no,no,BackWoodsLaserDesign,https://www.etsy.com/listing/1547660749/grinch-christmas-ornament-personalized
Ghost Tumbler Name Plate - Custom Tumbler Name Tag 30 or 40 oz - Halloween Name Topper - Personalized Tumbler Decoration ,13.6,7,144,23,5,717,138,"40 oz tumbler,30 oz tumbler,Stanley Tumbler,Stanley Dupe,stanley 40oz tumbler,tumbler lid name tag,30oz tumbler tag,stanley straw topper,tumbler topper,Waterbottle Name Tag,Stanley Quencher,Stanley Name Tag,personalized lid tag",United States,2023-08-16,yes,no,no,FestiveGal,https://www.etsy.com/listing/1531176658/ghost-tumbler-name-plate-custom-tumbler
"Grinch Heart Hands Ornament, Grinch Ornament, Personalized Grinch, The Grinch, Stocking Tag, Christmas Decor Christmas Sign Grinch Decor ",14.99,2,19,8,7,88,17,"Grinch Ornament,Personalized Grinch,The Grinch Tier Tray,Grinch Decor,Christmas Decor,Christmas Sign,Grinch Hands,Ornament,Tier Tray,mini books,sign,home décor",United States,2023-08-21,yes,no,no,FLSouthernCharm,https://www.etsy.com/listing/1534631038/grinch-heart-hands-ornament-grinch
Stanley Straw Topper Cover Stanley Straw Charms Topper Drink Cup Cover for Stanley Accessories Straw Cap Tip Reusable Straw Cover ,3.5,0,0,0,0,71,0,"straw topper,straw cover,drink cover,cup cover,stanley straw cover,stanley straw topper,stanley accessory,stanley quencher,stanley accessories,stanley sticker,stanley decal,stanley pouch,straw cap",United States,2023-08-22,yes,no,no,BeyondBraveStudio,https://www.etsy.com/listing/1535430802/stanley-straw-topper-cover-stanley-straw
"Halloween Iced Coffee Cup, Pumpkin Cup, Halloween Iced Coffee Glass, Halloween Gifts, Halloween Mug, Halloween Iced Coffee, Ghost Halloween ",10.75,0,282,0,0,322,0,"craftychicksdesigns1,iced coffee cup,with lid and straw,gift for her,halloween gifts,halloween cups,pumpkin cups,for teens,glass tumbler,glass cup,boba glass,Halloween Beer Can,halloween glasses",United States,2023-08-26,yes,no,no,CraftyChicksDesigns1,https://www.etsy.com/listing/1552460119/halloween-iced-coffee-cup-pumpkin-cup
"There's Some Horrors In This House png For Shirt, Halloween, Funny Halloween Digital Printing, Retro Halloween, Funny Ghost, Spooky Vibes ",1.34,0,0,9,6,120,60,"Theres some horrors,in this house svg,retro halloween,funny halloween png,spooky season svg,groovy pumpkin svg,Halloween png,horrors house svg,some horrors svg,halloween svg,fall svg,fall png,this house iron on",United States,2023-08-23,yes,no,no,Pobico,https://www.etsy.com/listing/1536579692/theres-some-horrors-in-this-house-png
Real Trump Mug Shot Mug | Mug Shot | infamous Donald Trump Mugshot ,25.0,0,0,0,0,26,0,"funny trump mug,trump mug shot,trump mug shot shirt,trump mug shot mug,trump mugshot,funny trump mug shot,donald trump,gifts for dad,trump joke,trump shirt men,donald trump hat,trump mug,trump 2025 t shirts",United States,2023-08-25,yes,no,no,SleazyMugsandMore,https://www.etsy.com/listing/1537777012/real-trump-mug-shot-mug-mug-shot
"Medical Field Topper For Tumbler 30,40oz Cup, Water Cup Personalized Name Tag, Gift for her, Stanley Compatible Accessories ",8.44,0,46,10,0,122,0,"stanley straw topper,custom id tag,tumbler lid topper,tumbler name plate,cup accessories,id name tag,stanley cup lid tag,40oz tumbler tag,stanley name plate,tumbler topper,tag for tumber lid,personalized lid tag",United States,2023-08-18,yes,no,no,TemplatesbyLodestar,https://www.etsy.com/listing/1532931526/medical-field-topper-for-tumbler-3040oz
"Stanley Name Plates Lid Toppers Cup Accessories Personalized Name Tag for Stanley Lid Tumbler Name Tag, 40 or 30 oz Glitter Cursive ",12.0,0,6,6,4,122,43,"stanley lid topper,name plate topper,tumbler tag,sparkle accessory,tumbler accessory,tumbler name tag,gifts for mom,tumbler topper,custom name tag,gifts for her,personalized lid,glitter accessory,drinkware accessory",United States,2023-08-16,yes,no,no,GifterStudioShop,https://www.etsy.com/listing/1531596258/stanley-name-plates-lid-toppers-cup
"Grinch Heart Hands Ornament, Grinch Ornament, Personalized Grinch, The Grinch, Stocking Tag, Christmas Decor Christmas Sign Grinch Decor ",14.99,0,101,28,15,451,90,"Grinch Ornament,Personalized Grinch,The Grinch Tier Tray,Grinch Decor,Christmas Decor,Christmas Sign,Grinch Hands,Ornament,Tier Tray,mini books,sign,home décor",United States,2023-08-16,yes,no,no,FLSouthernCharm,https://www.etsy.com/listing/1545365795/grinch-heart-hands-ornament-grinch
