title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Solid Titanium Implant Grade HINGED Segment Nose Ring Septum Clicker Ring Daith Hoop Earrings 20G 18G 16G 14G ,10.36,0,46,39,20,147,30,"HINGED Segment,Nose Ring,seamless,Septum Clicker,Daith,Hoop,Cartilage Tragus,Lip Labret ring,20G 18G 16G 14G,6mm 8mm 10mm 12mm,Titanium 5mm ring,silver earring,Silver nose ring",United States,2023-08-17,yes,no,no,TonyscollectionUS,https://www.etsy.com/listing/1546169525/solid-titanium-implant-grade-hinged
Tooth Signet Ring ,27.99,0,0,0,0,579,129,"boygenius,phoebe bridgers,lucy dacus,julien baker,tooth,ring",United States,2023-08-24,yes,no,no,moonnandearth,https://www.etsy.com/listing/1550989141/tooth-signet-ring
"4mm Smooth Round Beads Bracelet,Stretch Beaded Bracelet,Natural Stone Beads Bracelet,Handmade Crystal Bracelet For Men Women Gift ",2.39,0,0,0,0,31,2,"Minimalist Bracelets,Stretch Bracelets,Crystal Bracelets,Gemstone Bracelets,Stacking Bracelets,Round Bead Bracelets,Jewelry Gifts,Handmade Bracelets,For Her Gifts,Healing Bracelets,For Women Bracelets,4MM Beads Bracelet",United States,2023-08-21,yes,no,no,HonestCrystals,https://www.etsy.com/listing/1534548388/4mm-smooth-round-beads-braceletstretch
18kt Gold Filled Thick Huggie  Hoops - Gold Thick Huggie Hoop Earrings - Simple Thick Huggie Hoops ,13.2,0,66,0,0,146,0,"hoop earrings,gold hoops,gold hoop earrings,gold filled hoops,18k gold hoops,hoop earring,thick gold hoop,18k gold hoop,daily wear hoops,lightweight hoops,waterproof hoops,waterproof earrings,every earrings",United States,2023-09-01,yes,no,no,LuzJewelsCo,https://www.etsy.com/listing/1556706635/18kt-gold-filled-thick-huggie-hoops-gold
"Messi inspired shoe charms, Inter Miami, Barcelona, Argentina, goat, soccer ball charms ",3.0,0,0,6,0,36,0,"Messi,Inter Miami,goat,jersey,charms,soccer,black,pink",United States,2023-08-22,yes,no,no,TheLucasLabelStudio,https://www.etsy.com/listing/1535525632/messi-inspired-shoe-charms-inter-miami
"Maui strong, pray for Maui, Maui bracelet, women’s bracelet, kids bracelets, hawaiian bracelet ",12.0,0,12,8,1,31,2,"Maui strong,pray for Maui,Maui bracelet,womens bracelet,custom bracelet",United States,2023-08-17,yes,no,no,CopperCandid,https://www.etsy.com/listing/1531796014/maui-strong-pray-for-maui-maui-bracelet
"Tiny Pumpkin Ring, Minimalist Orange Pumpkin, Adjustable Ring, Fall Halloween Jewelry, Harvest Thanksgiving Celebration, Fall Gifts for Her ",10.15,0,59,5,0,459,0,"Minimalist Pumpkin,Halloween Accessory,Harvest Jewelry,Thanksgiving Ring,Adjustable Ring,Fall Gifts for Her,Nature-Inspired Ring,Thanksgiving Jewelry,Pumpkin Charm Ring,Cute Minimalist Ring,Whimsical Fall Ring,Harvest Celebration,Little Pumpkin Ring",United States,2023-08-23,yes,no,no,chaddsfordjewelry,https://www.etsy.com/listing/1550342961/tiny-pumpkin-ring-minimalist-orange
"Red White and Royal Blue ring / rwrb merch of Prince Henry's signet ring, hand-engraved ",28.0,0,93,0,0,340,0,"red white,rwrb ring,fandom merch,Prince Henry,gold signet ring,custom engraved,and royal blue,Henry's signet ring,two homes side by",United States,2023-08-23,yes,no,no,NexusOutpost,https://www.etsy.com/listing/1536283570/red-white-and-royal-blue-ring-rwrb-merch
"Social Battery Pin - My Social Battery Pin, Fun Enamel Emotional Pin 7 Days A Week - Back to School ",8.99,0,39,11,3,243,52,"pins,social battery pin,cute pins,backpack pins,my social battery,social battery,pins for bags,cute enamel pins,fuck me pin,fuck you pin,enamel pin,fuck pin,back to school",United States,2023-08-16,yes,no,no,EVERYBLE,https://www.etsy.com/listing/1545450599/social-battery-pin-my-social-battery-pin
18kt Gold Filled Thick Huggie  Hoops - Gold Thick Huggie Hoop Earrings - Simple Thick Huggie Hoops ,13.2,0,112,0,0,317,0,"hoop earrings,gold hoops,gold hoop earrings,gold filled hoops,18k gold hoops,hoop earring,thick gold hoop,18k gold hoop,daily wear hoops,lightweight hoops,waterproof hoops,waterproof earrings,every earrings",United States,2023-08-29,yes,no,no,LuzJewelsCo,https://www.etsy.com/listing/1540471648/18kt-gold-filled-thick-huggie-hoops-gold
"Apple Watch Tempered Glass Case w/ Bumper | Custom Colors | Fits Series 9, 8, 7, 6, 5, 4, 3, 2, 1, ULTRA 1/2, SE | Apple Watch Cover ",12.56,0,88,9,0,201,0,"Apple Watch Band,Apple Watch,Apple Watch Women,Apple Watch Charms,Apple Watch Case,44mm Apple Watch,45mm Apple Watch,Solo Loop Apple,40mm Apple Watch,Apple Watch Strap,Apple Watch Cover,iPhone 15,Apple Watch Series 9",United States,2023-08-19,yes,no,no,Cocoonio,https://www.etsy.com/listing/1533349160/apple-watch-tempered-glass-case-w-bumper
"14K Solid Gold Name Necklace, Solid gold Name Necklace, 18K Gold Name Necklace, Handmade jewelry , Necklace for Women, Birthday Gifts ",119.7,0,32,8,0,162,0,"14K Name necklace,Birthday Gifts,Custom name necklace,Gold Name Necklace,Gold Necklace,Handmade Jewelry,summer jewelry,solid gold necklace,18k name necklace,name necklace 14k,real gold necklace,solid gold jewelry,personalized jewerly",United States,2023-08-20,yes,no,no,EsiJewelryGifts,https://www.etsy.com/listing/1534229260/14k-solid-gold-name-necklace-solid-gold
Ahsoka Rebels glitter lightsaber earrings | Limited Edition 100 ,13.8,0,8,0,0,114,0,"lightsaber,earrings,clone wars,rebels,lucas films,gifts for her,enamel earrings,white glitter",United States,2023-08-23,yes,no,no,medioocrity,https://www.etsy.com/listing/1535949778/ahsoka-rebels-glitter-lightsaber
Every Day is Halloween Enamel Pin | Halloween Cake Pin | Spooky Cake Pin | Cute Halloween Enamel Pin ,6.0,0,33,9,0,189,0,"fake cake,cute Halloween art,Halloween cake,halloween stickers,vintage halloween,cake enamel pin,halloween enamel pin,spooky enamel pin,halloween season art,spooky cake pin,cute cake pin,halloween cake pin,halloween every day",United States,2023-08-22,yes,no,no,SpookyShakeStudios,https://www.etsy.com/listing/1549721923/every-day-is-halloween-enamel-pin
Forget Me Not Necklace dried pressed blue flower resin teardrop charm pendant silver chain handmade Laura Rispoli real flowers gift epoxy ,46.0,0,24,26,9,81,7,"Forget me nots,Sassenach gifts,Gift for memorial,Memory of loved one,Outlander fan gift,Jewelry mom daughter,Teardrop floral,tear drop shape,Forgetmenot jewelry,Mother day friend,Remembrance charm,Love charm necklaces,forgetmenots flowers",United States,2023-08-18,yes,no,no,LauraRispoli,https://www.etsy.com/listing/1532395324/forget-me-not-necklace-dried-pressed
Tv girl matching bracelets who really cares album ,9.99,0,92,0,0,525,0,"Tvgirl,Who really cares,Tv girl,Matching bracelets",United States,2023-09-06,yes,no,no,LluviaJewels,https://www.etsy.com/listing/1560000117/tv-girl-matching-bracelets-who-really
"The WILTED Daisy PINK Edition an Enamel Pin For The Ordinary Nurse! Humorous Nurse Gift, Pink Wilted Daisy, Original Design But Pink ",7.25,0,2,0,0,31,0,"Wilted Flower Pin,Wilted Flower,The Wilted,Funny Nurse Pin,Pink Wilted Daisy,Wilted Daisy Pin,Ordinary Nurse,Original Wilted",United States,2023-09-07,yes,no,no,RogueNurseCreations,https://www.etsy.com/listing/1561348979/the-wilted-daisy-pink-edition-an-enamel
