title,Category,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
Ice Cream Cone Plush Crochet PATTERN - Amigurumi ,Toys & Games > Toys > Stuffed Animals & Plushies,3.86,0,25,15,4,189,58,"ice cream crochet,ice cream amigurumi,ice cream plush,ice cream cone,crochet pattern,amigurumi,amigurumi pattern,cute amigurumi,food crochet,cute crochet,ice cream pattern,dessert crochet",United States,2023-08-25,yes,no,no,TheWonderCrochet,https://www.etsy.com/listing/1552264197/ice-cream-cone-plush-crochet-pattern
It is Well School Year Hymn Guide 2023-2024 ,Toys & Games > Toys > Learning & School,18.0,0,3,10,0,30,0,"family worship,christian resources,hymn study,copywork,charlotte mason,homeschool,language arts,sunday school,curriculum,poetry,Easter,Bible sudy",United States,2023-09-01,yes,no,no,HappyHymnody,https://www.etsy.com/listing/1542906446/it-is-well-school-year-hymn-guide-2023
"Hello Kitty Lego, Sanrio Lego, Kuromi Lego, MyMelody Lego, Perfect Hello Kitty Gift! SANRIO LOVERS GIFT! ",Toys & Games > Toys > Building & Construction,4.63,0,0,0,0,469,0,"kawaii,kawaii toy",United States,2023-08-26,yes,no,no,SanrioGiftShop,https://www.etsy.com/listing/1538499554/hello-kitty-lego-sanrio-lego-kuromi-lego
"Racoon and Red Panda Crochet Pattern, Low Sew Amigurumi Instructions, Crochet Raccoon, Woodland Animal, Cute Birthday Gift ",Toys & Games > Toys > Stuffed Animals & Plushies,5.95,0,5,5,0,76,0,"birthday gift,crochet instructions,plush,crochet,handmade,stuffed animal,crochet pattern,plushie,amigurumi,woodland animals,low sew,crochet raccoon,crochet red panda",United States,2023-08-30,yes,no,no,Momsstitchetti,https://www.etsy.com/listing/1541271860/racoon-and-red-panda-crochet-pattern-low
NO-SEW Umbrella Octopus Plush Crochet PATTERN ,Toys & Games > Toys > Stuffed Animals & Plushies,4.76,0,0,6,0,91,0,"amigurumi,crochet,pattern,beginner,plush,crochet pattern,amigurumi pattern,no sew,octopus,umbrella octopus,octopus plush,crochet octopus,amigurumi octopus",United States,2023-08-30,yes,no,no,TheWonderCrochet,https://www.etsy.com/listing/1555728989/no-sew-umbrella-octopus-plush-crochet
"Low Sew Fox PDF, Crochet pattern Only ",Toys & Games > Toys > Stuffed Animals & Plushies,4.25,0,596,101,29,350,34,"Kaytedids,Crochet fox,Fox,Low sew,Low sew fox,Kaytedids fox",United States,2023-08-26,yes,no,no,KayteDids,https://www.etsy.com/listing/1538772114/low-sew-fox-pdf-crochet-pattern-only
Lorcana Lore Book Deck Box with Card and Token Dice Inserts + Optional Magnetic Enclosure TCG Trading Card Game Deckbox Lorebook ,Toys & Games > Games & Puzzles > Game Pieces,49.99,0,23,0,0,198,0,"Lorcana,TCG,Board Game,Token,Upgrade,Accessory,Deckbox,Deck,Box,Lore,Book,Trafing Card Game",United States,2023-09-08,yes,no,no,BoardGameGoodies,https://www.etsy.com/listing/1547484652/lorcana-lore-book-deck-box-with-card-and
"Wonderfold Child Step, Keenz Child Step Baby Up Step, Kid Step, Toddler Step, Attach a step, Easy installation, Wonderfold accessories ",Toys & Games > Toys > Push & Pull Toys > Wagons,42.0,0,16,4,0,191,0,"Wonderfold,Keenz,wagon,wagon step,wonderfold step,keenz step,Wonderfold wagon,step up,keenz wagon,side step,Baby step up,attatchable step",United States,2023-08-17,yes,no,no,WeGotYouBabe,https://www.etsy.com/listing/1546042381/wonderfold-child-step-keenz-child-step
PDF-Pumpkin Patch Octo Crochet Pattern Amigurumi ,Toys & Games > Toys > Stuffed Animals & Plushies,3.75,0,30,6,0,59,0,"crochet pumpkin,pumpkin patch,pumpkin amigurumi,nicole hennek,handmade by hennek,kaytedids,crochet grove,all from jade,amigurumi,fall patterns,pumpkin pattern,crochet pattern,fall market make",United States,2023-09-07,yes,no,no,HandmadebyHennek,https://www.etsy.com/listing/1546962154/pdf-pumpkin-patch-octo-crochet-pattern
"Fall sensory bin loose parts tinker tray, Montessori toy, Sensory kit, Fall sensory toy, Resin letters, Homeschool, Fine motor, Kids gift ",Toys & Games > Toys > Pretend Play,40.5,0,22,0,0,107,0,"occupational therapy,sensory kit,fine motor skills,playdoh sensory kit,autism sensory items,Montessori toy,Personalized gift,open ended play,tinker tray,Homeschool tool,Fall sensory bin,Fall playdough kit,Fall sensory toy",United States,2023-08-19,yes,no,no,OTPlaywithPurpose,https://www.etsy.com/listing/1533414286/fall-sensory-bin-loose-parts-tinker-tray
Cast member nuimos costume ,Toys & Games > Toys > Dolls & Action Figures > Doll Clothing,28.0,0,17,0,0,63,0,"Nuimos Halloween,Nuimos cast member,Cast member nuimos,Cast member outfit",United States,2023-08-24,yes,no,no,CustomThreadss,https://www.etsy.com/listing/1536787288/cast-member-nuimos-costume
"Spec Ops Knit Flex Resin Beanie- LARGE- 1:12 Scale Toy Accessory (Unfinished, Hat ONLY) ",Toys & Games > Toys > Dolls & Action Figures > Action Figures,9.0,0,15,5,0,36,0,"GI Joe,Cobra,Action Figure,custom toy,gi joe weapons,navy seal,toboggan,skull cap,call of duty",United States,2023-08-22,yes,no,no,AnthanatosUnlimited,https://www.etsy.com/listing/1535231370/spec-ops-knit-flex-resin-beanie-large
